WL          Excit    loggf   ele      num    
-------     -------- ------- ---      ---    
5148.838    2.102    -2.044  NaI      11.0   
5682.633    2.102    -0.706  NaI      11.0   
5688.193    2.104    -1.406  NaI      11.0   
5688.205    2.104    -0.452  NaI      11.0   
6154.226    2.102    -1.547  NaI      11.0   
6160.747    2.104    -1.246  NaI      11.0   
5528.405    4.346    -0.498  MgI      12.0   
5711.088    4.346    -1.724  MgI      12.0   
5785.313    5.108    -2.110  MgI      12.0   
6318.717    5.108    -2.103  MgI      12.0   
5557.063    3.143    -2.110  AlI      13.0   
6696.023    3.143    -1.347  AlI      13.0   
6698.673    3.143    -1.647  AlI      13.0   
5645.613    4.930    -2.140  SiI      14.0   
5666.677    5.616    -1.797  SiI      14.0   
5675.417    5.619    -1.234  SiI      14.0   
5690.425    4.930    -1.870  SiI      14.0   
5701.104    4.930    -2.050  SiI      14.0   
5747.667    5.614    -1.544  SiI      14.0   
5772.146    5.082    -1.750  SiI      14.0   
5780.384    4.920    -2.350  SiI      14.0   
6125.021    5.614    -1.465  SiI      14.0   
6131.573    5.616    -1.557  SiI      14.0   
6131.852    5.616    -1.617  SiI      14.0   
6142.483    5.619    -1.296  SiI      14.0   
6145.016    5.616    -1.311  SiI      14.0   
6155.134    5.619    -0.755  SiI      14.0   
6237.319    5.614    -0.975  SiI      14.0   
6243.814    5.616    -1.244  SiI      14.0   
6407.292    5.871    -1.393  SiI      14.0   
6414.979    5.871    -1.036  SiI      14.0   
6526.630    5.871    -1.607  SiI      14.0   
6527.202    5.871    -1.072  SiI      14.0   
6721.848    5.863    -1.527  SiI      14.0   
6741.628    5.984    -1.750  SiI      14.0   
5260.387    2.521    -1.719  CaI      20.0   
5261.704    2.521    -0.579  CaI      20.0   
5349.465    2.709    -0.310  CaI      20.0   
5512.980    2.933    -0.464  CaI      20.0   
5590.114    2.521    -0.571  CaI      20.0   
5867.132    5.550    -4.655  CaI      20.0   
5867.562    2.933    -1.570  CaI      20.0   
6102.097    5.229    -4.839  CaI      20.0   
6156.023    2.521    -2.506  CaI      20.0   
6166.439    2.521    -1.142  CaI      20.0   
6169.042    2.523    -0.797  CaI      20.0   
6169.563    2.526    -0.478  CaI      20.0   
6471.662    2.526    -0.686  CaI      20.0   
6717.681    2.709    -0.524  CaI      20.0   
5173.743    0.000    -1.060  TiI      22.0   
5186.330    2.117    -0.770  TiI      22.0   
5192.969    0.021    -0.950  TiI      22.0   
5194.040    2.103    -0.650  TiI      22.0   
5201.053    3.570    -4.080  TiI      22.0   
5201.080    2.092    -0.660  TiI      22.0   
5210.384    0.048    -0.820  TiI      22.0   
5384.630    0.826    -2.770  TiI      22.0   
5389.989    1.873    -1.100  TiI      22.0   
5449.150    1.443    -1.870  TiI      22.0   
5453.642    1.443    -1.600  TiI      22.0   
5648.565    2.495    -0.260  TiI      22.0   
5662.150    2.318    0.010   TiI      22.0   
5673.421    3.148    -0.244  TiI      22.0   
5673.435    3.112    -1.533  TiI      22.0   
5679.917    2.472    -0.570  TiI      22.0   
5689.460    2.297    -0.360  TiI      22.0   
5880.270    1.053    -2.000  TiI      22.0   
6002.630    2.160    -1.490  TiI      22.0   
6303.756    1.443    -1.580  TiI      22.0   
6312.236    1.460    -1.550  TiI      22.0   
6599.105    0.900    -2.085  TiI      22.0   
5154.068    1.566    -1.750  TiII     22.1   
