        Teff log g [M]a  Vturb  l/H   small     big    beta
     1  3500  0.00 -1.00  2.00  1.25 -12.613 -12.687   2.607
     2  3500  0.50 -1.00  2.00  1.25 -12.739 -12.821   2.617
     3  3500  1.00 -1.00  2.00  1.25 -12.840 -12.929   2.628
     4  3500  1.50 -1.00  2.00  1.25 -12.926 -13.023   2.638
     5  3500  2.00 -1.00  2.00  1.25 -13.008 -13.110   2.645
     6  3500  2.50 -1.00  2.00  1.25 -13.092 -13.195   2.647
     7  3500  3.00 -1.00  2.00  1.25 -13.176 -13.269   2.633
     8  3500  3.50 -1.00  2.00  1.25 -13.279 -13.356   2.611
     9  3500  4.00 -1.00  2.00  1.25 -13.378 -13.435   2.584
    10  3500  4.50 -1.00  2.00  1.25 -13.442 -13.479   2.557
    11  3500  5.00 -1.00  2.00  1.25 -13.482 -13.500   2.532
    12  3750  0.00 -1.00  2.00  1.25 -13.555 -13.590   2.554
    13  3750  0.50 -1.00  2.00  1.25 -13.671 -13.700   2.546
    14  3750  1.00 -1.00  2.00  1.25 -13.756 -13.781   2.541
    15  3750  1.50 -1.00  2.00  1.25 -13.820 -13.843   2.538
    16  3750  2.00 -1.00  2.00  1.25 -13.872 -13.895   2.538
    17  3750  2.50 -1.00  2.00  1.25 -13.918 -13.942   2.538
    18  3750  3.00 -1.00  2.00  1.25 -13.957 -13.980   2.537
    19  3750  3.50 -1.00  2.00  1.25 -13.976 -13.996   2.533
    20  3750  4.00 -1.00  2.00  1.25 -14.012 -14.027   2.526
    21  3750  4.50 -1.00  2.00  1.25 -14.057 -14.064   2.514
    22  3750  5.00 -1.00  2.00  1.25 -14.092 -14.088   2.500
    23  4000  0.00 -1.00  2.00  1.25 -14.244 -14.283   2.559
    24  4000  0.50 -1.00  2.00  1.25 -14.345 -14.377   2.551
    25  4000  1.00 -1.00  2.00  1.25 -14.416 -14.442   2.541
    26  4000  1.50 -1.00  2.00  1.25 -14.467 -14.485   2.532
    27  4000  2.00 -1.00  2.00  1.25 -14.506 -14.518   2.522
    28  4000  2.50 -1.00  2.00  1.25 -14.540 -14.545   2.513
    29  4000  3.00 -1.00  2.00  1.25 -14.573 -14.572   2.506
    30  4000  3.50 -1.00  2.00  1.25 -14.596 -14.592   2.500
    31  4000  4.00 -1.00  2.00  1.25 -14.595 -14.588   2.497
    32  4000  4.50 -1.00  2.00  1.25 -14.601 -14.592   2.494
    33  4000  5.00 -1.00  2.00  1.25 -14.618 -14.605   2.488
    34  4250  0.00 -1.00  2.00  1.25 -14.819 -14.862   2.565
    35  4250  0.50 -1.00  2.00  1.25 -14.902 -14.941   2.559
    36  4250  1.00 -1.00  2.00  1.25 -14.959 -14.993   2.551
    37  4250  1.50 -1.00  2.00  1.25 -15.000 -15.027   2.543
    38  4250  2.00 -1.00  2.00  1.25 -15.028 -15.049   2.534
    39  4250  2.50 -1.00  2.00  1.25 -15.051 -15.064   2.525
    40  4250  3.00 -1.00  2.00  1.25 -15.070 -15.076   2.515
    41  4250  3.50 -1.00  2.00  1.25 -15.089 -15.088   2.504
    42  4250  4.00 -1.00  2.00  1.25 -15.105 -15.096   2.494
    43  4250  4.50 -1.00  2.00  1.25 -15.100 -15.087   2.488
    44  4250  5.00 -1.00  2.00  1.25 -15.096 -15.081   2.485
    45  4500  0.00 -1.00  2.00  1.25 -15.329 -15.374   2.568
    46  4500  0.50 -1.00  2.00  1.25 -15.394 -15.435   2.563
    47  4500  1.00 -1.00  2.00  1.25 -15.438 -15.475   2.557
    48  4500  1.50 -1.00  2.00  1.25 -15.467 -15.500   2.551
    49  4500  2.00 -1.00  2.00  1.25 -15.488 -15.516   2.544
    50  4500  2.50 -1.00  2.00  1.25 -15.504 -15.527   2.537
    51  4500  3.00 -1.00  2.00  1.25 -15.518 -15.535   2.529
    52  4500  3.50 -1.00  2.00  1.25 -15.531 -15.541   2.520
    53  4500  4.00 -1.00  2.00  1.25 -15.545 -15.548   2.511
    54  4500  4.50 -1.00  2.00  1.25 -15.557 -15.553   2.501
    55  4500  5.00 -1.00  2.00  1.25 -15.552 -15.543   2.493
    56  4750  0.00 -1.00  2.00  1.25 -15.781 -15.827   2.569
    57  4750  0.50 -1.00  2.00  1.25 -15.826 -15.869   2.565
    58  4750  1.00 -1.00  2.00  1.25 -15.856 -15.896   2.561
    59  4750  1.50 -1.00  2.00  1.25 -15.876 -15.913   2.556
    60  4750  2.00 -1.00  2.00  1.25 -15.889 -15.922   2.550
    61  4750  2.50 -1.00  2.00  1.25 -15.899 -15.928   2.545
    62  4750  3.00 -1.00  2.00  1.25 -15.908 -15.932   2.539
    63  4750  3.50 -1.00  2.00  1.25 -15.916 -15.935   2.532
    64  4750  4.00 -1.00  2.00  1.25 -15.926 -15.940   2.525
    65  4750  4.50 -1.00  2.00  1.25 -15.936 -15.945   2.518
    66  4750  5.00 -1.00  2.00  1.25 -15.947 -15.950   2.509
    67  5000  0.00 -1.00  2.00  1.25 -16.182 -16.232   2.575
    68  5000  0.50 -1.00  2.00  1.25 -16.207 -16.254   2.570
    69  5000  1.00 -1.00  2.00  1.25 -16.224 -16.268   2.565
    70  5000  1.50 -1.00  2.00  1.25 -16.235 -16.275   2.561
    71  5000  2.00 -1.00  2.00  1.25 -16.241 -16.277   2.556
    72  5000  2.50 -1.00  2.00  1.25 -16.245 -16.278   2.551
    73  5000  3.00 -1.00  2.00  1.25 -16.248 -16.278   2.546
    74  5000  3.50 -1.00  2.00  1.25 -16.253 -16.279   2.541
    75  5000  4.00 -1.00  2.00  1.25 -16.259 -16.281   2.535
    76  5000  4.50 -1.00  2.00  1.25 -16.267 -16.285   2.530
    77  5000  5.00 -1.00  2.00  1.25 -16.277 -16.290   2.524
    78  5250  0.00 -1.00  2.00  1.25 -16.543 -16.599   2.582
    79  5250  0.50 -1.00  2.00  1.25 -16.550 -16.601   2.577
    80  5250  1.00 -1.00  2.00  1.25 -16.553 -16.601   2.572
    81  5250  1.50 -1.00  2.00  1.25 -16.553 -16.597   2.567
    82  5250  2.00 -1.00  2.00  1.25 -16.551 -16.592   2.562
    83  5250  2.50 -1.00  2.00  1.25 -16.549 -16.586   2.558
    84  5250  3.00 -1.00  2.00  1.25 -16.547 -16.582   2.553
    85  5250  3.50 -1.00  2.00  1.25 -16.547 -16.579   2.549
    86  5250  4.00 -1.00  2.00  1.25 -16.549 -16.578   2.545
    87  5250  4.50 -1.00  2.00  1.25 -16.553 -16.579   2.541
    88  5250  5.00 -1.00  2.00  1.25 -16.559 -16.581   2.536
    89  5500  0.00 -1.00  2.00  1.25 -16.860 -16.927   2.598
    90  5500  0.50 -1.00  2.00  1.25 -16.854 -16.917   2.592
    91  5500  1.00 -1.00  2.00  1.25 -16.847 -16.906   2.587
    92  5500  1.50 -1.00  2.00  1.25 -16.839 -16.894   2.581
    93  5500  2.00 -1.00  2.00  1.25 -16.831 -16.882   2.576
    94  5500  2.50 -1.00  2.00  1.25 -16.823 -16.870   2.571
    95  5500  3.00 -1.00  2.00  1.25 -16.817 -16.861   2.566
    96  5500  3.50 -1.00  2.00  1.25 -16.814 -16.854   2.562
    97  5500  4.00 -1.00  2.00  1.25 -16.813 -16.851   2.558
    98  5500  4.50 -1.00  2.00  1.25 -16.816 -16.851   2.554
    99  5500  5.00 -1.00  2.00  1.25 -16.820 -16.853   2.551
   100  5750  0.00 -1.00  2.00  1.25 -17.141 -17.222   2.617
   101  5750  0.50 -1.00  2.00  1.25 -17.126 -17.204   2.612
   102  5750  1.00 -1.00  2.00  1.25 -17.112 -17.185   2.607
   103  5750  1.50 -1.00  2.00  1.25 -17.098 -17.167   2.601
   104  5750  2.00 -1.00  2.00  1.25 -17.083 -17.148   2.595
   105  5750  2.50 -1.00  2.00  1.25 -17.070 -17.131   2.589
   106  5750  3.00 -1.00  2.00  1.25 -17.060 -17.116   2.583
   107  5750  3.50 -1.00  2.00  1.25 -17.052 -17.105   2.578
   108  5750  4.00 -1.00  2.00  1.25 -17.048 -17.097   2.574
   109  5750  4.50 -1.00  2.00  1.25 -17.048 -17.095   2.570
   110  5750  5.00 -1.00  2.00  1.25 -17.051 -17.096   2.567
   111  6000  0.00 -1.00  2.00  1.25 -17.393 -17.489   2.637
   112  6000  0.50 -1.00  2.00  1.25 -17.372 -17.466   2.634
   113  6000  1.00 -1.00  2.00  1.25 -17.353 -17.443   2.630
   114  6000  1.50 -1.00  2.00  1.25 -17.333 -17.420   2.625
   115  6000  2.00 -1.00  2.00  1.25 -17.314 -17.396   2.618
   116  6000  2.50 -1.00  2.00  1.25 -17.296 -17.373   2.612
   117  6000  3.00 -1.00  2.00  1.25 -17.280 -17.352   2.606
   118  6000  3.50 -1.00  2.00  1.25 -17.267 -17.335   2.599
   119  6000  4.00 -1.00  2.00  1.25 -17.259 -17.323   2.594
   120  6000  4.50 -1.00  2.00  1.25 -17.256 -17.316   2.589
   121  6000  5.00 -1.00  2.00  1.25 -17.257 -17.315   2.585
   122  6250  0.50 -1.00  2.00  1.25 -17.597 -17.707   2.657
   123  6250  1.00 -1.00  2.00  1.25 -17.574 -17.683   2.655
   124  6250  1.50 -1.00  2.00  1.25 -17.549 -17.656   2.651
   125  6250  2.00 -1.00  2.00  1.25 -17.526 -17.628   2.646
   126  6250  2.50 -1.00  2.00  1.25 -17.503 -17.600   2.639
   127  6250  3.00 -1.00  2.00  1.25 -17.482 -17.574   2.632
   128  6250  3.50 -1.00  2.00  1.25 -17.464 -17.551   2.625
   129  6250  4.00 -1.00  2.00  1.25 -17.450 -17.532   2.618
   130  6250  4.50 -1.00  2.00  1.25 -17.443 -17.520   2.612
   131  6250  5.00 -1.00  2.00  1.25 -17.441 -17.515   2.607
   132  6500  0.50 -1.00  2.00  1.25 -17.802 -17.929   2.680
   133  6500  1.00 -1.00  2.00  1.25 -17.776 -17.904   2.681
   134  6500  1.50 -1.00  2.00  1.25 -17.750 -17.877   2.680
   135  6500  2.00 -1.00  2.00  1.25 -17.722 -17.846   2.676
   136  6500  2.50 -1.00  2.00  1.25 -17.694 -17.814   2.670
   137  6500  3.00 -1.00  2.00  1.25 -17.669 -17.783   2.663
   138  6500  3.50 -1.00  2.00  1.25 -17.646 -17.755   2.655
   139  6500  4.00 -1.00  2.00  1.25 -17.627 -17.730   2.647
   140  6500  4.50 -1.00  2.00  1.25 -17.614 -17.712   2.639
   141  6500  5.00 -1.00  2.00  1.25 -17.608 -17.700   2.633
   142  6750  0.50 -1.00  2.00  1.25 -17.998 -18.135   2.693
   143  6750  1.00 -1.00  2.00  1.25 -17.963 -18.109   2.707
   144  6750  1.50 -1.00  2.00  1.25 -17.934 -18.082   2.708
   145  6750  2.00 -1.00  2.00  1.25 -17.904 -18.051   2.707
   146  6750  2.50 -1.00  2.00  1.25 -17.873 -18.017   2.703
   147  6750  3.00 -1.00  2.00  1.25 -17.843 -17.982   2.696
   148  6750  3.50 -1.00  2.00  1.25 -17.815 -17.948   2.688
   149  6750  4.00 -1.00  2.00  1.25 -17.792 -17.918   2.679
   150  6750  4.50 -1.00  2.00  1.25 -17.773 -17.893   2.670
   151  6750  5.00 -1.00  2.00  1.25 -17.761 -17.876   2.662
   152  7000  0.50 -1.00  2.00  1.25 -18.186 -18.325   2.695
   153  7000  1.00 -1.00  2.00  1.25 -18.143 -18.301   2.722
   154  7000  1.50 -1.00  2.00  1.25 -18.105 -18.273   2.736
   155  7000  2.00 -1.00  2.00  1.25 -18.073 -18.242   2.737
   156  7000  2.50 -1.00  2.00  1.25 -18.040 -18.208   2.736
   157  7000  3.00 -1.00  2.00  1.25 -18.006 -18.170   2.731
   158  7000  3.50 -1.00  2.00  1.25 -17.974 -18.133   2.724
   159  7000  4.00 -1.00  2.00  1.25 -17.945 -18.098   2.715
   160  7000  4.50 -1.00  2.00  1.25 -17.922 -18.067   2.705
   161  7000  5.00 -1.00  2.00  1.25 -17.905 -18.043   2.695
   162  7250  0.50 -1.00  2.00  1.25 -18.367 -18.496   2.683
   163  7250  1.00 -1.00  2.00  1.25 -18.316 -18.476   2.725
   164  7250  1.50 -1.00  2.00  1.25 -18.271 -18.451   2.752
   165  7250  2.00 -1.00  2.00  1.25 -18.229 -18.420   2.766
   166  7250  2.50 -1.00  2.00  1.25 -18.195 -18.386   2.768
   167  7250  3.00 -1.00  2.00  1.25 -18.158 -18.348   2.766
   168  7250  3.50 -1.00  2.00  1.25 -18.122 -18.308   2.761
   169  7250  4.00 -1.00  2.00  1.25 -18.089 -18.269   2.752
   170  7250  4.50 -1.00  2.00  1.25 -18.061 -18.233   2.741
   171  7250  5.00 -1.00  2.00  1.25 -18.039 -18.203   2.730
   172  7500  0.50 -1.00  2.00  1.25 -18.536 -18.641   2.650
   173  7500  1.00 -1.00  2.00  1.25 -18.482 -18.635   2.716
   174  7500  1.50 -1.00  2.00  1.25 -18.430 -18.613   2.756
   175  7500  2.00 -1.00  2.00  1.25 -18.382 -18.585   2.783
   176  7500  2.50 -1.00  2.00  1.25 -18.338 -18.551   2.797
   177  7500  3.00 -1.00  2.00  1.25 -18.300 -18.515   2.800
   178  7500  3.50 -1.00  2.00  1.25 -18.262 -18.474   2.797
   179  7500  4.00 -1.00  2.00  1.25 -18.225 -18.432   2.790
   180  7500  4.50 -1.00  2.00  1.25 -18.192 -18.392   2.779
   181  7500  5.00 -1.00  2.00  1.25 -18.165 -18.356   2.767
   182  7750  1.00 -1.00  2.00  1.25 -18.638 -18.775   2.693
   183  7750  1.50 -1.00  2.00  1.25 -18.583 -18.761   2.749
   184  7750  2.00 -1.00  2.00  1.25 -18.529 -18.736   2.789
   185  7750  2.50 -1.00  2.00  1.25 -18.478 -18.705   2.816
   186  7750  3.00 -1.00  2.00  1.25 -18.432 -18.668   2.829
   187  7750  3.50 -1.00  2.00  1.25 -18.392 -18.630   2.830
   188  7750  4.00 -1.00  2.00  1.25 -18.353 -18.587   2.826
   189  7750  4.50 -1.00  2.00  1.25 -18.316 -18.543   2.817
   190  7750  5.00 -1.00  2.00  1.25 -18.284 -18.503   2.805
   191  8000  1.00 -1.00  2.00  1.25 -18.778 -18.888   2.657
   192  8000  1.50 -1.00  2.00  1.25 -18.727 -18.891   2.730
   193  8000  2.00 -1.00  2.00  1.25 -18.670 -18.872   2.784
   194  8000  2.50 -1.00  2.00  1.25 -18.613 -18.845   2.823
   195  8000  3.00 -1.00  2.00  1.25 -18.560 -18.810   2.848
   196  8000  3.50 -1.00  2.00  1.25 -18.514 -18.772   2.859
   197  8000  4.00 -1.00  2.00  1.25 -18.473 -18.731   2.860
   198  8000  4.50 -1.00  2.00  1.25 -18.433 -18.687   2.853
   199  8000  5.00 -1.00  2.00  1.25 -18.397 -18.643   2.842
   200  8250  1.00 -1.00  2.00  1.25 -18.889 -18.970   2.616
   201  8250  1.50 -1.00  2.00  1.25 -18.858 -19.002   2.703
   202  8250  2.00 -1.00  2.00  1.25 -18.801 -18.992   2.767
   203  8250  2.50 -1.00  2.00  1.25 -18.742 -18.970   2.818
   204  8250  3.00 -1.00  2.00  1.25 -18.684 -18.940   2.855
   205  8250  3.50 -1.00  2.00  1.25 -18.630 -18.903   2.879
   206  8250  4.00 -1.00  2.00  1.25 -18.585 -18.863   2.887
   207  8250  4.50 -1.00  2.00  1.25 -18.543 -18.821   2.886
   208  8250  5.00 -1.00  2.00  1.25 -18.504 -18.776   2.878
   209  8500  1.50 -1.00  2.00  1.25 -18.974 -19.096   2.673
   210  8500  2.00 -1.00  2.00  1.25 -18.922 -19.097   2.745
   211  8500  2.50 -1.00  2.00  1.25 -18.861 -19.080   2.805
   212  8500  3.00 -1.00  2.00  1.25 -18.800 -19.054   2.853
   213  8500  3.50 -1.00  2.00  1.25 -18.742 -19.021   2.887
   214  8500  4.00 -1.00  2.00  1.25 -18.690 -18.982   2.906
   215  8500  4.50 -1.00  2.00  1.25 -18.647 -18.944   2.912
   216  8500  5.00 -1.00  2.00  1.25 -18.606 -18.900   2.909
   217  8750  1.50 -1.00  2.00  1.25 -19.074 -19.176   2.644
   218  8750  2.00 -1.00  2.00  1.25 -19.032 -19.188   2.719
   219  8750  2.50 -1.00  2.00  1.25 -18.972 -19.177   2.787
   220  8750  3.00 -1.00  2.00  1.25 -18.909 -19.155   2.844
   221  8750  3.50 -1.00  2.00  1.25 -18.847 -19.126   2.887
   222  8750  4.00 -1.00  2.00  1.25 -18.791 -19.091   2.916
   223  8750  4.50 -1.00  2.00  1.25 -18.742 -19.052   2.930
   224  8750  5.00 -1.00  2.00  1.25 -18.701 -19.015   2.934
   225  9000  1.50 -1.00  2.00  0.00 -19.161 -19.246   2.622
   226  9000  2.00 -1.00  2.00  0.00 -19.132 -19.270   2.695
   227  9000  2.50 -1.00  2.00  0.00 -19.076 -19.265   2.764
   228  9000  3.00 -1.00  2.00  0.00 -19.011 -19.246   2.828
   229  9000  3.50 -1.00  2.00  0.00 -18.946 -19.220   2.881
   230  9000  4.00 -1.00  2.00  0.00 -18.886 -19.188   2.919
   231  9000  4.50 -1.00  2.00  0.00 -18.833 -19.150   2.940
   232  9000  5.00 -1.00  2.00  0.00 -18.789 -19.114   2.950
   233  9250  2.00 -1.00  2.00  0.00 -19.222 -19.344   2.673
   234  9250  2.50 -1.00  2.00  0.00 -19.171 -19.344   2.742
   235  9250  3.00 -1.00  2.00  0.00 -19.108 -19.329   2.809
   236  9250  3.50 -1.00  2.00  0.00 -19.041 -19.306   2.869
   237  9250  4.00 -1.00  2.00  0.00 -18.977 -19.276   2.915
