        Teff log g  [M]a Vturb  l/H   small     big    beta
     1  3500  0.00 -2.00  2.00  1.25 -12.608 -12.639   2.548
     2  3500  0.50 -2.00  2.00  1.25 -12.924 -12.949   2.539
     3  3500  1.00 -2.00  2.00  1.25 -13.185 -13.204   2.531
     4  3500  1.50 -2.00  2.00  1.25 -13.393 -13.406   2.524
     5  3500  2.00 -2.00  2.00  1.25 -13.528 -13.537   2.517
     6  3500  2.50 -2.00  2.00  1.25 -13.583 -13.587   2.512
     7  3500  3.00 -2.00  2.00  1.25 -13.611 -13.611   2.506
     8  3500  3.50 -2.00  2.00  1.25 -13.629 -13.623   2.498
     9  3500  4.00 -2.00  2.00  1.25 -13.643 -13.629   2.487
    10  3500  4.50 -2.00  2.00  1.25 -13.649 -13.623   2.471
    11  3500  5.00 -2.00  2.00  1.25 -13.658 -13.618   2.452
    12  3750  0.00 -2.00  2.00  1.25 -13.298 -13.332   2.552
    13  3750  0.50 -2.00  2.00  1.25 -13.535 -13.561   2.541
    14  3750  1.00 -2.00  2.00  1.25 -13.737 -13.755   2.531
    15  3750  1.50 -2.00  2.00  1.25 -13.901 -13.912   2.522
    16  3750  2.00 -2.00  2.00  1.25 -14.034 -14.040   2.513
    17  3750  2.50 -2.00  2.00  1.25 -14.117 -14.118   2.507
    18  3750  3.00 -2.00  2.00  1.25 -14.136 -14.135   2.504
    19  3750  3.50 -2.00  2.00  1.25 -14.139 -14.135   2.501
    20  3750  4.00 -2.00  2.00  1.25 -14.148 -14.140   2.495
    21  3750  4.50 -2.00  2.00  1.25 -14.161 -14.147   2.486
    22  3750  5.00 -2.00  2.00  1.25 -14.174 -14.149   2.472
    23  4000  0.00 -2.00  2.00  1.25 -14.010 -14.047   2.556
    24  4000  0.50 -2.00  2.00  1.25 -14.189 -14.220   2.548
    25  4000  1.00 -2.00  2.00  1.25 -14.324 -14.349   2.540
    26  4000  1.50 -2.00  2.00  1.25 -14.424 -14.442   2.531
    27  4000  2.00 -2.00  2.00  1.25 -14.502 -14.514   2.522
    28  4000  2.50 -2.00  2.00  1.25 -14.573 -14.579   2.514
