        Teff log g  [M]a Vturb  l/H   small     big    beta
     1  3500  0.00  0.00  2.00  1.25 -11.999 -12.241   2.837
     2  3500  0.50  0.00  2.00  1.25 -11.860 -12.134   2.880
     3  3500  1.00  0.00  2.00  1.25 -11.734 -12.032   2.913
     4  3500  1.50  0.00  2.00  1.25 -11.643 -11.958   2.936
     5  3500  2.00  0.00  2.00  1.25 -11.600 -11.924   2.951
     6  3500  2.50  0.00  2.00  1.25 -11.612 -11.943   2.958
     7  3500  3.00  0.00  2.00  1.25 -11.704 -12.033   2.957
     8  3500  3.50  0.00  2.00  1.25 -11.874 -12.196   2.947
     9  3500  4.00  0.00  2.00  1.25 -12.126 -12.423   2.913
    10  3500  4.50  0.00  2.00  1.25 -12.407 -12.670   2.866
    11  3500  5.00  0.00  2.00  1.25 -12.653 -12.876   2.811
    12  3750  0.00  0.00  2.00  1.25 -13.559 -13.634   2.609
    13  3750  0.50  0.00  2.00  1.25 -13.529 -13.614   2.623
    14  3750  1.00  0.00  2.00  1.25 -13.470 -13.569   2.642
    15  3750  1.50  0.00  2.00  1.25 -13.390 -13.506   2.665
    16  3750  2.00  0.00  2.00  1.25 -13.303 -13.437   2.689
    17  3750  2.50  0.00  2.00  1.25 -13.214 -13.366   2.713
    18  3750  3.00  0.00  2.00  1.25 -13.141 -13.309   2.735
    19  3750  3.50  0.00  2.00  1.25 -13.103 -13.283   2.752
    20  3750  4.00  0.00  2.00  1.25 -13.118 -13.302   2.758
    21  3750  4.50  0.00  2.00  1.25 -13.219 -13.391   2.742
    22  3750  5.00  0.00  2.00  1.25 -13.379 -13.529   2.710
    23  4000  0.00  0.00  2.00  1.25 -14.388 -14.441   2.577
    24  4000  0.50  0.00  2.00  1.25 -14.421 -14.468   2.571
    25  4000  1.00  0.00  2.00  1.25 -14.432 -14.475   2.566
    26  4000  1.50  0.00  2.00  1.25 -14.421 -14.463   2.563
    27  4000  2.00  0.00  2.00  1.25 -14.386 -14.428   2.564
    28  4000  2.50  0.00  2.00  1.25 -14.334 -14.380   2.569
    29  4000  3.00  0.00  2.00  1.25 -14.268 -14.321   2.580
    30  4000  3.50  0.00  2.00  1.25 -14.200 -14.264   2.593
    31  4000  4.00  0.00  2.00  1.25 -14.146 -14.220   2.607
    32  4000  4.50  0.00  2.00  1.25 -14.124 -14.201   2.612
    33  4000  5.00  0.00  2.00  1.25 -14.168 -14.236   2.598
    34  4250  0.00  0.00  2.00  1.25 -14.966 -15.022   2.581
    35  4250  0.50  0.00  2.00  1.25 -15.005 -15.056   2.575
    36  4250  1.00  0.00  2.00  1.25 -15.032 -15.078   2.568
    37  4250  1.50  0.00  2.00  1.25 -15.046 -15.085   2.560
    38  4250  2.00  0.00  2.00  1.25 -15.045 -15.078   2.551
    39  4250  2.50  0.00  2.00  1.25 -15.033 -15.060   2.543
    40  4250  3.00  0.00  2.00  1.25 -15.012 -15.034   2.536
    41  4250  3.50  0.00  2.00  1.25 -14.981 -15.000   2.532
    42  4250  4.00  0.00  2.00  1.25 -14.947 -14.965   2.531
    43  4250  4.50  0.00  2.00  1.25 -14.911 -14.930   2.532
    44  4250  5.00  0.00  2.00  1.25 -14.886 -14.902   2.528
    45  4500  0.00  0.00  2.00  1.25 -15.455 -15.513   2.586
    46  4500  0.50  0.00  2.00  1.25 -15.488 -15.544   2.582
    47  4500  1.00  0.00  2.00  1.25 -15.513 -15.564   2.577
    48  4500  1.50  0.00  2.00  1.25 -15.528 -15.575   2.571
    49  4500  2.00  0.00  2.00  1.25 -15.534 -15.575   2.563
    50  4500  2.50  0.00  2.00  1.25 -15.531 -15.565   2.553
    51  4500  3.00  0.00  2.00  1.25 -15.529 -15.556   2.543
    52  4500  3.50  0.00  2.00  1.25 -15.525 -15.545   2.533
    53  4500  4.00  0.00  2.00  1.25 -15.522 -15.533   2.522
    54  4500  4.50  0.00  2.00  1.25 -15.519 -15.523   2.512
    55  4500  5.00  0.00  2.00  1.25 -15.510 -15.508   2.502
    56  4750  0.00  0.00  2.00  1.25 -15.878 -15.940   2.591
    57  4750  0.50  0.00  2.00  1.25 -15.904 -15.964   2.588
    58  4750  1.00  0.00  2.00  1.25 -15.923 -15.980   2.585
    59  4750  1.50  0.00  2.00  1.25 -15.935 -15.989   2.580
    60  4750  2.00  0.00  2.00  1.25 -15.941 -15.990   2.574
    61  4750  2.50  0.00  2.00  1.25 -15.938 -15.982   2.566
    62  4750  3.00  0.00  2.00  1.25 -15.936 -15.973   2.557
    63  4750  3.50  0.00  2.00  1.25 -15.937 -15.967   2.548
    64  4750  4.00  0.00  2.00  1.25 -15.939 -15.962   2.537
    65  4750  4.50  0.00  2.00  1.25 -15.945 -15.960   2.526
    66  4750  5.00  0.00  2.00  1.25 -15.953 -15.958   2.514
    67  5000  0.00  0.00  2.00  1.25 -16.253 -16.321   2.599
    68  5000  0.50  0.00  2.00  1.25 -16.269 -16.335   2.596
    69  5000  1.00  0.00  2.00  1.25 -16.281 -16.345   2.593
    70  5000  1.50  0.00  2.00  1.25 -16.288 -16.349   2.589
    71  5000  2.00  0.00  2.00  1.25 -16.292 -16.349   2.584
    72  5000  2.50  0.00  2.00  1.25 -16.290 -16.342   2.578
