        Teff log g  [M]  Vturb  l/H   small     big    beta
     1  3500  0.00  0.05  2.00  1.25 -11.472 -11.822   2.985
     2  3500  0.50  0.05  2.00  1.25 -11.272 -11.640   3.010
     3  3500  1.00  0.05  2.00  1.25 -11.108 -11.482   3.018
     4  3500  1.50  0.05  2.00  1.25 -10.984 -11.356   3.015
     5  3500  2.00  0.05  2.00  1.25 -10.888 -11.255   3.007
     6  3500  2.50  0.05  2.00  1.25 -10.864 -11.224   2.998
     7  3500  3.00  0.05  2.00  1.25 -10.940 -11.297   2.993
     8  3500  3.50  0.05  2.00  1.25 -11.139 -11.486   2.980
     9  3500  4.00  0.05  2.00  1.25 -11.420 -11.753   2.962
    10  3500  4.50  0.05  2.00  1.25 -11.746 -12.056   2.931
    11  3500  5.00  0.05  2.00  1.25 -12.080 -12.367   2.899
    12  3750  0.00  0.05  2.00  1.25 -13.401 -13.534   2.688
    13  3750  0.50  0.05  2.00  1.25 -13.295 -13.450   2.717
    14  3750  1.00  0.05  2.00  1.25 -13.170 -13.346   2.747
    15  3750  1.50  0.05  2.00  1.25 -13.037 -13.231   2.772
    16  3750  2.00  0.05  2.00  1.25 -12.893 -13.104   2.795
    17  3750  2.50  0.05  2.00  1.25 -12.746 -12.971   2.814
    18  3750  3.00  0.05  2.00  1.25 -12.623 -12.860   2.830
    19  3750  3.50  0.05  2.00  1.25 -12.530 -12.776   2.842
    20  3750  4.00  0.05  2.00  1.25 -12.502 -12.752   2.848
    21  3750  4.50  0.05  2.00  1.25 -12.569 -12.818   2.847
    22  3750  5.00  0.05  2.00  1.25 -12.740 -12.978   2.832
    23  4000  0.00  0.05  2.00  1.25 -14.419 -14.485   2.596
    24  4000  0.50  0.05  2.00  1.25 -14.415 -14.482   2.597
    25  4000  1.00  0.05  2.00  1.25 -14.383 -14.451   2.600
    26  4000  1.50  0.05  2.00  1.25 -14.310 -14.384   2.607
    27  4000  2.00  0.05  2.00  1.25 -14.216 -14.299   2.620
    28  4000  2.50  0.05  2.00  1.25 -14.089 -14.186   2.639
    29  4000  3.00  0.05  2.00  1.25 -13.963 -14.076   2.660
    30  4000  3.50  0.05  2.00  1.25 -13.847 -13.976   2.684
    31  4000  4.00  0.05  2.00  1.25 -13.746 -13.890   2.704
    32  4000  4.50  0.05  2.00  1.25 -13.676 -13.831   2.718
    33  4000  5.00  0.05  2.00  1.25 -13.659 -13.817   2.722
    34  4250  0.00  0.05  2.00  1.25 -15.037 -15.100   2.592
    35  4250  0.50  0.05  2.00  1.25 -15.066 -15.125   2.587
    36  4250  1.00  0.05  2.00  1.25 -15.077 -15.132   2.581
    37  4250  1.50  0.05  2.00  1.25 -15.063 -15.113   2.575
    38  4250  2.00  0.05  2.00  1.25 -15.023 -15.069   2.570
    39  4250  2.50  0.05  2.00  1.25 -14.966 -15.011   2.568
    40  4250  3.00  0.05  2.00  1.25 -14.887 -14.934   2.571
    41  4250  3.50  0.05  2.00  1.25 -14.807 -14.861   2.579
    42  4250  4.00  0.05  2.00  1.25 -14.730 -14.792   2.591
    43  4250  4.50  0.05  2.00  1.25 -14.655 -14.726   2.604
    44  4250  5.00  0.05  2.00  1.25 -14.594 -14.672   2.612
    45  4500  0.00  0.05  2.00  1.25 -15.522 -15.589   2.597
    46  4500  0.50  0.05  2.00  1.25 -15.551 -15.615   2.593
    47  4500  1.00  0.05  2.00  1.25 -15.571 -15.632   2.589
    48  4500  1.50  0.05  2.00  1.25 -15.576 -15.632   2.583
    49  4500  2.00  0.05  2.00  1.25 -15.559 -15.609   2.575
    50  4500  2.50  0.05  2.00  1.25 -15.540 -15.584   2.566
    51  4500  3.00  0.05  2.00  1.25 -15.511 -15.549   2.558
    52  4500  3.50  0.05  2.00  1.25 -15.481 -15.513   2.550
    53  4500  4.00  0.05  2.00  1.25 -15.454 -15.482   2.544
    54  4500  4.50  0.05  2.00  1.25 -15.426 -15.451   2.541
    55  4500  5.00  0.05  2.00  1.25 -15.391 -15.414   2.538
    56  4750  0.00  0.05  2.00  1.25 -15.937 -16.007   2.602
    57  4750  0.50  0.05  2.00  1.25 -15.959 -16.028   2.600
    58  4750  1.00  0.05  2.00  1.25 -15.977 -16.043   2.597
    59  4750  1.50  0.05  2.00  1.25 -15.985 -16.049   2.593
    60  4750  2.00  0.05  2.00  1.25 -15.975 -16.035   2.588
    61  4750  2.50  0.05  2.00  1.25 -15.959 -16.014   2.580
    62  4750  3.00  0.05  2.00  1.25 -15.949 -15.996   2.571
    63  4750  3.50  0.05  2.00  1.25 -15.936 -15.976   2.561
    64  4750  4.00  0.05  2.00  1.25 -15.930 -15.962   2.550
    65  4750  4.50  0.05  2.00  1.25 -15.927 -15.951   2.539
    66  4750  5.00  0.05  2.00  1.25 -15.923 -15.939   2.528
    67  5000  0.00  0.05  2.00  1.25 -16.302 -16.378   2.610
    68  5000  0.50  0.05  2.00  1.25 -16.316 -16.391   2.609
    69  5000  1.00  0.05  2.00  1.25 -16.327 -16.401   2.607
    70  5000  1.50  0.05  2.00  1.25 -16.333 -16.405   2.604
    71  5000  2.00  0.05  2.00  1.25 -16.329 -16.398   2.600
    72  5000  2.50  0.05  2.00  1.25 -16.315 -16.380   2.594
