        Teff log g  [M]  Vturb  l/H   small     big    beta
     1  3500  0.00  0.50  2.00  1.25 -12.041 -12.289   2.846
     2  3500  0.50  0.50  2.00  1.25 -11.896 -12.171   2.882
     3  3500  1.00  0.50  2.00  1.25 -11.764 -12.059   2.909
     4  3500  1.50  0.50  2.00  1.25 -11.657 -11.965   2.928
     5  3500  2.00  0.50  2.00  1.25 -11.590 -11.907   2.939
     6  3500  2.50  0.50  2.00  1.25 -11.578 -11.899   2.945
     7  3500  3.00  0.50  2.00  1.25 -11.634 -11.955   2.945
     8  3500  3.50  0.50  2.00  1.25 -11.776 -12.090   2.935
     9  3500  4.00  0.50  2.00  1.25 -11.999 -12.294   2.909
    10  3500  4.50  0.50  2.00  1.25 -12.272 -12.535   2.865
    11  3500  5.00  0.50  2.00  1.25 -12.547 -12.763   2.801
    12  3750  0.00  0.50  2.00  1.25 -13.601 -13.688   2.624
    13  3750  0.50  0.50  2.00  1.25 -13.563 -13.655   2.632
    14  3750  1.00  0.50  2.00  1.25 -13.500 -13.602   2.645
    15  3750  1.50  0.50  2.00  1.25 -13.419 -13.534   2.662
    16  3750  2.00  0.50  2.00  1.25 -13.324 -13.452   2.681
    17  3750  2.50  0.50  2.00  1.25 -13.234 -13.376   2.700
    18  3750  3.00  0.50  2.00  1.25 -13.156 -13.311   2.718
    19  3750  3.50  0.50  2.00  1.25 -13.104 -13.269   2.732
    20  3750  4.00  0.50  2.00  1.25 -13.104 -13.274   2.738
    21  3750  4.50  0.50  2.00  1.25 -13.186 -13.345   2.724
    22  3750  5.00  0.50  2.00  1.25 -13.334 -13.471   2.693
    23  4000  0.00  0.50  2.00  1.25 -14.440 -14.504   2.593
    24  4000  0.50  0.50  2.00  1.25 -14.456 -14.514   2.586
    25  4000  1.00  0.50  2.00  1.25 -14.456 -14.510   2.579
    26  4000  0.50  0.50  2.00  1.25 -14.456 -14.514   2.586
    27  4000  2.00  0.50  2.00  1.25 -14.394 -14.442   2.571
    28  4000  2.50  0.50  2.00  1.25 -14.338 -14.386   2.572
    29  4000  3.00  0.50  2.00  1.25 -14.276 -14.328   2.576
    30  4000  3.50  0.50  2.00  1.25 -14.210 -14.267   2.585
    31  4000  4.00  0.50  2.00  1.25 -14.152 -14.216   2.593
    32  4000  4.50  0.50  2.00  1.25 -14.125 -14.191   2.596
    33  4000  5.00  0.50  2.00  1.25 -14.163 -14.219   2.582
    34  4250  0.00  0.50  2.00  1.25 -15.034 -15.098   2.593
    35  4250  0.50  0.50  2.00  1.25 -15.058 -15.118   2.588
    36  4250  1.00  0.50  2.00  1.25 -15.071 -15.125   2.581
    37  4250  1.50  0.50  2.00  1.25 -15.071 -15.120   2.573
    38  4250  2.00  0.50  2.00  1.25 -15.061 -15.103   2.564
    39  4250  2.50  0.50  2.00  1.25 -15.033 -15.069   2.554
    40  4250  3.00  0.50  2.00  1.25 -15.007 -15.036   2.545
    41  4250  3.50  0.50  2.00  1.25 -14.977 -15.000   2.538
    42  4250  4.00  0.50  2.00  1.25 -14.941 -14.960   2.533
    43  4250  4.50  0.50  2.00  1.25 -14.906 -14.922   2.528
    44  4250  5.00  0.50  2.00  1.25 -14.883 -14.894   2.521
    45  4500  0.00  0.50  2.00  1.25 -15.519 -15.582   2.593
    46  4500  0.50  0.50  2.00  1.25 -15.542 -15.604   2.591
    47  4500  1.00  0.50  2.00  1.25 -15.557 -15.616   2.587
    48  4500  1.50  0.50  2.00  1.25 -15.564 -15.619   2.582
    49  4500  2.00  0.50  2.00  1.25 -15.561 -15.611   2.575
    50  4500  2.50  0.50  2.00  1.25 -15.548 -15.592   2.566
    51  4500  3.00  0.50  2.00  1.25 -15.530 -15.567   2.556
    52  4500  3.50  0.50  2.00  1.25 -15.521 -15.549   2.544
    53  4500  4.00  0.50  2.00  1.25 -15.511 -15.530   2.531
    54  4500  4.50  0.50  2.00  1.25 -15.501 -15.510   2.519
    55  4500  5.00  0.50  2.00  1.25 -15.489 -15.489   2.506
    56  4750  0.00  0.50  2.00  1.25 -15.930 -15.996   2.596
    57  4750  0.50  0.50  2.00  1.25 -15.951 -16.016   2.595
    58  4750  1.00  0.50  2.00  1.25 -15.966 -16.029   2.593
    59  4750  1.50  0.50  2.00  1.25 -15.973 -16.035   2.590
    60  4750  2.00  0.50  2.00  1.25 -15.974 -16.032   2.586
    61  4750  2.50  0.50  2.00  1.25 -15.968 -16.022   2.579
    62  4750  3.00  0.50  2.00  1.25 -15.955 -16.003   2.571
    63  4750  3.50  0.50  2.00  1.25 -15.945 -15.985   2.561
    64  4750  4.00  0.50  2.00  1.25 -15.942 -15.973   2.549
    65  4750  4.50  0.50  2.00  1.25 -15.941 -15.962   2.535
    66  4750  5.00  0.50  2.00  1.25 -15.940 -15.950   2.521
    67  5000  0.00  0.50  2.00  1.25 -16.289 -16.360   2.603
    68  5000  0.50  0.50  2.00  1.25 -16.305 -16.376   2.603
    69  5000  1.00  0.50  2.00  1.25 -16.316 -16.386   2.601
    70  5000  1.50  0.50  2.00  1.25 -16.323 -16.391   2.599
    71  5000  2.00  0.50  2.00  1.25 -16.324 -16.390   2.596
    72  5000  2.50  0.50  2.00  1.25 -16.321 -16.384   2.591
    73  5000  3.00  0.50  2.00  1.25 -16.314 -16.372   2.585
    74  5000  3.50  0.50  2.00  1.25 -16.305 -16.357   2.577
    75  5000  4.00  0.50  2.00  1.25 -16.301 -16.346   2.567
    76  5000  4.50  0.50  2.00  1.25 -16.300 -16.336   2.555
    77  5000  5.00  0.50  2.00  1.25 -16.302 -16.328   2.542
    78  5250  0.00  0.50  2.00  1.25 -16.518 -16.599   2.617
    79  5250  0.50  0.50  2.00  1.25 -16.518 -16.598   2.616
    80  5250  1.00  0.50  2.00  1.25 -16.519 -16.597   2.613
    81  5250  1.50  0.50  2.00  1.25 -16.520 -16.595   2.610
    82  5250  2.00  0.50  2.00  1.25 -16.519 -16.592   2.605
    83  5250  2.50  0.50  2.00  1.25 -16.518 -16.587   2.600
    84  5250  3.00  0.50  2.00  1.25 -16.515 -16.580   2.595
    85  5250  3.50  0.50  2.00  1.25 -16.513 -16.573   2.588
    86  5250  4.00  0.50  2.00  1.25 -16.513 -16.566   2.579
    87  5250  4.50  0.50  2.00  1.25 -16.516 -16.562   2.568
    88  5250  5.00  0.50  2.00  1.25 -16.522 -16.557   2.554
    89  5500  0.00  0.50  2.00  1.25 -16.837 -16.927   2.628
    90  5500  0.50  0.50  2.00  1.25 -16.827 -16.917   2.628
    91  5500  1.00  0.50  2.00  1.25 -16.820 -16.908   2.627
    92  5500  1.50  0.50  2.00  1.25 -16.814 -16.900   2.624
    93  5500  2.00  0.50  2.00  1.25 -16.808 -16.891   2.620
    94  5500  2.50  0.50  2.00  1.25 -16.803 -16.883   2.615
    95  5500  3.00  0.50  2.00  1.25 -16.799 -16.875   2.609
    96  5500  3.50  0.50  2.00  1.25 -16.796 -16.867   2.603
    97  5500  4.00  0.50  2.00  1.25 -16.795 -16.861   2.597
    98  5500  4.50  0.50  2.00  1.25 -16.797 -16.857   2.588
    99  5500  5.00  0.50  2.00  1.25 -16.802 -16.855   2.578
   100  5750  0.00  0.50  2.00  1.25 -17.133 -17.231   2.640
   101  5750  0.50  0.50  2.00  1.25 -17.113 -17.213   2.642
   102  5750  1.00  0.50  2.00  1.25 -17.097 -17.197   2.642
   103  5750  1.50  0.50  2.00  1.25 -17.084 -17.182   2.640
   104  5750  2.00  0.50  2.00  1.25 -17.073 -17.169   2.637
   105  5750  2.50  0.50  2.00  1.25 -17.064 -17.156   2.632
   106  5750  3.00  0.50  2.00  1.25 -17.056 -17.145   2.627
   107  5750  3.50  0.50  2.00  1.25 -17.051 -17.135   2.621
   108  5750  4.00  0.50  2.00  1.25 -17.048 -17.127   2.614
