TEFF   9750.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
3.24283759E-05   5917.9 3.242E+00 1.001E+11 4.811E-02 2.605E+01 2.000E+05
3.64847164E-05   6391.0 3.647E+00 2.761E+11 4.811E-02 2.038E+01 2.000E+05
4.79782357E-05   6448.2 4.796E+00 3.545E+11 5.209E-02 1.953E+01 2.000E+05
6.24039143E-05   6507.5 6.238E+00 4.533E+11 5.725E-02 1.893E+01 2.000E+05
7.99605984E-05   6561.9 7.993E+00 5.690E+11 6.278E-02 1.846E+01 2.000E+05
1.01288875E-04   6613.2 1.013E+01 7.052E+11 6.888E-02 1.813E+01 2.000E+05
1.27231316E-04   6662.7 1.272E+01 8.663E+11 7.579E-02 1.794E+01 2.000E+05
1.58596476E-04   6711.0 1.586E+01 1.056E+12 8.365E-02 1.783E+01 2.000E+05
1.96413156E-04   6758.8 1.964E+01 1.281E+12 9.269E-02 1.780E+01 2.000E+05
2.41820320E-04   6806.4 2.418E+01 1.547E+12 1.031E-01 1.783E+01 2.000E+05
2.96136152E-04   6854.0 2.961E+01 1.860E+12 1.152E-01 1.791E+01 2.000E+05
3.60865835E-04   6901.8 3.608E+01 2.229E+12 1.291E-01 1.805E+01 2.000E+05
4.37788397E-04   6949.4 4.377E+01 2.661E+12 1.450E-01 1.823E+01 2.000E+05
5.29008077E-04   6996.9 5.289E+01 3.167E+12 1.632E-01 1.844E+01 2.000E+05
6.37125941E-04   7043.2 6.370E+01 3.752E+12 1.835E-01 1.867E+01 2.000E+05
7.65371538E-04   7088.5 7.652E+01 4.428E+12 2.062E-01 1.895E+01 2.000E+05
9.17696654E-04   7132.1 9.175E+01 5.203E+12 2.313E-01 1.930E+01 2.000E+05
1.09902490E-03   7174.1 1.099E+02 6.091E+12 2.589E-01 1.975E+01 2.000E+05
1.31527891E-03   7214.8 1.315E+02 7.109E+12 2.892E-01 2.032E+01 2.000E+05
1.57351915E-03   7254.6 1.573E+02 8.280E+12 3.229E-01 2.099E+01 2.000E+05
1.88198323E-03   7294.1 1.882E+02 9.631E+12 3.605E-01 2.178E+01 2.000E+05
2.25016172E-03   7333.9 2.250E+02 1.120E+13 4.031E-01 2.268E+01 2.000E+05
2.68890783E-03   7374.4 2.688E+02 1.302E+13 4.515E-01 2.370E+01 2.000E+05
3.21102562E-03   7415.4 3.210E+02 1.514E+13 5.063E-01 2.483E+01 2.000E+05
3.83042941E-03   7458.7 3.830E+02 1.763E+13 5.703E-01 2.614E+01 2.000E+05
4.56356539E-03   7502.3 4.563E+02 2.052E+13 6.424E-01 2.755E+01 2.000E+05
5.43125790E-03   7546.2 5.430E+02 2.385E+13 7.239E-01 2.909E+01 2.000E+05
6.45851666E-03   7590.1 6.457E+02 2.770E+13 8.152E-01 3.080E+01 2.000E+05
7.67458737E-03   7634.4 7.673E+02 3.215E+13 9.185E-01 3.271E+01 2.000E+05
9.11442319E-03   7678.7 9.112E+02 3.728E+13 1.034E+00 3.487E+01 2.000E+05
1.08182857E-02   7724.3 1.082E+03 4.327E+13 1.167E+00 3.740E+01 2.000E+05
1.28292945E-02   7772.3 1.283E+03 5.030E+13 1.320E+00 4.041E+01 2.000E+05
1.51953976E-02   7822.8 1.519E+03 5.858E+13 1.499E+00 4.394E+01 2.000E+05
1.79666961E-02   7877.6 1.796E+03 6.847E+13 1.712E+00 4.817E+01 2.000E+05
2.11903252E-02   7938.2 2.118E+03 8.041E+13 1.970E+00 5.329E+01 2.000E+05
2.49073116E-02   8006.2 2.490E+03 9.501E+13 2.290E+00 5.961E+01 2.000E+05
2.91490898E-02   8083.0 2.914E+03 1.130E+14 2.691E+00 6.755E+01 2.000E+05
3.39252991E-02   8172.3 3.391E+03 1.357E+14 3.213E+00 7.781E+01 2.000E+05
3.92123199E-02   8276.3 3.919E+03 1.647E+14 3.905E+00 9.129E+01 2.000E+05
4.49615915E-02   8396.1 4.494E+03 2.019E+14 4.832E+00 1.092E+02 2.000E+05
5.10905871E-02   8536.1 5.106E+03 2.504E+14 6.112E+00 1.337E+02 2.000E+05
5.74719540E-02   8700.3 5.743E+03 3.146E+14 7.929E+00 1.681E+02 2.000E+05
6.39386398E-02   8895.5 6.388E+03 4.015E+14 1.058E+01 2.171E+02 2.000E+05
7.03148997E-02   9123.2 7.024E+03 5.182E+14 1.450E+01 2.880E+02 2.000E+05
