
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
    1  3500  0.00 -0.50  2.00  1.25  0.00   4.921   4.913   1.261   0.798   0.801   0.793   2.512   1.900   0.242
    2  3500  0.50 -0.50  2.00  1.25  0.00   4.695   4.686   1.174   0.718   0.910   0.902   2.500   1.773   0.299
    3  3500  1.00 -0.50  2.00  1.25  0.00   4.442   4.434   1.104   0.615   1.001   0.993   2.493   1.657   0.342
    4  3500  1.50 -0.50  2.00  1.25  0.00   4.190   4.182   1.050   0.509   1.069   1.060   2.488   1.557   0.375
    5  3500  2.00 -0.50  2.00  1.25  0.00   3.965   3.956   1.011   0.415   1.111   1.103   2.485   1.478   0.395
    6  3500  2.50 -0.50  2.00  1.25  0.00   3.781   3.773   0.997   0.355   1.074   1.066   2.475   1.431   0.393
    7  3500  3.00 -0.50  2.00  1.25  0.00   3.622   3.615   1.018   0.333   0.918   0.911   2.458   1.424   0.355
    8  3500  3.50 -0.50  2.00  1.25  0.00   3.494   3.487   1.027   0.323   0.791   0.785   2.448   1.409   0.320
    9  3500  4.00 -0.50  2.00  1.25  0.00   3.421   3.415   1.030   0.323   0.714   0.708   2.439   1.400   0.302
   10  3500  4.50 -0.50  2.00  1.25  0.00   3.403   3.399   1.033   0.339   0.656   0.652   2.424   1.399   0.297
   11  3500  5.00 -0.50  2.00  1.25  0.00   3.408   3.405   1.038   0.358   0.614   0.611   2.402   1.406   0.304
   12  3750  0.00 -0.50  2.00  1.25  0.00   4.761   4.754   1.138   0.893   0.696   0.689   2.539   1.748   0.187
   13  3750  0.50 -0.50  2.00  1.25  0.00   4.537   4.530   1.063   0.848   0.714   0.707   2.518   1.633   0.220
   14  3750  1.00 -0.50  2.00  1.25  0.00   4.315   4.308   1.006   0.787   0.728   0.720   2.496   1.536   0.251
   15  3750  1.50 -0.50  2.00  1.25  0.00   4.111   4.104   0.962   0.721   0.742   0.734   2.474   1.455   0.281
   16  3750  2.00 -0.50  2.00  1.25  0.00   3.934   3.927   0.929   0.659   0.757   0.749   2.453   1.391   0.309
   17  3750  2.50 -0.50  2.00  1.25  0.00   3.792   3.785   0.902   0.608   0.769   0.762   2.433   1.338   0.336
   18  3750  3.00 -0.50  2.00  1.25  0.00   3.666   3.659   0.895   0.563   0.748   0.741   2.418   1.308   0.344
   19  3750  3.50 -0.50  2.00  1.25  0.00   3.506   3.500   0.921   0.496   0.671   0.665   2.418   1.306   0.315
   20  3750  4.00 -0.50  2.00  1.25  0.00   3.353   3.348   0.937   0.436   0.605   0.600   2.424   1.294   0.285
   21  3750  4.50 -0.50  2.00  1.25  0.00   3.258   3.253   0.942   0.403   0.567   0.563   2.423   1.283   0.273
   22  3750  5.00 -0.50  2.00  1.25  0.00   3.200   3.196   0.944   0.384   0.543   0.539   2.414   1.274   0.274
   23  4000  0.00 -0.50  2.00  1.25  0.00   4.241   4.236   1.024   0.801   0.589   0.584   2.568   1.541   0.130
   24  4000  0.50 -0.50  2.00  1.25  0.00   4.019   4.014   0.952   0.772   0.569   0.565   2.556   1.430   0.140
   25  4000  1.00 -0.50  2.00  1.25  0.00   3.813   3.809   0.898   0.733   0.548   0.544   2.540   1.338   0.153
   26  4000  1.50 -0.50  2.00  1.25  0.00   3.645   3.640   0.859   0.695   0.534   0.530   2.521   1.269   0.169
   27  4000  2.00 -0.50  2.00  1.25  0.00   3.520   3.516   0.830   0.664   0.530   0.526   2.499   1.218   0.192
   28  4000  2.50 -0.50  2.00  1.25  0.00   3.436   3.432   0.809   0.639   0.538   0.534   2.475   1.182   0.220
   29  4000  3.00 -0.50  2.00  1.25  0.00   3.388   3.384   0.793   0.624   0.551   0.547   2.450   1.157   0.251
