
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -0.50  2.00  1.25  0.00  -8.260  -8.246 -10.749 -12.379 -13.140   4.921   4.913   1.261   0.798   0.801   0.793
    2  3500  0.50 -0.50  2.00  1.25  0.00  -8.600  -8.586 -11.030 -12.492 -13.166   4.695   4.686   1.174   0.718   0.910   0.902
    3  3500  1.00 -0.50  2.00  1.25  0.00  -8.925  -8.912 -11.275 -12.566 -13.170   4.442   4.434   1.104   0.615   1.001   0.993
    4  3500  1.50 -0.50  2.00  1.25  0.00  -9.220  -9.207 -11.477 -12.608 -13.158   4.190   4.182   1.050   0.509   1.069   1.060
    5  3500  2.00 -0.50  2.00  1.25  0.00  -9.467  -9.453 -11.632 -12.629 -13.140   3.965   3.956   1.011   0.415   1.111   1.103
    6  3500  2.50 -0.50  2.00  1.25  0.00  -9.683  -9.669 -11.739 -12.662 -13.159   3.781   3.773   0.997   0.355   1.074   1.066
    7  3500  3.00 -0.50  2.00  1.25  0.00  -9.962  -9.947 -11.860 -12.782 -13.299   3.622   3.615   1.018   0.333   0.918   0.911
    8  3500  3.50 -0.50  2.00  1.25  0.00 -10.215 -10.200 -11.986 -12.907 -13.434   3.494   3.487   1.027   0.323   0.791   0.785
    9  3500  4.00 -0.50  2.00  1.25  0.00 -10.334 -10.318 -12.029 -12.953 -13.483   3.421   3.415   1.030   0.323   0.714   0.708
   10  3500  4.50 -0.50  2.00  1.25  0.00 -10.359 -10.341 -12.016 -12.960 -13.493   3.403   3.399   1.033   0.339   0.656   0.652
   11  3500  5.00 -0.50  2.00  1.25  0.00 -10.342 -10.323 -11.981 -12.948 -13.487   3.408   3.405   1.038   0.358   0.614   0.611
   12  3750  0.00 -0.50  2.00  1.25  0.00  -9.358  -9.343 -11.715 -13.317 -13.955   4.761   4.754   1.138   0.893   0.696   0.689
   13  3750  0.50 -0.50  2.00  1.25  0.00  -9.692  -9.678 -11.946 -13.427 -13.990   4.537   4.530   1.063   0.848   0.714   0.707
   14  3750  1.00 -0.50  2.00  1.25  0.00  -9.989  -9.974 -12.138 -13.502 -14.008   4.315   4.308   1.006   0.787   0.728   0.720
   15  3750  1.50 -0.50  2.00  1.25  0.00 -10.241 -10.227 -12.296 -13.551 -14.013   4.111   4.104   0.962   0.721   0.742   0.734
   16  3750  2.00 -0.50  2.00  1.25  0.00 -10.448 -10.433 -12.421 -13.580 -14.009   3.934   3.927   0.929   0.659   0.757   0.749
   17  3750  2.50 -0.50  2.00  1.25  0.00 -10.606 -10.591 -12.514 -13.596 -13.998   3.792   3.785   0.902   0.608   0.769   0.762
   18  3750  3.00 -0.50  2.00  1.25  0.00 -10.738 -10.722 -12.572 -13.601 -13.996   3.666   3.659   0.895   0.563   0.748   0.741
   19  3750  3.50 -0.50  2.00  1.25  0.00 -10.917 -10.901 -12.634 -13.621 -14.041   3.506   3.500   0.921   0.496   0.671   0.665
   20  3750  4.00 -0.50  2.00  1.25  0.00 -11.119 -11.102 -12.726 -13.670 -14.107   3.353   3.348   0.937   0.436   0.605   0.600
   21  3750  4.50 -0.50  2.00  1.25  0.00 -11.242 -11.225 -12.782 -13.698 -14.139   3.258   3.253   0.942   0.403   0.567   0.563
   22  3750  5.00 -0.50  2.00  1.25  0.00 -11.305 -11.287 -12.804 -13.703 -14.146   3.200   3.196   0.944   0.384   0.543   0.539
   23  4000  0.00 -0.50  2.00  1.25  0.00 -10.624 -10.607 -12.667 -14.063 -14.587   4.241   4.236   1.024   0.801   0.589   0.584
   24  4000  0.50 -0.50  2.00  1.25  0.00 -10.949 -10.932 -12.871 -14.166 -14.618   4.019   4.014   0.952   0.772   0.569   0.565
   25  4000  1.00 -0.50  2.00  1.25  0.00 -11.226 -11.209 -13.035 -14.237 -14.636   3.813   3.809   0.898   0.733   0.548   0.544
   26  4000  1.50 -0.50  2.00  1.25  0.00 -11.442 -11.425 -13.160 -14.285 -14.644   3.645   3.640   0.859   0.695   0.534   0.530
   27  4000  2.00 -0.50  2.00  1.25  0.00 -11.598 -11.580 -13.251 -14.315 -14.646   3.520   3.516   0.830   0.664   0.530   0.526
   28  4000  2.50 -0.50  2.00  1.25  0.00 -11.698 -11.681 -13.313 -14.332 -14.641   3.436   3.432   0.809   0.639   0.538   0.534
   29  4000  3.00 -0.50  2.00  1.25  0.00 -11.754 -11.736 -13.351 -14.339 -14.633   3.388   3.384   0.793   0.624   0.551   0.547
   30  4000  3.50 -0.50  2.00  1.25  0.00 -11.784 -11.766 -13.366 -14.335 -14.624   3.353   3.349   0.788   0.610   0.555   0.551
   31  4000  4.00 -0.50  2.00  1.25  0.00 -11.862 -11.844 -13.386 -14.322 -14.633   3.262   3.258   0.811   0.555   0.529   0.525
   32  4000  4.50 -0.50  2.00  1.25  0.00 -11.992 -11.974 -13.439 -14.327 -14.662   3.137   3.133   0.835   0.482   0.502   0.498
   33  4000  5.00 -0.50  2.00  1.25  0.00 -12.108 -12.090 -13.496 -14.339 -14.685   3.033   3.029   0.846   0.426   0.487   0.484
   34  4250  0.00 -0.50  2.00  1.25  0.00 -11.747 -11.729 -13.503 -14.683 -15.111   3.737   3.734   0.928   0.680   0.518   0.515
   35  4250  0.50 -0.50  2.00  1.25  0.00 -12.038 -12.019 -13.683 -14.774 -15.136   3.539   3.536   0.862   0.659   0.495   0.492
   36  4250  1.00 -0.50  2.00  1.25  0.00 -12.292 -12.272 -13.827 -14.839 -15.150   3.349   3.347   0.811   0.629   0.466   0.463
   37  4250  1.50 -0.50  2.00  1.25  0.00 -12.496 -12.476 -13.939 -14.884 -15.157   3.190   3.188   0.773   0.601   0.440   0.438
   38  4250  2.00 -0.50  2.00  1.25  0.00 -12.647 -12.627 -14.021 -14.914 -15.159   3.070   3.068   0.745   0.577   0.424   0.422
   39  4250  2.50 -0.50  2.00  1.25  0.00 -12.744 -12.724 -14.077 -14.935 -15.158   2.993   2.991   0.723   0.564   0.417   0.415
   40  4250  3.00 -0.50  2.00  1.25  0.00 -12.791 -12.770 -14.108 -14.948 -15.154   2.959   2.958   0.706   0.563   0.418   0.417
   41  4250  3.50 -0.50  2.00  1.25  0.00 -12.792 -12.771 -14.115 -14.954 -15.148   2.964   2.963   0.694   0.573   0.426   0.425
   42  4250  4.00 -0.50  2.00  1.25  0.00 -12.760 -12.739 -14.103 -14.950 -15.140   2.993   2.991   0.689   0.587   0.438   0.436
   43  4250  4.50 -0.50  2.00  1.25  0.00 -12.757 -12.736 -14.093 -14.929 -15.136   2.975   2.973   0.707   0.559   0.441   0.440
   44  4250  5.00 -0.50  2.00  1.25  0.00 -12.828 -12.808 -14.120 -14.912 -15.146   2.886   2.883   0.734   0.486   0.442   0.440
   45  4500  0.00 -0.50  2.00  1.25  0.00 -12.718 -12.700 -14.260 -15.226 -15.558   3.311   3.307   0.832   0.564   0.518   0.514
   46  4500  0.50 -0.50  2.00  1.25  0.00 -12.966 -12.947 -14.406 -15.301 -15.577   3.136   3.133   0.777   0.547   0.487   0.484
   47  4500  1.00 -0.50  2.00  1.25  0.00 -13.182 -13.162 -14.522 -15.353 -15.587   2.973   2.971   0.734   0.526   0.451   0.448
   48  4500  1.50 -0.50  2.00  1.25  0.00 -13.358 -13.338 -14.612 -15.390 -15.591   2.833   2.832   0.701   0.505   0.418   0.416
   49  4500  2.00 -0.50  2.00  1.25  0.00 -13.495 -13.474 -14.682 -15.416 -15.591   2.723   2.721   0.676   0.488   0.394   0.393
   50  4500  2.50 -0.50  2.00  1.25  0.00 -13.590 -13.569 -14.731 -15.435 -15.590   2.647   2.646   0.655   0.478   0.379   0.378
   51  4500  3.00 -0.50  2.00  1.25  0.00 -13.647 -13.626 -14.764 -15.450 -15.588   2.605   2.604   0.638   0.477   0.372   0.372
   52  4500  3.50 -0.50  2.00  1.25  0.00 -13.664 -13.642 -14.777 -15.461 -15.585   2.599   2.599   0.625   0.488   0.373   0.372
   53  4500  4.00 -0.50  2.00  1.25  0.00 -13.643 -13.621 -14.773 -15.468 -15.581   2.627   2.627   0.614   0.510   0.378   0.377
   54  4500  4.50 -0.50  2.00  1.25  0.00 -13.593 -13.571 -14.752 -15.468 -15.576   2.677   2.676   0.608   0.537   0.385   0.385
   55  4500  5.00 -0.50  2.00  1.25  0.00 -13.568 -13.546 -14.738 -15.451 -15.572   2.685   2.684   0.621   0.521   0.399   0.399
   56  4750  0.00 -0.50  2.00  1.25  0.00 -13.545 -13.527 -14.951 -15.717 -15.947   2.974   2.970   0.730   0.466   0.581   0.577
   57  4750  0.50 -0.50  2.00  1.25  0.00 -13.763 -13.745 -15.063 -15.771 -15.959   2.810   2.806   0.688   0.449   0.533   0.530
   58  4750  1.00 -0.50  2.00  1.25  0.00 -13.950 -13.931 -15.151 -15.809 -15.965   2.660   2.657   0.656   0.431   0.484   0.481
   59  4750  1.50 -0.50  2.00  1.25  0.00 -14.102 -14.083 -15.217 -15.835 -15.966   2.534   2.532   0.631   0.416   0.439   0.436
   60  4750  2.00 -0.50  2.00  1.25  0.00 -14.220 -14.199 -15.265 -15.853 -15.965   2.435   2.433   0.612   0.404   0.400   0.399
   61  4750  2.50 -0.50  2.00  1.25  0.00 -14.305 -14.284 -15.300 -15.866 -15.963   2.364   2.362   0.596   0.399   0.372   0.370
   62  4750  3.00 -0.50  2.00  1.25  0.00 -14.361 -14.339 -15.325 -15.878 -15.960   2.320   2.319   0.582   0.400   0.353   0.352
   63  4750  3.50 -0.50  2.00  1.25  0.00 -14.385 -14.363 -15.338 -15.889 -15.958   2.306   2.305   0.570   0.410   0.344   0.343
   64  4750  4.00 -0.50  2.00  1.25  0.00 -14.379 -14.357 -15.339 -15.898 -15.957   2.321   2.321   0.559   0.429   0.344   0.344
   65  4750  4.50 -0.50  2.00  1.25  0.00 -14.346 -14.324 -15.330 -15.905 -15.954   2.362   2.362   0.549   0.456   0.350   0.350
   66  4750  5.00 -0.50  2.00  1.25  0.00 -14.302 -14.279 -15.314 -15.908 -15.952   2.408   2.409   0.544   0.479   0.361   0.361
   67  5000  0.00 -0.50  2.00  1.25  0.00 -14.243 -14.225 -15.575 -16.162 -16.293   2.721   2.717   0.631   0.386   0.686   0.682
   68  5000  0.50 -0.50  2.00  1.25  0.00 -14.434 -14.415 -15.652 -16.195 -16.296   2.563   2.560   0.601   0.371   0.617   0.614
   69  5000  1.00 -0.50  2.00  1.25  0.00 -14.602 -14.583 -15.714 -16.218 -16.297   2.418   2.415   0.579   0.354   0.550   0.547
   70  5000  1.50 -0.50  2.00  1.25  0.00 -14.740 -14.721 -15.760 -16.233 -16.295   2.294   2.292   0.562   0.340   0.489   0.486
   71  5000  2.00 -0.50  2.00  1.25  0.00 -14.848 -14.828 -15.791 -16.242 -16.291   2.196   2.194   0.549   0.331   0.434   0.432
   72  5000  2.50 -0.50  2.00  1.25  0.00 -14.927 -14.907 -15.811 -16.249 -16.288   2.124   2.122   0.539   0.328   0.388   0.386
   73  5000  3.00 -0.50  2.00  1.25  0.00 -14.981 -14.960 -15.823 -16.255 -16.285   2.076   2.075   0.530   0.331   0.352   0.351
   74  5000  3.50 -0.50  2.00  1.25  0.00 -15.008 -14.987 -15.828 -16.262 -16.283   2.056   2.055   0.521   0.342   0.327   0.326
   75  5000  4.00 -0.50  2.00  1.25  0.00 -15.011 -14.990 -15.826 -16.270 -16.283   2.061   2.060   0.513   0.360   0.314   0.313
   76  5000  4.50 -0.50  2.00  1.25  0.00 -14.989 -14.967 -15.819 -16.278 -16.282   2.091   2.091   0.504   0.385   0.312   0.312
   77  5000  5.00 -0.50  2.00  1.25  0.00 -14.952 -14.930 -15.807 -16.285 -16.282   2.135   2.136   0.497   0.411   0.319   0.319
   78  5250  0.00 -0.50  2.00  1.25  0.00 -14.824 -14.805 -16.134 -16.565 -16.604   2.543   2.540   0.539   0.321   0.822   0.818
   79  5250  0.50 -0.50  2.00  1.25  0.00 -14.990 -14.972 -16.180 -16.578 -16.599   2.390   2.387   0.521   0.307   0.733   0.729
   80  5250  1.00 -0.50  2.00  1.25  0.00 -15.143 -15.124 -16.217 -16.587 -16.594   2.246   2.243   0.507   0.293   0.645   0.642
   81  5250  1.50 -0.50  2.00  1.25  0.00 -15.274 -15.254 -16.243 -16.591 -16.588   2.120   2.117   0.497   0.281   0.563   0.561
   82  5250  2.00 -0.50  2.00  1.25  0.00 -15.379 -15.359 -16.260 -16.592 -16.582   2.015   2.013   0.489   0.272   0.490   0.488
   83  5250  2.50 -0.50  2.00  1.25  0.00 -15.461 -15.440 -16.268 -16.592 -16.576   1.934   1.932   0.484   0.269   0.425   0.424
   84  5250  3.00 -0.50  2.00  1.25  0.00 -15.518 -15.498 -16.270 -16.592 -16.572   1.876   1.875   0.480   0.272   0.371   0.369
   85  5250  3.50 -0.50  2.00  1.25  0.00 -15.553 -15.532 -16.267 -16.594 -16.570   1.844   1.843   0.475   0.281   0.328   0.327
   86  5250  4.00 -0.50  2.00  1.25  0.00 -15.565 -15.544 -16.260 -16.599 -16.569   1.836   1.835   0.470   0.298   0.298   0.297
   87  5250  4.50 -0.50  2.00  1.25  0.00 -15.553 -15.532 -16.249 -16.605 -16.570   1.854   1.854   0.465   0.321   0.281   0.280
   88  5250  5.00 -0.50  2.00  1.25  0.00 -15.524 -15.503 -16.236 -16.612 -16.571   1.890   1.890   0.459   0.347   0.277   0.277
   89  5500  0.00 -0.50  2.00  1.25  0.00 -15.297 -15.278 -16.631 -16.928 -16.884   2.433   2.430   0.456   0.271   0.979   0.976
   90  5500  0.50 -0.50  2.00  1.25  0.00 -15.444 -15.425 -16.651 -16.926 -16.873   2.284   2.281   0.447   0.257   0.874   0.871
