
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -0.50  2.00  0.00  0.00  -8.477  -8.463 -10.874 -12.364 -13.155   4.690   4.681   1.291   0.628   0.850   0.841
    2  3500  0.50 -0.50  2.00  0.00  0.00  -8.897  -8.883 -11.194 -12.497 -13.201   4.402   4.393   1.204   0.527   0.937   0.928
    3  3500  1.00 -0.50  2.00  0.00  0.00  -9.317  -9.304 -11.487 -12.610 -13.244   4.095   4.086   1.134   0.418   0.989   0.980
    4  3500  1.50 -0.50  2.00  0.00  0.00  -9.718  -9.704 -11.750 -12.715 -13.293   3.799   3.791   1.078   0.316   1.009   1.000
    5  3500  2.00 -0.50  2.00  0.00  0.00 -10.084 -10.069 -11.986 -12.823 -13.353   3.541   3.533   1.031   0.235   1.008   1.000
    6  3500  2.50 -0.50  2.00  0.00  0.00 -10.406 -10.391 -12.189 -12.932 -13.424   3.329   3.321   0.991   0.181   0.982   0.975
    7  3500  3.00 -0.50  2.00  0.00  0.00 -10.661 -10.645 -12.345 -13.038 -13.507   3.179   3.172   0.969   0.152   0.934   0.927
    8  3500  3.50 -0.50  2.00  0.00  0.00 -10.857 -10.841 -12.440 -13.126 -13.603   3.070   3.064   0.977   0.138   0.838   0.832
    9  3500  4.00 -0.50  2.00  0.00  0.00 -10.975 -10.958 -12.478 -13.199 -13.685   3.027   3.021   0.986   0.165   0.723   0.718
   10  3500  4.50 -0.50  2.00  0.00  0.00 -10.989 -10.971 -12.443 -13.235 -13.729   3.049   3.044   0.993   0.228   0.604   0.599
   11  3500  5.00 -0.50  2.00  0.00  0.00 -10.918 -10.899 -12.346 -13.238 -13.740   3.122   3.119   1.002   0.319   0.478   0.474
   12  3750  0.00 -0.50  2.00  0.00  0.00  -9.535  -9.520 -11.768 -13.341 -13.995   4.609   4.601   1.154   0.849   0.602   0.595
   13  3750  0.50 -0.50  2.00  0.00  0.00  -9.896  -9.881 -12.005 -13.445 -14.024   4.352   4.344   1.078   0.791   0.612   0.604
   14  3750  1.00 -0.50  2.00  0.00  0.00 -10.227 -10.213 -12.211 -13.520 -14.042   4.095   4.088   1.021   0.717   0.616   0.609
   15  3750  1.50 -0.50  2.00  0.00  0.00 -10.530 -10.516 -12.394 -13.579 -14.055   3.850   3.843   0.977   0.637   0.621   0.614
   16  3750  2.00 -0.50  2.00  0.00  0.00 -10.810 -10.794 -12.564 -13.634 -14.073   3.627   3.620   0.939   0.561   0.625   0.619
   17  3750  2.50 -0.50  2.00  0.00  0.00 -11.064 -11.048 -12.719 -13.693 -14.098   3.431   3.426   0.905   0.498   0.624   0.618
   18  3750  3.00 -0.50  2.00  0.00  0.00 -11.269 -11.252 -12.848 -13.750 -14.131   3.283   3.278   0.880   0.451   0.619   0.614
   19  3750  3.50 -0.50  2.00  0.00  0.00 -11.423 -11.406 -12.936 -13.791 -14.170   3.170   3.165   0.880   0.405   0.600   0.595
   20  3750  4.00 -0.50  2.00  0.00  0.00 -11.564 -11.547 -12.995 -13.821 -14.219   3.059   3.054   0.898   0.357   0.547   0.542
