TEFF   3500.  GRAVITY 0.00000 LTE 
TITLE  [-1.5A] N(He)/Ntot=0.089 VTURB=4.0  L/H=1.25 NOVER                       
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.03162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -2.71
 ABUNDANCE CHANGE  9  -7.48 10  -3.55 11  -5.71 12  -4.06 13  -5.57 14  -4.09
 ABUNDANCE CHANGE 15  -6.59 16  -4.43 17  -6.54 18  -5.08 19  -6.82 20  -5.28
 ABUNDANCE CHANGE 21  -8.94 22  -6.65 23  -8.04 24  -6.37 25  -6.65 26  -4.53
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 8.62911698E-02   2089.0 8.627E-02 9.779E+04 1.545E-06 1.836E-04 4.000E+05 0.000E+00 0.000E+00
 1.14517649E-01   2098.2 1.145E-01 1.313E+05 1.600E-06 1.649E-04 4.000E+05 0.000E+00 0.000E+00
 1.51241043E-01   2111.2 1.512E-01 1.721E+05 1.638E-06 1.619E-04 4.000E+05 0.000E+00 0.000E+00
 2.00335285E-01   2139.4 1.993E-01 2.212E+05 1.649E-06 1.688E-04 4.000E+05 0.000E+00 0.000E+00
 2.66090361E-01   2182.8 2.631E-01 2.836E+05 1.655E-06 1.812E-04 4.000E+05 0.000E+00 0.000E+00
 3.52890493E-01   2218.8 3.473E-01 3.686E+05 1.691E-06 1.791E-04 4.000E+05 0.000E+00 0.000E+00
 4.64671291E-01   2226.2 4.550E-01 4.904E+05 1.795E-06 1.474E-04 4.000E+05 0.000E+00 0.000E+00
 6.11931218E-01   2241.7 5.901E-01 6.459E+05 1.903E-06 1.278E-04 4.000E+05 0.000E+00 0.000E+00
 7.83817498E-01   2264.4 7.609E-01 8.379E+05 1.998E-06 1.167E-04 4.000E+05 0.000E+00 0.000E+00
 1.00165055E+00   2288.3 9.774E-01 1.086E+06 2.108E-06 1.073E-04 4.000E+05 0.000E+00 0.000E+00
 1.27670772E+00   2308.5 1.252E+00 1.396E+06 2.215E-06 9.684E-05 4.000E+05 0.000E+00 0.000E+00
 1.62511086E+00   2329.0 1.599E+00 1.793E+06 2.335E-06 8.808E-05 4.000E+05 0.000E+00 0.000E+00
 2.06415596E+00   2349.9 2.038E+00 2.302E+06 2.471E-06 8.078E-05 4.000E+05 0.000E+00 0.000E+00
 2.61616875E+00   2371.2 2.589E+00 2.951E+06 2.624E-06 7.472E-05 4.000E+05 0.000E+00 0.000E+00
 3.30756347E+00   2392.7 3.281E+00 3.778E+06 2.797E-06 6.959E-05 4.000E+05 0.000E+00 0.000E+00
 4.17219263E+00   2412.8 4.146E+00 4.812E+06 2.983E-06 6.454E-05 4.000E+05 0.000E+00 0.000E+00
 5.25172625E+00   2432.9 5.225E+00 6.114E+06 3.191E-06 6.021E-05 4.000E+05 0.000E+00 0.000E+00
 6.59490098E+00   2453.1 6.569E+00 7.753E+06 3.426E-06 5.655E-05 4.000E+05 0.000E+00 0.000E+00
 8.26026638E+00   2473.5 8.234E+00 9.813E+06 3.692E-06 5.338E-05 4.000E+05 0.000E+00 0.000E+00
