
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
    1  3500  0.00 -1.50  4.00  1.25  0.00  -9.072 -11.623 -13.047 -22.077  -2.055   2.211   2.028   2.012
    2  3500  0.50 -1.50  4.00  1.25  0.00  -9.465 -11.817 -13.111 -22.077  -1.991   2.006   1.897   1.881
    3  3500  1.00 -1.50  4.00  1.25  0.00  -9.833 -11.971 -13.144 -22.077  -1.958   1.787   1.777   1.761
    4  3500  1.50 -1.50  4.00  1.25  0.00 -10.147 -12.090 -13.164 -22.077  -1.938   1.586   1.677   1.661
    5  3500  2.00 -1.50  4.00  1.25  0.00 -10.419 -12.210 -13.232 -22.077  -1.871   1.431   1.625   1.609
    6  3500  2.50 -1.50  4.00  1.25  0.00 -10.704 -12.381 -13.376 -22.077  -1.726   1.316   1.598   1.582
    7  3500  3.00 -1.50  4.00  1.25  0.00 -10.912 -12.507 -13.476 -22.077  -1.627   1.232   1.573   1.557
    8  3500  3.50 -1.50  4.00  1.25  0.00 -10.988 -12.541 -13.503 -22.077  -1.600   1.190   1.565   1.549
    9  3500  4.00 -1.50  4.00  1.25  0.00 -10.994 -12.529 -13.499 -22.077  -1.603   1.172   1.574   1.558
   10  3500  4.50 -1.50  4.00  1.25  0.00 -10.987 -12.495 -13.482 -22.077  -1.621   1.145   1.590   1.574
   11  3500  5.00 -1.50  4.00  1.25  0.00 -11.009 -12.451 -13.454 -22.077  -1.649   1.078   1.607   1.591
   12  3750  0.00 -1.50  4.00  1.25  0.00 -10.291 -12.654 -13.863 -22.376  -1.539   2.019   1.813   1.797
   13  3750  0.50 -1.50  4.00  1.25  0.00 -10.676 -12.832 -13.923 -22.376  -1.479   1.808   1.695   1.679
   14  3750  1.00 -1.50  4.00  1.25  0.00 -11.012 -12.962 -13.956 -22.376  -1.446   1.597   1.597   1.581
   15  3750  1.50 -1.50  4.00  1.25  0.00 -11.279 -13.052 -13.971 -22.376  -1.432   1.416   1.522   1.506
   16  3750  2.00 -1.50  4.00  1.25  0.00 -11.473 -13.112 -13.975 -22.376  -1.427   1.278   1.467   1.451
   17  3750  2.50 -1.50  4.00  1.25  0.00 -11.615 -13.156 -13.988 -22.376  -1.415   1.176   1.436   1.420
   18  3750  3.00 -1.50  4.00  1.25  0.00 -11.741 -13.212 -14.037 -22.376  -1.365   1.106   1.429   1.413
   19  3750  3.50 -1.50  4.00  1.25  0.00 -11.873 -13.285 -14.100 -22.376  -1.303   1.046   1.418   1.402
   20  3750  4.00 -1.50  4.00  1.25  0.00 -11.947 -13.320 -14.128 -22.376  -1.274   1.006   1.412   1.396
   21  3750  4.50 -1.50  4.00  1.25  0.00 -11.979 -13.319 -14.130 -22.376  -1.272   0.972   1.415   1.399
   22  3750  5.00 -1.50  4.00  1.25  0.00 -12.013 -13.299 -14.118 -22.376  -1.285   0.918   1.422   1.406
   23  4000  0.00 -1.50  4.00  1.25  0.00 -11.423 -13.489 -14.509 -22.656  -1.174   1.716   1.624   1.608
   24  4000  0.50 -1.50  4.00  1.25  0.00 -11.799 -13.663 -14.565 -22.656  -1.118   1.510   1.506   1.490
   25  4000  1.00 -1.50  4.00  1.25  0.00 -12.122 -13.790 -14.595 -22.656  -1.088   1.309   1.408   1.392
   26  4000  1.50 -1.50  4.00  1.25  0.00 -12.374 -13.877 -14.608 -22.656  -1.075   1.141   1.334   1.318
   27  4000  2.00 -1.50  4.00  1.25  0.00 -12.549 -13.931 -14.609 -22.656  -1.073   1.016   1.282   1.266
   28  4000  2.50 -1.50  4.00  1.25  0.00 -12.654 -13.958 -14.605 -22.656  -1.077   0.936   1.250   1.234
   29  4000  3.00 -1.50  4.00  1.25  0.00 -12.704 -13.967 -14.600 -22.656  -1.083   0.894   1.237   1.221
   30  4000  3.50 -1.50  4.00  1.25  0.00 -12.727 -13.971 -14.611 -22.656  -1.071   0.874   1.243   1.227
   31  4000  4.00 -1.50  4.00  1.25  0.00 -12.768 -13.990 -14.638 -22.656  -1.045   0.851   1.252   1.236
   32  4000  4.50 -1.50  4.00  1.25  0.00 -12.825 -14.011 -14.660 -22.656  -1.022   0.815   1.253   1.237
   33  4000  5.00 -1.50  4.00  1.25  0.00 -12.873 -14.015 -14.665 -22.656  -1.017   0.770   1.254   1.238
   34  4250  0.00 -1.50  4.00  1.25  0.00 -12.427 -14.191 -15.041 -22.920  -0.904   1.408   1.454   1.438
   35  4250  0.50 -1.50  4.00  1.25  0.00 -12.760 -14.345 -15.088 -22.920  -0.857   1.224   1.347   1.331
   36  4250  1.00 -1.50  4.00  1.25  0.00 -13.046 -14.460 -15.116 -22.920  -0.830   1.049   1.259   1.243
   37  4250  1.50 -1.50  4.00  1.25  0.00 -13.272 -14.542 -15.128 -22.920  -0.818   0.902   1.189   1.173
   38  4250  2.00 -1.50  4.00  1.25  0.00 -13.433 -14.596 -15.131 -22.920  -0.815   0.792   1.138   1.122
   39  4250  2.50 -1.50  4.00  1.25  0.00 -13.537 -14.628 -15.127 -22.920  -0.818   0.718   1.103   1.087
   40  4250  3.00 -1.50  4.00  1.25  0.00 -13.592 -14.642 -15.121 -22.920  -0.825   0.676   1.082   1.066
   41  4250  3.50 -1.50  4.00  1.25  0.00 -13.603 -14.642 -15.113 -22.920  -0.833   0.664   1.075   1.059
   42  4250  4.00 -1.50  4.00  1.25  0.00 -13.584 -14.629 -15.110 -22.920  -0.836   0.670   1.085   1.069
   43  4250  4.50 -1.50  4.00  1.25  0.00 -13.587 -14.622 -15.117 -22.920  -0.829   0.660   1.098   1.082
   44  4250  5.00 -1.50  4.00  1.25  0.00 -13.621 -14.626 -15.127 -22.920  -0.819   0.628   1.105   1.089
   45  4500  0.00 -1.50  4.00  1.25  0.00 -13.364 -14.823 -15.499 -23.168  -0.695   1.095   1.279   1.263
   46  4500  0.50 -1.50  4.00  1.25  0.00 -13.631 -14.943 -15.532 -23.168  -0.662   0.944   1.193   1.177
   47  4500  1.00 -1.50  4.00  1.25  0.00 -13.862 -15.035 -15.552 -23.168  -0.643   0.802   1.120   1.104
   48  4500  1.50 -1.50  4.00  1.25  0.00 -14.046 -15.102 -15.561 -23.168  -0.633   0.682   1.063   1.047
   49  4500  2.00 -1.50  4.00  1.25  0.00 -14.179 -15.147 -15.564 -23.168  -0.631   0.591   1.020   1.004
   50  4500  2.50 -1.50  4.00  1.25  0.00 -14.269 -15.176 -15.562 -23.168  -0.632   0.529   0.990   0.974
   51  4500  3.00 -1.50  4.00  1.25  0.00 -14.320 -15.192 -15.558 -23.168  -0.636   0.494   0.969   0.953
   52  4500  3.50 -1.50  4.00  1.25  0.00 -14.339 -15.199 -15.553 -23.168  -0.641   0.481   0.957   0.941
   53  4500  4.00 -1.50  4.00  1.25  0.00 -14.331 -15.196 -15.546 -23.168  -0.648   0.486   0.953   0.937
   54  4500  4.50 -1.50  4.00  1.25  0.00 -14.311 -15.184 -15.540 -23.168  -0.654   0.494   0.960   0.944
   55  4500  5.00 -1.50  4.00  1.25  0.00 -14.309 -15.172 -15.539 -23.168  -0.655   0.483   0.970   0.954
   56  4750  0.00 -1.50  4.00  1.25  0.00 -14.223 -15.410 -15.900 -23.403  -0.529   0.814   1.094   1.078
   57  4750  0.50 -1.50  4.00  1.25  0.00 -14.421 -15.488 -15.917 -23.403  -0.512   0.692   1.032   1.016
   58  4750  1.00 -1.50  4.00  1.25  0.00 -14.594 -15.551 -15.927 -23.403  -0.502   0.579   0.979   0.963
