
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
    1  3500  0.00 -1.50  1.00  1.25  0.00   4.525   4.517   1.343   0.515   0.808   0.800   2.496   1.911   0.255
    2  3500  0.50 -1.50  1.00  1.25  0.00   4.313   4.304   1.227   0.489   0.878   0.869   2.473   1.756   0.310
    3  3500  1.00 -1.50  1.00  1.25  0.00   4.048   4.038   1.134   0.433   0.912   0.902   2.455   1.616   0.346
    4  3500  1.50 -1.50  1.00  1.25  0.00   3.783   3.774   1.070   0.376   0.891   0.882   2.439   1.505   0.360
    5  3500  2.00 -1.50  1.00  1.25  0.00   3.565   3.557   1.054   0.334   0.787   0.778   2.431   1.449   0.333
    6  3500  2.50 -1.50  1.00  1.25  0.00   3.396   3.388   1.058   0.309   0.660   0.652   2.432   1.423   0.287
    7  3500  3.00 -1.50  1.00  1.25  0.00   3.273   3.266   1.053   0.294   0.576   0.569   2.430   1.396   0.260
    8  3500  3.50 -1.50  1.00  1.25  0.00   3.210   3.203   1.053   0.293   0.516   0.509   2.422   1.384   0.247
    9  3500  4.00 -1.50  1.00  1.25  0.00   3.178   3.172   1.056   0.307   0.449   0.443   2.407   1.382   0.239
   10  3500  4.50 -1.50  1.00  1.25  0.00   3.139   3.134   1.063   0.323   0.364   0.359   2.385   1.382   0.231
   11  3500  5.00 -1.50  1.00  1.25  0.00   3.057   3.053   1.071   0.325   0.262   0.258   2.355   1.375   0.225
   12  3750  0.00 -1.50  1.00  1.25  0.00   4.091   4.083   1.168   0.524   0.705   0.697   2.531   1.658   0.196
   13  3750  0.50 -1.50  1.00  1.25  0.00   3.871   3.863   1.065   0.525   0.690   0.682   2.511   1.515   0.218
   14  3750  1.00 -1.50  1.00  1.25  0.00   3.635   3.627   0.987   0.503   0.653   0.645   2.488   1.395   0.234
   15  3750  1.50 -1.50  1.00  1.25  0.00   3.426   3.418   0.934   0.472   0.613   0.605   2.462   1.304   0.249
   16  3750  2.00 -1.50  1.00  1.25  0.00   3.265   3.257   0.899   0.444   0.578   0.570   2.437   1.240   0.265
   17  3750  2.50 -1.50  1.00  1.25  0.00   3.148   3.141   0.893   0.413   0.533   0.525   2.424   1.213   0.262
   18  3750  3.00 -1.50  1.00  1.25  0.00   3.064   3.058   0.919   0.370   0.485   0.478   2.428   1.224   0.240
   19  3750  3.50 -1.50  1.00  1.25  0.00   2.985   2.979   0.934   0.333   0.450   0.443   2.433   1.225   0.222
   20  3750  4.00 -1.50  1.00  1.25  0.00   2.931   2.925   0.941   0.312   0.423   0.417   2.430   1.222   0.215
   21  3750  4.50 -1.50  1.00  1.25  0.00   2.886   2.881   0.947   0.301   0.387   0.381   2.418   1.220   0.214
   22  3750  5.00 -1.50  1.00  1.25  0.00   2.818   2.813   0.954   0.293   0.320   0.316   2.400   1.215   0.209
   23  4000  0.00 -1.50  1.00  1.25  0.00   3.601   3.594   1.034   0.436   0.660   0.653   2.552   1.436   0.169
   24  4000  0.50 -1.50  1.00  1.25  0.00   3.355   3.349   0.935   0.435   0.612   0.606   2.541   1.292   0.171
   25  4000  1.00 -1.50  1.00  1.25  0.00   3.111   3.105   0.861   0.423   0.540   0.534   2.528   1.175   0.164
   26  4000  1.50 -1.50  1.00  1.25  0.00   2.910   2.905   0.810   0.410   0.467   0.461   2.512   1.087   0.158
   27  4000  2.00 -1.50  1.00  1.25  0.00   2.773   2.768   0.778   0.402   0.411   0.406   2.494   1.031   0.159
   28  4000  2.50 -1.50  1.00  1.25  0.00   2.705   2.700   0.760   0.402   0.378   0.374   2.472   1.001   0.171
   29  4000  3.00 -1.50  1.00  1.25  0.00   2.692   2.687   0.758   0.405   0.365   0.360   2.451   0.997   0.187
   30  4000  3.50 -1.50  1.00  1.25  0.00   2.693   2.688   0.784   0.379   0.366   0.361   2.446   1.023   0.190
   31  4000  4.00 -1.50  1.00  1.25  0.00   2.675   2.670   0.814   0.337   0.372   0.367   2.447   1.050   0.189
   32  4000  4.50 -1.50  1.00  1.25  0.00   2.636   2.631   0.831   0.302   0.367   0.362   2.445   1.059   0.189
   33  4000  5.00 -1.50  1.00  1.25  0.00   2.585   2.581   0.843   0.276   0.345   0.340   2.436   1.062   0.189
   34  4250  0.00 -1.50  1.00  1.25  0.00   2.966   2.960   0.835   0.348   0.597   0.592   2.558   1.123   0.156
   35  4250  0.50 -1.50  1.00  1.25  0.00   2.966   2.960   0.835   0.348   0.597   0.592   2.551   1.123   0.163
   36  4250  1.00 -1.50  1.00  1.25  0.00   2.732   2.727   0.769   0.337   0.517   0.512   2.544   1.015   0.146
   37  4250  1.50 -1.50  1.00  1.25  0.00   2.537   2.533   0.723   0.327   0.436   0.432   2.535   0.934   0.131
   38  4250  2.00 -1.50  1.00  1.25  0.00   2.399   2.395   0.691   0.323   0.369   0.365   2.525   0.877   0.119
   39  4250  2.50 -1.50  1.00  1.25  0.00   2.320   2.317   0.671   0.327   0.322   0.319   2.514   0.843   0.116
   40  4250  3.00 -1.50  1.00  1.25  0.00   2.299   2.296   0.661   0.339   0.297   0.293   2.499   0.829   0.122
   41  4250  3.50 -1.50  1.00  1.25  0.00   2.326   2.323   0.660   0.357   0.291   0.287   2.481   0.833   0.138
   42  4250  4.00 -1.50  1.00  1.25  0.00   2.368   2.365   0.679   0.351   0.305   0.302   2.469   0.859   0.154
   43  4250  4.50 -1.50  1.00  1.25  0.00   2.376   2.372   0.709   0.315   0.325   0.321   2.465   0.891   0.163
   44  4250  5.00 -1.50  1.00  1.25  0.00   2.350   2.346   0.734   0.275   0.329   0.326   2.461   0.911   0.167
   45  4500  0.00 -1.50  1.00  1.25  0.00   2.862   2.857   0.811   0.285   0.668   0.663   2.558   1.080   0.182
   46  4500  0.50 -1.50  1.00  1.25  0.00   2.642   2.637   0.744   0.276   0.601   0.596   2.554   0.974   0.168
   47  4500  1.00 -1.50  1.00  1.25  0.00   2.431   2.427   0.691   0.264   0.519   0.515   2.549   0.883   0.148
   48  4500  1.50 -1.50  1.00  1.25  0.00   2.254   2.251   0.652   0.256   0.437   0.433   2.544   0.812   0.127
   49  4500  2.00 -1.50  1.00  1.25  0.00   2.124   2.121   0.626   0.252   0.366   0.363   2.539   0.763   0.109
   50  4500  2.50 -1.50  1.00  1.25  0.00   2.042   2.039   0.608   0.256   0.313   0.310   2.532   0.730   0.099
   51  4500  3.00 -1.50  1.00  1.25  0.00   2.008   2.005   0.596   0.267   0.280   0.277   2.524   0.712   0.096
   52  4500  3.50 -1.50  1.00  1.25  0.00   2.016   2.013   0.591   0.284   0.265   0.263   2.514   0.709   0.102
   53  4500  4.00 -1.50  1.00  1.25  0.00   2.056   2.053   0.591   0.302   0.267   0.265   2.502   0.715   0.114
   54  4500  4.50 -1.50  1.00  1.25  0.00   2.098   2.095   0.605   0.303   0.281   0.278   2.490   0.737   0.130
   55  4500  5.00 -1.50  1.00  1.25  0.00   2.106   2.104   0.629   0.276   0.295   0.292   2.483   0.763   0.140
   56  4750  0.00 -1.50  1.00  1.25  0.00   2.570   2.565   0.702   0.223   0.717   0.712   2.560   0.918   0.205
   57  4750  0.50 -1.50  1.00  1.25  0.00   2.371   2.367   0.655   0.214   0.631   0.626   2.556   0.836   0.182
   58  4750  1.00 -1.50  1.00  1.25  0.00   2.184   2.181   0.617   0.205   0.539   0.535   2.552   0.764   0.157
   59  4750  1.50 -1.50  1.00  1.25  0.00   2.026   2.022   0.589   0.198   0.451   0.448   2.549   0.708   0.132
   60  4750  2.00 -1.50  1.00  1.25  0.00   1.904   1.901   0.568   0.195   0.375   0.372   2.545   0.665   0.110
   61  4750  2.50 -1.50  1.00  1.25  0.00   1.822   1.819   0.555   0.198   0.315   0.312   2.541   0.637   0.094
   62  4750  3.00 -1.50  1.00  1.25  0.00   1.781   1.778   0.546   0.207   0.273   0.271   2.537   0.621   0.085
   63  4750  3.50 -1.50  1.00  1.25  0.00   1.775   1.773   0.541   0.221   0.250   0.248   2.531   0.615   0.083
   64  4750  4.00 -1.50  1.00  1.25  0.00   1.799   1.797   0.539   0.238   0.245   0.243   2.525   0.618   0.087
   65  4750  4.50 -1.50  1.00  1.25  0.00   1.839   1.837   0.540   0.252   0.251   0.249   2.516   0.625   0.098
   66  4750  5.00 -1.50  1.00  1.25  0.00   1.867   1.865   0.551   0.250   0.262   0.260   2.508   0.641   0.109
   67  5000  0.00 -1.50  1.00  1.25  0.00   2.357   2.353   0.599   0.172   0.812   0.809   2.567   0.777   0.239
   68  5000  0.50 -1.50  1.00  1.25  0.00   2.168   2.165   0.570   0.162   0.703   0.699   2.561   0.715   0.209
   69  5000  1.00 -1.50  1.00  1.25  0.00   1.995   1.992   0.546   0.155   0.592   0.589   2.557   0.660   0.176
