
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.50  2.00  0.00  0.00  -8.784  -8.772 -11.002 -12.435 -13.266   4.453   4.444   1.330   0.532   0.727   0.717
    2  3500  0.50 -1.50  2.00  0.00  0.00  -9.354  -9.342 -11.431 -12.709 -13.414   4.157   4.147   1.204   0.502   0.741   0.731
    3  3500  1.00 -1.50  2.00  0.00  0.00  -9.913  -9.901 -11.810 -12.932 -13.535   3.821   3.811   1.103   0.447   0.717   0.707
    4  3500  1.50 -1.50  2.00  0.00  0.00 -10.411 -10.399 -12.125 -13.112 -13.638   3.502   3.493   1.027   0.390   0.668   0.658
    5  3500  2.00 -1.50  2.00  0.00  0.00 -10.821 -10.808 -12.375 -13.259 -13.729   3.240   3.231   0.970   0.343   0.611   0.602
    6  3500  2.50 -1.50  2.00  0.00  0.00 -11.110 -11.096 -12.542 -13.363 -13.805   3.055   3.047   0.942   0.308   0.553   0.545
    7  3500  3.00 -1.50  2.00  0.00  0.00 -11.241 -11.227 -12.600 -13.402 -13.859   2.963   2.956   0.956   0.275   0.499   0.491
    8  3500  3.50 -1.50  2.00  0.00  0.00 -11.289 -11.273 -12.594 -13.419 -13.892   2.933   2.926   0.973   0.281   0.421   0.415
    9  3500  4.00 -1.50  2.00  0.00  0.00 -11.279 -11.263 -12.539 -13.418 -13.901   2.941   2.935   0.984   0.324   0.324   0.318
   10  3500  4.50 -1.50  2.00  0.00  0.00 -11.213 -11.197 -12.430 -13.399 -13.893   2.987   2.982   0.994   0.404   0.189   0.183
   11  3500  5.00 -1.50  2.00  0.00  0.00 -11.075 -11.058 -12.251 -13.358 -13.866   3.084   3.079   1.008   0.527   0.012   0.007
   12  3750  0.00 -1.50  2.00  0.00  0.00  -9.884  -9.870 -11.891 -13.242 -13.929   4.160   4.151   1.187   0.593   0.598   0.589
   13  3750  0.50 -1.50  2.00  0.00  0.00 -10.333 -10.320 -12.204 -13.443 -14.022   3.912   3.903   1.079   0.589   0.574   0.565
   14  3750  1.00 -1.50  2.00  0.00  0.00 -10.779 -10.765 -12.483 -13.604 -14.098   3.628   3.619   0.993   0.557   0.526   0.517
   15  3750  1.50 -1.50  2.00  0.00  0.00 -11.192 -11.178 -12.725 -13.736 -14.164   3.346   3.338   0.928   0.511   0.465   0.457
   16  3750  2.00 -1.50  2.00  0.00  0.00 -11.533 -11.518 -12.922 -13.844 -14.226   3.113   3.106   0.882   0.469   0.409   0.402
   17  3750  2.50 -1.50  2.00  0.00  0.00 -11.793 -11.778 -13.075 -13.932 -14.282   2.941   2.934   0.850   0.437   0.366   0.359
   18  3750  3.00 -1.50  2.00  0.00  0.00 -11.939 -11.923 -13.159 -13.979 -14.325   2.842   2.836   0.846   0.403   0.343   0.336
   19  3750  3.50 -1.50  2.00  0.00  0.00 -11.983 -11.967 -13.175 -13.981 -14.352   2.800   2.794   0.871   0.364   0.327   0.321
   20  3750  4.00 -1.50  2.00  0.00  0.00 -12.003 -11.987 -13.167 -13.982 -14.373   2.781   2.775   0.891   0.353   0.291   0.285
