
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
    1  3500  0.00 -1.50  2.00  1.25  0.00   4.744   4.735   1.430   0.628   0.625   0.616   2.518
    2  3500  0.50 -1.50  2.00  1.25  0.00   4.571   4.562   1.306   0.653   0.650   0.641   2.490
    3  3500  1.00 -1.50  2.00  1.25  0.00   4.347   4.338   1.201   0.642   0.657   0.649   2.463
    4  3500  1.50 -1.50  2.00  1.25  0.00   4.073   4.065   1.130   0.601   0.609   0.602   2.446
    5  3500  2.00 -1.50  2.00  1.25  0.00   3.785   3.779   1.104   0.525   0.525   0.518   2.447
    6  3500  2.50 -1.50  2.00  1.25  0.00   3.559   3.553   1.083   0.468   0.455   0.449   2.452
    7  3500  3.00 -1.50  2.00  1.25  0.00   3.434   3.428   1.069   0.445   0.404   0.399   2.450
    8  3500  3.50 -1.50  2.00  1.25  0.00   3.387   3.383   1.063   0.453   0.352   0.347   2.440
    9  3500  4.00 -1.50  2.00  1.25  0.00   3.374   3.370   1.064   0.477   0.290   0.286   2.424
   10  3500  4.50 -1.50  2.00  1.25  0.00   3.342   3.340   1.069   0.495   0.211   0.209   2.402
   11  3500  5.00 -1.50  2.00  1.25  0.00   3.256   3.255   1.076   0.495   0.112   0.111   2.375
   12  3750  0.00 -1.50  2.00  1.25  0.00   4.315   4.308   1.245   0.597   0.630   0.623   2.554
   13  3750  0.50 -1.50  2.00  1.25  0.00   4.119   4.112   1.128   0.624   0.613   0.606   2.537
   14  3750  1.00 -1.50  2.00  1.25  0.00   3.894   3.888   1.034   0.626   0.571   0.565   2.516
   15  3750  1.50 -1.50  2.00  1.25  0.00   3.687   3.681   0.966   0.618   0.518   0.512   2.492
   16  3750  2.00 -1.50  2.00  1.25  0.00   3.519   3.513   0.920   0.604   0.469   0.463   2.468
   17  3750  2.50 -1.50  2.00  1.25  0.00   3.367   3.362   0.913   0.556   0.428   0.424   2.460
   18  3750  3.00 -1.50  2.00  1.25  0.00   3.225   3.221   0.927   0.483   0.403   0.398   2.463
   19  3750  3.50 -1.50  2.00  1.25  0.00   3.124   3.120   0.932   0.437   0.384   0.380   2.463
   20  3750  4.00 -1.50  2.00  1.25  0.00   3.073   3.069   0.935   0.421   0.361   0.357   2.456
