
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -2.00  2.00  1.25 -12.310 -12.311   2.511
    2  3500  0.50 -2.00  2.00  1.25 -12.530 -12.509   2.481
    3  3500  1.00 -2.00  2.00  1.25 -12.697 -12.654   2.452
    4  3500  1.50 -2.00  2.00  1.25 -12.840 -12.788   2.440
    5  3500  2.00 -2.00  2.00  1.25 -13.001 -12.952   2.444
    6  3500  2.50 -2.00  2.00  1.25 -13.139 -13.091   2.445
    7  3500  3.00 -2.00  2.00  1.25 -13.192 -13.138   2.438
    8  3500  3.50 -2.00  2.00  1.25 -13.200 -13.136   2.422
    9  3500  4.00 -2.00  2.00  1.25 -13.188 -13.108   2.400
   10  3500  4.50 -2.00  2.00  1.25 -13.163 -13.062   2.373
   11  3500  5.00 -2.00  2.00  1.25 -13.123 -12.996   2.338
   12  3750  0.00 -2.00  2.00  1.25 -13.266 -13.293   2.547
   13  3750  0.50 -2.00  2.00  1.25 -13.470 -13.484   2.530
   14  3750  1.00 -2.00  2.00  1.25 -13.618 -13.616   2.508
   15  3750  1.50 -2.00  2.00  1.25 -13.719 -13.698   2.481
   16  3750  2.00 -2.00  2.00  1.25 -13.782 -13.745   2.459
   17  3750  2.50 -2.00  2.00  1.25 -13.825 -13.785   2.456
   18  3750  3.00 -2.00  2.00  1.25 -13.875 -13.837   2.459
   19  3750  3.50 -2.00  2.00  1.25 -13.911 -13.870   2.455
   20  3750  4.00 -2.00  2.00  1.25 -13.919 -13.871   2.444
   21  3750  4.50 -2.00  2.00  1.25 -13.910 -13.848   2.426
   22  3750  5.00 -2.00  2.00  1.25 -13.888 -13.808   2.401
   23  4000  0.00 -2.00  2.00  1.25 -14.014 -14.050   2.558
   24  4000  0.50 -2.00  2.00  1.25 -14.188 -14.217   2.549
   25  4000  1.00 -2.00  2.00  1.25 -14.316 -14.337   2.538
   26  4000  1.50 -2.00  2.00  1.25 -14.404 -14.415   2.524
   27  4000  2.00 -2.00  2.00  1.25 -14.463 -14.462   2.509
   28  4000  2.50 -2.00  2.00  1.25 -14.499 -14.484   2.490
   29  4000  3.00 -2.00  2.00  1.25 -14.510 -14.487   2.479
   30  4000  3.50 -2.00  2.00  1.25 -14.514 -14.489   2.476
   31  4000  4.00 -2.00  2.00  1.25 -14.522 -14.494   2.473
   32  4000  4.50 -2.00  2.00  1.25 -14.524 -14.491   2.464
   33  4000  5.00 -2.00  2.00  1.25 -14.517 -14.472   2.449
   34  4250  0.00 -2.00  2.00  1.25 -14.659 -14.693   2.557
   35  4250  0.50 -2.00  2.00  1.25 -14.791 -14.821   2.551
   36  4250  1.00 -2.00  2.00  1.25 -14.890 -14.915   2.544
   37  4250  1.50 -2.00  2.00  1.25 -14.959 -14.979   2.538
   38  4250  2.00 -2.00  2.00  1.25 -15.005 -15.020   2.530
   39  4250  2.50 -2.00  2.00  1.25 -15.036 -15.044   2.521
   40  4250  3.00 -2.00  2.00  1.25 -15.056 -15.056   2.510
   41  4250  3.50 -2.00  2.00  1.25 -15.061 -15.053   2.499
   42  4250  4.00 -2.00  2.00  1.25 -15.054 -15.042   2.493
   43  4250  4.50 -2.00  2.00  1.25 -15.048 -15.032   2.488
   44  4250  5.00 -2.00  2.00  1.25 -15.043 -15.021   2.480
   45  4500  0.00 -2.00  2.00  1.25 -15.233 -15.265   2.553
   46  4500  0.50 -2.00  2.00  1.25 -15.318 -15.347   2.550
   47  4500  1.00 -2.00  2.00  1.25 -15.384 -15.410   2.546
   48  4500  1.50 -2.00  2.00  1.25 -15.432 -15.455   2.541
