
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.00  4.00  1.25  0.00  -8.056  -8.043 -10.336 -11.972 -12.964   4.718   4.709   1.492   0.572   0.587   0.578
    2  3500  0.50 -2.00  4.00  1.25  0.00  -8.454  -8.441 -10.670 -12.223 -13.090   4.571   4.561   1.367   0.614   0.606   0.596
    3  3500  1.00 -2.00  4.00  1.25  0.00  -8.880  -8.868 -10.988 -12.421 -13.177   4.343   4.334   1.256   0.607   0.616   0.607
    4  3500  1.50 -2.00  4.00  1.25  0.00  -9.365  -9.352 -11.290 -12.589 -13.267   4.027   4.017   1.178   0.551   0.567   0.558
    5  3500  2.00 -2.00  4.00  1.25  0.00  -9.852  -9.839 -11.581 -12.766 -13.402   3.715   3.707   1.136   0.477   0.487   0.478
    6  3500  2.50 -2.00  4.00  1.25  0.00 -10.234 -10.220 -11.814 -12.918 -13.523   3.486   3.478   1.105   0.428   0.419   0.411
    7  3500  3.00 -2.00  4.00  1.25  0.00 -10.428 -10.413 -11.910 -12.978 -13.567   3.352   3.345   1.089   0.408   0.356   0.348
    8  3500  3.50 -2.00  4.00  1.25  0.00 -10.513 -10.497 -11.917 -12.986 -13.571   3.276   3.269   1.085   0.413   0.277   0.271
    9  3500  4.00 -2.00  4.00  1.25  0.00 -10.561 -10.545 -11.880 -12.970 -13.558   3.211   3.205   1.088   0.431   0.171   0.166
   10  3500  4.50 -2.00  4.00  1.25  0.00 -10.623 -10.605 -11.830 -12.939 -13.534   3.118   3.114   1.095   0.443   0.041   0.036
   11  3500  5.00 -2.00  4.00  1.25  0.00 -10.708 -10.689 -11.778 -12.893 -13.498   2.987   2.984   1.104   0.439  -0.102  -0.106
   12  3750  0.00 -2.00  4.00  1.25  0.00  -9.524  -9.511 -11.598 -13.007 -13.796   4.284   4.276   1.289   0.548   0.608   0.600
   13  3750  0.50 -2.00  4.00  1.25  0.00  -9.940  -9.927 -11.910 -13.243 -13.909   4.105   4.096   1.166   0.596   0.579   0.571
   14  3750  1.00 -2.00  4.00  1.25  0.00 -10.340 -10.326 -12.173 -13.418 -13.983   3.881   3.872   1.065   0.610   0.530   0.521
   15  3750  1.50 -2.00  4.00  1.25  0.00 -10.688 -10.674 -12.375 -13.538 -14.029   3.653   3.644   0.991   0.601   0.467   0.458
   16  3750  2.00 -2.00  4.00  1.25  0.00 -10.976 -10.962 -12.528 -13.614 -14.060   3.440   3.432   0.945   0.570   0.408   0.399
