
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.50  2.00  1.25  0.00  -8.586  -8.573 -10.655 -12.099 -13.099   4.314   4.306   1.500   0.373   0.566   0.558
    2  3500  0.50 -2.50  2.00  1.25  0.00  -9.185  -9.171 -11.152 -12.518 -13.370   4.135   4.126   1.352   0.442   0.544   0.535
    3  3500  1.00 -2.50  2.00  1.25  0.00  -9.808  -9.794 -11.630 -12.884 -13.594   3.878   3.869   1.210   0.473   0.509   0.501
    4  3500  1.50 -2.50  2.00  1.25  0.00 -10.396 -10.382 -12.031 -13.170 -13.766   3.576   3.568   1.095   0.473   0.437   0.429
    5  3500  2.00 -2.50  2.00  1.25  0.00 -10.814 -10.800 -12.268 -13.317 -13.857   3.305   3.298   1.039   0.440   0.346   0.338
    6  3500  2.50 -2.50  2.00  1.25  0.00 -11.026 -11.011 -12.357 -13.354 -13.882   3.130   3.123   1.027   0.400   0.275   0.268
    7  3500  3.00 -2.50  2.00  1.25  0.00 -11.143 -11.127 -12.387 -13.377 -13.896   3.036   3.030   1.018   0.401   0.195   0.189
    8  3500  3.50 -2.50  2.00  1.25  0.00 -11.180 -11.164 -12.351 -13.389 -13.902   3.011   3.005   1.013   0.454   0.074   0.069
    9  3500  4.00 -2.50  2.00  1.25  0.00 -11.139 -11.123 -12.236 -13.386 -13.900   3.049   3.044   1.014   0.565  -0.111  -0.116
   10  3500  4.50 -2.50  2.00  1.25  0.00 -11.025 -11.007 -12.045 -13.378 -13.897   3.155   3.151   1.019   0.742  -0.370  -0.375
   11  3500  5.00 -2.50  2.00  1.25  0.00 -10.850 -10.831 -11.817 -13.371 -13.897   3.324   3.321   1.026   0.957  -0.644  -0.647
   12  3750  0.00 -2.50  2.00  1.25  0.00  -9.604  -9.589 -11.555 -12.845 -13.704   4.043   4.035   1.359   0.359   0.604   0.597
   13  3750  0.50 -2.50  2.00  1.25  0.00 -10.075 -10.061 -11.936 -13.159 -13.885   3.886   3.878   1.226   0.426   0.581   0.573
   14  3750  1.00 -2.50  2.00  1.25  0.00 -10.603 -10.589 -12.317 -13.444 -14.042   3.642   3.635   1.099   0.457   0.529   0.521
   15  3750  1.50 -2.50  2.00  1.25  0.00 -11.139 -11.124 -12.660 -13.682 -14.175   3.346   3.338   0.993   0.459   0.441   0.433
   16  3750  2.00 -2.50  2.00  1.25  0.00 -11.579 -11.564 -12.920 -13.858 -14.280   3.080   3.073   0.922   0.444   0.346   0.339
   17  3750  2.50 -2.50  2.00  1.25  0.00 -11.832 -11.816 -13.052 -13.929 -14.331   2.899   2.893   0.902   0.404   0.285   0.279
   18  3750  3.00 -2.50  2.00  1.25  0.00 -11.951 -11.935 -13.100 -13.942 -14.347   2.794   2.788   0.904   0.367   0.249   0.244
   19  3750  3.50 -2.50  2.00  1.25  0.00 -12.016 -12.000 -13.116 -13.955 -14.360   2.741   2.735   0.905   0.363   0.203   0.197
   20  3750  4.00 -2.50  2.00  1.25  0.00 -12.026 -12.010 -13.086 -13.967 -14.372   2.743   2.737   0.905   0.405   0.121   0.115
   21  3750  4.50 -2.50  2.00  1.25  0.00 -11.979 -11.962 -12.994 -13.973 -14.379   2.796   2.791   0.906   0.501  -0.021  -0.026
   22  3750  5.00 -2.50  2.00  1.25  0.00 -11.879 -11.861 -12.845 -13.977 -14.386   2.901   2.897   0.909   0.653  -0.224  -0.229
