        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
     1  3500  0.00 -4.00  2.00  1.25  0.00  -8.657 -10.974 -12.616 -22.077  -2.489   1.979   2.245   2.229
     2  3500  0.50 -4.00  2.00  1.25  0.00  -9.227 -11.434 -12.963 -22.077  -2.142   1.866   2.132   2.116
     3  3500  1.00 -4.00  2.00  1.25  0.00  -9.874 -11.888 -13.262 -22.077  -1.843   1.669   1.977   1.961
     4  3500  1.50 -4.00  2.00  1.25  0.00 -10.394 -12.228 -13.465 -22.077  -1.640   1.484   1.840   1.824
     5  3500  2.00 -4.00  2.00  1.25  0.00 -10.765 -12.468 -13.602 -22.077  -1.502   1.349   1.738   1.722
     6  3500  2.50 -4.00  2.00  1.25  0.00 -11.045 -12.651 -13.710 -22.077  -1.395   1.250   1.663   1.647
     7  3500  3.00 -4.00  2.00  1.25  0.00 -11.247 -12.789 -13.798 -22.077  -1.306   1.186   1.613   1.597
     8  3500  3.50 -4.00  2.00  1.25  0.00 -11.381 -12.896 -13.879 -22.077  -1.226   1.159   1.586   1.570
     9  3500  4.00 -4.00  2.00  1.25  0.00 -11.468 -12.996 -13.967 -22.077  -1.138   1.174   1.574   1.558
    10  3500  4.50 -4.00  2.00  1.25  0.00 -11.526 -13.108 -14.070 -22.077  -1.034   1.229   1.566   1.550
    11  3500  5.00 -4.00  2.00  1.25  0.00 -11.572 -13.237 -14.183 -22.077  -0.921   1.314   1.550   1.534
    12  3750  0.00 -4.00  2.00  1.25  0.00  -9.870 -11.973 -13.400 -22.376  -2.004   1.758   2.031   2.015
    13  3750  0.50 -4.00  2.00  1.25  0.00 -10.235 -12.257 -13.594 -22.376  -1.810   1.676   1.941   1.925
    14  3750  1.00 -4.00  2.00  1.25  0.00 -10.723 -12.601 -13.812 -22.376  -1.593   1.528   1.814   1.798
    15  3750  1.50 -4.00  2.00  1.25  0.00 -11.248 -12.923 -13.994 -22.376  -1.410   1.319   1.675   1.659
    16  3750  2.00 -4.00  2.00  1.25  0.00 -11.668 -13.170 -14.129 -22.376  -1.275   1.142   1.562   1.546
    17  3750  2.50 -4.00  2.00  1.25  0.00 -11.952 -13.334 -14.213 -22.376  -1.191   1.019   1.483   1.467
    18  3750  3.00 -4.00  2.00  1.25  0.00 -12.159 -13.455 -14.278 -22.376  -1.126   0.932   1.426   1.410
    19  3750  3.50 -4.00  2.00  1.25  0.00 -12.236 -13.493 -14.288 -22.376  -1.116   0.892   1.399   1.383
    20  3750  4.00 -4.00  2.00  1.25  0.00 -12.264 -13.528 -14.316 -22.376  -1.089   0.899   1.391   1.375
    21  3750  4.50 -4.00  2.00  1.25  0.00 -12.253 -13.572 -14.367 -22.376  -1.038   0.957   1.398   1.382
