        Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
     1  3500  0.00 -4.00  2.00  1.25  0.00  -7.829  -7.815  -9.963 -11.348 -12.542   4.321   4.313   1.694   0.119   0.692   0.684
     2  3500  0.50 -4.00  2.00  1.25  0.00  -8.413  -8.399 -10.461 -11.820 -12.911   4.209   4.201   1.591   0.197   0.632   0.624
     3  3500  1.00 -4.00  2.00  1.25  0.00  -9.118  -9.104 -11.016 -12.269 -13.228   3.953   3.945   1.459   0.224   0.587   0.579
     4  3500  1.50 -4.00  2.00  1.25  0.00  -9.700  -9.685 -11.455 -12.595 -13.443   3.697   3.690   1.348   0.221   0.558   0.550
     5  3500  2.00 -4.00  2.00  1.25  0.00 -10.122 -10.107 -11.758 -12.830 -13.591   3.510   3.503   1.262   0.239   0.506   0.499
     6  3500  2.50 -4.00  2.00  1.25  0.00 -10.448 -10.433 -11.975 -13.019 -13.710   3.373   3.366   1.191   0.283   0.424   0.417
     7  3500  3.00 -4.00  2.00  1.25  0.00 -10.695 -10.679 -12.114 -13.179 -13.811   3.286   3.279   1.132   0.361   0.296   0.290
     8  3500  3.50 -4.00  2.00  1.25  0.00 -10.876 -10.860 -12.184 -13.324 -13.908   3.251   3.245   1.084   0.485   0.111   0.105
     9  3500  4.00 -4.00  2.00  1.25  0.00 -11.014 -10.998 -12.218 -13.476 -14.015   3.263   3.258   1.039   0.648  -0.112  -0.117
    10  3500  4.50 -4.00  2.00  1.25  0.00 -11.133 -11.115 -12.247 -13.644 -14.138   3.314   3.309   0.994   0.832  -0.341  -0.345
    11  3500  5.00 -4.00  2.00  1.25  0.00 -11.242 -11.223 -12.304 -13.822 -14.272   3.382   3.379   0.950   0.997  -0.514  -0.517
    12  3750  0.00 -4.00  2.00  1.25  0.00  -9.087  -9.073 -11.117 -12.338 -13.353   4.053   4.045   1.515   0.134   0.752   0.744
    13  3750  0.50 -4.00  2.00  1.25  0.00  -9.477  -9.463 -11.437 -12.632 -13.560   3.957   3.949   1.428   0.196   0.707   0.699
    14  3750  1.00 -4.00  2.00  1.25  0.00  -9.994  -9.979 -11.846 -12.974 -13.791   3.782   3.775   1.317   0.240   0.667   0.659
    15  3750  1.50 -4.00  2.00  1.25  0.00 -10.590 -10.576 -12.274 -13.273 -13.982   3.485   3.477   1.209   0.219   0.626   0.619
    16  3750  2.00 -4.00  2.00  1.25  0.00 -11.080 -11.065 -12.604 -13.498 -14.122   3.220   3.213   1.124   0.199   0.572   0.565
    17  3750  2.50 -4.00  2.00  1.25  0.00 -11.417 -11.402 -12.819 -13.650 -14.211   3.035   3.028   1.061   0.199   0.513   0.507
    18  3750  3.00 -4.00  2.00  1.25  0.00 -11.669 -11.653 -12.970 -13.770 -14.281   2.903   2.897   1.011   0.217   0.444   0.438
    19  3750  3.50 -4.00  2.00  1.25  0.00 -11.782 -11.766 -13.016 -13.817 -14.298   2.837   2.831   0.981   0.249   0.374   0.369
