
EFF   5777.  GRAVITY 4.43770 LTE 
ITLE TEST RUN SOLAR MODEL WITH SDSC OPACITY  VTURB 1.5 KM/S    L/H 1.25        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB,CONVFRAC,VCONV
5.12795323E-04   3709.6 1.405E+01 2.797E+09 2.600E-04 7.029E-02 1.500E+05 0.000E+00 0.000E+00
6.71091098E-04   3733.1 1.839E+01 3.602E+09 3.019E-04 7.389E-02 1.500E+05 0.000E+00 0.000E+00
8.53508010E-04   3755.4 2.338E+01 4.517E+09 3.484E-04 7.645E-02 1.500E+05 0.000E+00 0.000E+00
1.06459946E-03   3779.0 2.917E+01 5.569E+09 4.010E-04 7.806E-02 1.500E+05 0.000E+00 0.000E+00
1.30956828E-03   3803.9 3.588E+01 6.783E+09 4.596E-04 7.828E-02 1.500E+05 0.000E+00 0.000E+00
1.59564420E-03   3829.3 4.372E+01 8.193E+09 5.233E-04 7.677E-02 1.500E+05 0.000E+00 0.000E+00
1.93061998E-03   3854.1 5.289E+01 9.830E+09 5.962E-04 7.547E-02 1.500E+05 0.000E+00 0.000E+00
2.32255682E-03   3878.4 6.363E+01 1.173E+10 6.798E-04 7.449E-02 1.500E+05 0.000E+00 0.000E+00
2.78080647E-03   3902.1 7.618E+01 1.393E+10 7.756E-04 7.385E-02 1.500E+05 0.000E+00 0.000E+00
3.31616885E-03   3925.4 9.085E+01 1.647E+10 8.855E-04 7.360E-02 1.500E+05 0.000E+00 0.000E+00
3.94156774E-03   3948.4 1.080E+02 1.942E+10 1.011E-03 7.338E-02 1.500E+05 0.000E+00 0.000E+00
4.67264835E-03   3971.3 1.280E+02 2.283E+10 1.152E-03 7.323E-02 1.500E+05 0.000E+00 0.000E+00
5.52813773E-03   3994.1 1.515E+02 2.680E+10 1.312E-03 7.312E-02 1.500E+05 0.000E+00 0.000E+00
6.53009050E-03   4017.0 1.789E+02 3.140E+10 1.494E-03 7.306E-02 1.500E+05 0.000E+00 0.000E+00
7.70301254E-03   4039.8 2.110E+02 3.674E+10 1.703E-03 7.340E-02 1.500E+05 0.000E+00 0.000E+00
9.07455825E-03   4062.5 2.486E+02 4.293E+10 1.943E-03 7.409E-02 1.500E+05 0.000E+00 0.000E+00
1.06767913E-02   4085.6 2.925E+02 5.011E+10 2.219E-03 7.518E-02 1.500E+05 0.000E+00 0.000E+00
1.25480320E-02   4109.4 3.438E+02 5.844E+10 2.533E-03 7.613E-02 1.500E+05 0.000E+00 0.000E+00
1.47341956E-02   4134.0 4.037E+02 6.812E+10 2.892E-03 7.698E-02 1.500E+05 0.000E+00 0.000E+00
1.72869523E-02   4158.9 4.736E+02 7.935E+10 3.304E-03 7.821E-02 1.500E+05 0.000E+00 0.000E+00
2.02679459E-02   4184.7 5.553E+02 9.241E+10 3.770E-03 7.926E-02 1.500E+05 0.000E+00 0.000E+00
2.37516403E-02   4211.1 6.507E+02 1.076E+11 4.302E-03 8.014E-02 1.500E+05 0.000E+00 0.000E+00
2.78213296E-02   4238.0 7.622E+02 1.252E+11 4.913E-03 8.123E-02 1.500E+05 0.000E+00 0.000E+00
