
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
    1  3500  0.00  0.00  2.00  0.00  0.00 -12.578 -13.131 -13.942   1.104   2.636   1.531
    2  3500  0.50  0.00  2.00  0.00  0.00 -12.465 -13.032 -13.909   1.118   2.715   1.596
    3  3500  1.00  0.00  2.00  0.00  0.00 -12.372 -12.955 -13.882   1.135   2.781   1.645
    4  3500  1.50  0.00  2.00  0.00  0.00 -12.312 -12.909 -13.868   1.148   2.827   1.678
    5  3500  2.00  0.00  2.00  0.00  0.00 -12.291 -12.893 -13.872   1.153   2.852   1.698
    6  3500  2.50  0.00  2.00  0.00  0.00 -12.314 -12.911 -13.899   1.148   2.856   1.707
    7  3500  3.00  0.00  2.00  0.00  0.00 -12.398 -12.975 -13.958   1.128   2.831   1.701
    8  3500  3.50  0.00  2.00  0.00  0.00 -12.540 -13.083 -14.049   1.093   2.779   1.685
    9  3500  4.00  0.00  2.00  0.00  0.00 -12.748 -13.247 -14.166   1.050   2.689   1.639
   10  3500  4.50  0.00  2.00  0.00  0.00 -12.974 -13.435 -14.289   1.012   2.586   1.573
   11  3500  5.00  0.00  2.00  0.00  0.00 -13.168 -13.608 -14.382   0.991   2.486   1.493
   12  3750  0.00  0.00  2.00  0.00  0.00 -13.828 -14.213 -14.491   0.936   1.934   0.997
   13  3750  0.50  0.00  2.00  0.00  0.00 -13.781 -14.156 -14.482   0.926   1.972   1.045
   14  3750  1.00  0.00  2.00  0.00  0.00 -13.730 -14.098 -14.476   0.919   2.017   1.097
   15  3750  1.50  0.00  2.00  0.00  0.00 -13.678 -14.040 -14.470   0.913   2.063   1.149
   16  3750  2.00  0.00  2.00  0.00  0.00 -13.631 -13.989 -14.467   0.908   2.107   1.197
   17  3750  2.50  0.00  2.00  0.00  0.00 -13.587 -13.943 -14.466   0.907   2.151   1.243
   18  3750  3.00  0.00  2.00  0.00  0.00 -13.556 -13.912 -14.473   0.907   2.189   1.281
   19  3750  3.50  0.00  2.00  0.00  0.00 -13.546 -13.903 -14.493   0.908   2.218   1.309
   20  3750  4.00  0.00  2.00  0.00  0.00 -13.576 -13.932 -14.533   0.907   2.228   1.321
   21  3750  4.50  0.00  2.00  0.00  0.00 -13.665 -14.015 -14.599   0.901   2.205   1.303
   22  3750  5.00  0.00  2.00  0.00  0.00 -13.786 -14.133 -14.673   0.898   2.159   1.260
   23  4000  0.00  0.00  2.00  0.00  0.00 -14.574 -14.847 -14.882   0.824   1.579   0.754
   24  4000  0.50  0.00  2.00  0.00  0.00 -14.559 -14.826 -14.875   0.818   1.587   0.767
   25  4000  1.00  0.00  2.00  0.00  0.00 -14.541 -14.805 -14.870   0.815   1.600   0.784
   26  4000  1.50  0.00  2.00  0.00  0.00 -14.521 -14.781 -14.867   0.811   1.616   0.805
   27  4000  2.00  0.00  2.00  0.00  0.00 -14.501 -14.755 -14.865   0.805   1.634   0.828
   28  4000  2.50  0.00  2.00  0.00  0.00 -14.476 -14.725 -14.864   0.800   1.659   0.858
   29  4000  3.00  0.00  2.00  0.00  0.00 -14.444 -14.692 -14.867   0.799   1.694   0.894
   30  4000  3.50  0.00  2.00  0.00  0.00 -14.413 -14.662 -14.874   0.800   1.732   0.932
