
       Teff log g  [M]a  Vturb  l/H  E(B-V)    U       B       V     BOL     BC      U-B    B-V(J)  B-V(H) 
    1  3500  0.00  0.00  2.00  1.25  0.00  -9.324 -11.574 -12.577 -22.077  -2.527   1.895   1.606   1.590
    2  3500  0.50  0.00  2.00  1.25  0.00  -9.638 -11.604 -12.464 -22.077  -2.640   1.603   1.463   1.447
    3  3500  1.00  0.00  2.00  1.25  0.00  -9.961 -11.653 -12.371 -22.077  -2.733   1.319   1.322   1.306
    4  3500  1.50  0.00  2.00  1.25  0.00 -10.291 -11.731 -12.311 -22.077  -2.793   1.057   1.184   1.168
    5  3500  2.00  0.00  2.00  1.25  0.00 -10.626 -11.844 -12.290 -22.077  -2.814   0.827   1.050   1.034
    6  3500  2.50  0.00  2.00  1.25  0.00 -10.946 -11.986 -12.314 -22.077  -2.791   0.642   0.932   0.916
    7  3500  3.00  0.00  2.00  1.25  0.00 -11.235 -12.158 -12.398 -22.077  -2.707   0.521   0.843   0.827
    8  3500  3.50  0.00  2.00  1.25  0.00 -11.487 -12.354 -12.540 -22.077  -2.564   0.462   0.790   0.774
    9  3500  4.00  0.00  2.00  1.25  0.00 -11.694 -12.555 -12.748 -22.077  -2.357   0.458   0.796   0.780
   10  3500  4.50  0.00  2.00  1.25  0.00 -11.862 -12.738 -12.974 -22.077  -2.131   0.476   0.839   0.823
   11  3500  5.00  0.00  2.00  1.25  0.00 -11.943 -12.857 -13.168 -22.077  -1.937   0.518   0.914   0.898
   12  3750  0.00  0.00  2.00  1.25  0.00 -10.035 -12.696 -13.828 -22.376  -1.577   2.317   1.736   1.720
   13  3750  0.50  0.00  2.00  1.25  0.00 -10.316 -12.741 -13.781 -22.376  -1.624   2.076   1.644   1.628
   14  3750  1.00  0.00  2.00  1.25  0.00 -10.600 -12.791 -13.730 -22.376  -1.674   1.837   1.542   1.526
   15  3750  1.50  0.00  2.00  1.25  0.00 -10.887 -12.847 -13.678 -22.376  -1.726   1.599   1.435   1.419
   16  3750  2.00  0.00  2.00  1.25  0.00 -11.176 -12.914 -13.631 -22.376  -1.773   1.370   1.321   1.305
   17  3750  2.50  0.00  2.00  1.25  0.00 -11.452 -12.981 -13.587 -22.376  -1.818   1.154   1.210   1.194
   18  3750  3.00  0.00  2.00  1.25  0.00 -11.694 -13.048 -13.555 -22.376  -1.849   0.974   1.111   1.095
   19  3750  3.50  0.00  2.00  1.25  0.00 -11.898 -13.119 -13.546 -22.376  -1.858   0.837   1.031   1.015
   20  3750  4.00  0.00  2.00  1.25  0.00 -12.071 -13.200 -13.576 -22.376  -1.828   0.742   0.979   0.963
   21  3750  4.50  0.00  2.00  1.25  0.00 -12.216 -13.294 -13.665 -22.376  -1.740   0.689   0.974   0.958
   22  3750  5.00  0.00  2.00  1.25  0.00 -12.326 -13.386 -13.786 -22.376  -1.619   0.672   1.003   0.987
   23  4000  0.00  0.00  2.00  1.25  0.00 -10.922 -13.535 -14.574 -22.656  -1.111   2.270   1.643   1.627
   24  4000  0.50  0.00  2.00  1.25  0.00 -11.168 -13.580 -14.559 -22.656  -1.126   2.065   1.582   1.566
   25  4000  1.00  0.00  2.00  1.25  0.00 -11.406 -13.624 -14.540 -22.656  -1.144   1.867   1.520   1.504
   26  4000  1.50  0.00  2.00  1.25  0.00 -11.653 -13.676 -14.521 -22.656  -1.164   1.667   1.448   1.432
   27  4000  2.00  0.00  2.00  1.25  0.00 -11.888 -13.731 -14.501 -22.656  -1.184   1.483   1.374   1.358
   28  4000  2.50  0.00  2.00  1.25  0.00 -12.107 -13.783 -14.476 -22.656  -1.209   1.311   1.296   1.280
   29  4000  3.00  0.00  2.00  1.25  0.00 -12.284 -13.820 -14.444 -22.656  -1.241   1.167   1.227   1.211
   30  4000  3.50  0.00  2.00  1.25  0.00 -12.430 -13.852 -14.413 -22.656  -1.272   1.049   1.164   1.148
   31  4000  4.00  0.00  2.00  1.25  0.00 -12.543 -13.877 -14.387 -22.656  -1.298   0.958   1.114   1.098
   32  4000  4.50  0.00  2.00  1.25  0.00 -12.638 -13.903 -14.387 -22.656  -1.297   0.887   1.088   1.072
   33  4000  5.00  0.00  2.00  1.25  0.00 -12.719 -13.933 -14.426 -22.656  -1.259   0.835   1.096   1.080
   34  4250  0.00  0.00  2.00  1.25  0.00 -11.964 -14.232 -15.126 -22.920  -0.822   1.920   1.498   1.482
   35  4250  0.50  0.00  2.00  1.25  0.00 -12.170 -14.277 -15.119 -22.920  -0.829   1.756   1.445   1.429
   36  4250  1.00  0.00  2.00  1.25  0.00 -12.363 -14.314 -15.108 -22.920  -0.840   1.597   1.397   1.381
   37  4250  1.50  0.00  2.00  1.25  0.00 -12.562 -14.359 -15.097 -22.920  -0.851   1.439   1.342   1.326
   38  4250  2.00  0.00  2.00  1.25  0.00 -12.748 -14.404 -15.088 -22.920  -0.860   1.295   1.288   1.272
   39  4250  2.50  0.00  2.00  1.25  0.00 -12.905 -14.447 -15.079 -22.920  -0.869   1.178   1.235   1.219
   40  4250  3.00  0.00  2.00  1.25  0.00 -13.022 -14.474 -15.062 -22.920  -0.885   1.086   1.192   1.176
   41  4250  3.50  0.00  2.00  1.25  0.00 -13.099 -14.490 -15.043 -22.920  -0.905   1.021   1.157   1.141
   42  4250  4.00  0.00  2.00  1.25  0.00 -13.148 -14.493 -15.019 -22.920  -0.929   0.974   1.129   1.113
   43  4250  4.50  0.00  2.00  1.25  0.00 -13.180 -14.490 -14.996 -22.920  -0.952   0.937   1.109   1.093
   44  4250  5.00  0.00  2.00  1.25  0.00 -13.212 -14.486 -14.989 -22.920  -0.959   0.899   1.106   1.090
   45  4500  0.00  0.00  2.00  1.25  0.00 -12.875 -14.816 -15.577 -23.168  -0.620   1.589   1.364   1.348
   46  4500  0.50  0.00  2.00  1.25  0.00 -13.047 -14.859 -15.572 -23.168  -0.624   1.457   1.316   1.300
   47  4500  1.00  0.00  2.00  1.25  0.00 -13.206 -14.893 -15.563 -23.168  -0.633   1.329   1.274   1.258
   48  4500  1.50  0.00  2.00  1.25  0.00 -13.363 -14.927 -15.554 -23.168  -0.642   1.203   1.230   1.214
   49  4500  2.00  0.00  2.00  1.25  0.00 -13.520 -14.966 -15.546 -23.168  -0.650   1.082   1.183   1.167
   50  4500  2.50  0.00  2.00  1.25  0.00 -13.651 -15.004 -15.539 -23.168  -0.657   0.986   1.138   1.122
   51  4500  3.00  0.00  2.00  1.25  0.00 -13.746 -15.032 -15.530 -23.168  -0.666   0.917   1.101   1.085
   52  4500  3.50  0.00  2.00  1.25  0.00 -13.796 -15.044 -15.516 -23.168  -0.680   0.877   1.076   1.060
   53  4500  4.00  0.00  2.00  1.25  0.00 -13.813 -15.045 -15.502 -23.168  -0.695   0.860   1.060   1.044
   54  4500  4.50  0.00  2.00  1.25  0.00 -13.806 -15.035 -15.483 -23.168  -0.713   0.856   1.051   1.035
   55  4500  5.00  0.00  2.00  1.25  0.00 -13.786 -15.018 -15.464 -23.168  -0.732   0.857   1.050   1.034
   56  4750  0.00  0.00  2.00  1.25  0.00 -13.659 -15.333 -15.963 -23.403  -0.468   1.317   1.233   1.217
   57  4750  0.50  0.00  2.00  1.25  0.00 -13.815 -15.376 -15.960 -23.403  -0.471   1.200   1.188   1.172
   58  4750  1.00  0.00  2.00  1.25  0.00 -13.951 -15.406 -15.953 -23.403  -0.478   1.092   1.150   1.134
   59  4750  1.50  0.00  2.00  1.25  0.00 -14.079 -15.433 -15.945 -23.403  -0.486   0.989   1.116   1.100
   60  4750  2.00  0.00  2.00  1.25  0.00 -14.205 -15.462 -15.937 -23.403  -0.494   0.889   1.078   1.062
   61  4750  2.50  0.00  2.00  1.25  0.00 -14.317 -15.492 -15.930 -23.403  -0.500   0.805   1.042   1.026
   62  4750  3.00  0.00  2.00  1.25  0.00 -14.401 -15.518 -15.924 -23.403  -0.507   0.744   1.009   0.993
   63  4750  3.50  0.00  2.00  1.25  0.00 -14.452 -15.533 -15.914 -23.403  -0.517   0.707   0.985   0.969
   64  4750  4.00  0.00  2.00  1.25  0.00 -14.469 -15.538 -15.903 -23.403  -0.528   0.693   0.968   0.952
   65  4750  4.50  0.00  2.00  1.25  0.00 -14.457 -15.533 -15.890 -23.403  -0.541   0.700   0.961   0.945
   66  4750  5.00  0.00  2.00  1.25  0.00 -14.423 -15.518 -15.875 -23.403  -0.556   0.719   0.960   0.944
   67  5000  0.00  0.00  2.00  1.25  0.00 -14.353 -15.808 -16.305 -23.626  -0.349   1.092   1.100   1.084
   68  5000  0.50  0.00  2.00  1.25  0.00 -14.498 -15.845 -16.300 -23.626  -0.354   0.980   1.058   1.042
   69  5000  1.00  0.00  2.00  1.25  0.00 -14.624 -15.872 -16.293 -23.626  -0.360   0.879   1.025   1.009
   70  5000  1.50  0.00  2.00  1.25  0.00 -14.735 -15.894 -16.286 -23.626  -0.368   0.788   0.995   0.979
   71  5000  2.00  0.00  2.00  1.25  0.00 -14.836 -15.914 -16.278 -23.626  -0.376   0.704   0.967   0.951
   72  5000  2.50  0.00  2.00  1.25  0.00 -14.925 -15.933 -16.270 -23.626  -0.383   0.633   0.941   0.925
   73  5000  3.00  0.00  2.00  1.25  0.00 -14.994 -15.951 -16.264 -23.626  -0.389   0.580   0.917   0.901
   74  5000  3.50  0.00  2.00  1.25  0.00 -15.042 -15.964 -16.257 -23.626  -0.396   0.544   0.897   0.881
   75  5000  4.00  0.00  2.00  1.25  0.00 -15.064 -15.970 -16.249 -23.626  -0.405   0.528   0.882   0.866
   76  5000  4.50  0.00  2.00  1.25  0.00 -15.063 -15.970 -16.239 -23.626  -0.415   0.529   0.873   0.857
   77  5000  5.00  0.00  2.00  1.25  0.00 -15.039 -15.963 -16.228 -23.626  -0.426   0.546   0.868   0.852
   78  5250  0.00  0.00  2.00  1.25  0.00 -14.970 -16.250 -16.614 -23.837  -0.252   0.911   0.968   0.952
   79  5250  0.50  0.00  2.00  1.25  0.00 -15.096 -16.276 -16.606 -23.837  -0.260   0.808   0.933   0.917
   80  5250  1.00  0.00  2.00  1.25  0.00 -15.210 -16.296 -16.597 -23.837  -0.269   0.712   0.904   0.888
   81  5250  1.50  0.00  2.00  1.25  0.00 -15.308 -16.311 -16.588 -23.837  -0.278   0.627   0.880   0.864
   82  5250  2.00  0.00  2.00  1.25  0.00 -15.395 -16.324 -16.579 -23.837  -0.287   0.550   0.858   0.842
   83  5250  2.50  0.00  2.00  1.25  0.00 -15.468 -16.334 -16.570 -23.837  -0.295   0.487   0.840   0.824
   84  5250  3.00  0.00  2.00  1.25  0.00 -15.524 -16.343 -16.564 -23.837  -0.302   0.437   0.824   0.808
   85  5250  3.50  0.00  2.00  1.25  0.00 -15.563 -16.349 -16.557 -23.837  -0.308   0.404   0.812   0.796
   86  5250  4.00  0.00  2.00  1.25  0.00 -15.585 -16.352 -16.551 -23.837  -0.315   0.385   0.802   0.786
   87  5250  4.50  0.00  2.00  1.25  0.00 -15.589 -16.352 -16.544 -23.837  -0.322   0.382   0.795   0.779
   88  5250  5.00  0.00  2.00  1.25  0.00 -15.574 -16.349 -16.536 -23.837  -0.329   0.393   0.790   0.774
   89  5500  0.00  0.00  2.00  1.25  0.00 -15.526 -16.664 -16.896 -24.039  -0.171   0.763   0.836   0.820
   90  5500  0.50  0.00  2.00  1.25  0.00 -15.623 -16.675 -16.884 -24.039  -0.184   0.675   0.812   0.796
   91  5500  1.00  0.00  2.00  1.25  0.00 -15.718 -16.686 -16.873 -24.039  -0.195   0.588   0.790   0.774
   92  5500  1.50  0.00  2.00  1.25  0.00 -15.804 -16.693 -16.861 -24.039  -0.206   0.508   0.772   0.756
   93  5500  2.00  0.00  2.00  1.25  0.00 -15.880 -16.698 -16.850 -24.039  -0.217   0.435   0.756   0.740
   94  5500  2.50  0.00  2.00  1.25  0.00 -15.944 -16.700 -16.840 -24.039  -0.228   0.372   0.743   0.727
   95  5500  3.00  0.00  2.00  1.25  0.00 -15.994 -16.701 -16.831 -24.039  -0.236   0.322   0.734   0.718
   96  5500  3.50  0.00  2.00  1.25  0.00 -16.029 -16.701 -16.824 -24.039  -0.243   0.286   0.727   0.711
   97  5500  4.00  0.00  2.00  1.25  0.00 -16.049 -16.699 -16.818 -24.039  -0.249   0.263   0.723   0.707
   98  5500  4.50  0.00  2.00  1.25  0.00 -16.056 -16.696 -16.813 -24.039  -0.254   0.254   0.721   0.705
   99  5500  5.00  0.00  2.00  1.25  0.00 -16.046 -16.692 -16.808 -24.039  -0.260   0.260   0.719   0.703
  100  5750  0.00  0.00  2.00  1.25  0.00 -16.026 -17.050 -17.154 -24.233  -0.107   0.643   0.707   0.691
  101  5750  0.50  0.00  2.00  1.25  0.00 -16.090 -17.047 -17.139 -24.233  -0.122   0.574   0.696   0.680
  102  5750  1.00  0.00  2.00  1.25  0.00 -16.163 -17.046 -17.125 -24.233  -0.136   0.499   0.683   0.667
  103  5750  1.50  0.00  2.00  1.25  0.00 -16.234 -17.044 -17.111 -24.233  -0.149   0.424   0.671   0.655
  104  5750  2.00  0.00  2.00  1.25  0.00 -16.299 -17.041 -17.099 -24.233  -0.162   0.355   0.661   0.645
  105  5750  2.50  0.00  2.00  1.25  0.00 -16.356 -17.036 -17.087 -24.233  -0.174   0.292   0.654   0.638
  106  5750  3.00  0.00  2.00  1.25  0.00 -16.403 -17.031 -17.076 -24.233  -0.185   0.239   0.649   0.633
  107  5750  3.50  0.00  2.00  1.25  0.00 -16.437 -17.024 -17.067 -24.233  -0.194   0.197   0.646   0.630
  108  5750  4.00  0.00  2.00  1.25  0.00 -16.460 -17.017 -17.060 -24.233  -0.201   0.167   0.646   0.630
  109  5750  4.50  0.00  2.00  1.25  0.00 -16.471 -17.009 -17.054 -24.233  -0.207   0.149   0.648   0.632
  110  5750  5.00  0.00  2.00  1.25  0.00 -16.467 -17.003 -17.050 -24.233  -0.211   0.147   0.651   0.635
  111  6000  0.00  0.00  2.00  1.25  0.00 -16.481 -17.413 -17.385 -24.417  -0.060   0.544   0.576   0.560
  112  6000  0.50  0.00  2.00  1.25  0.00 -16.505 -17.392 -17.372 -24.417  -0.074   0.498   0.584   0.568
  113  6000  1.00  0.00  2.00  1.25  0.00 -16.554 -17.380 -17.357 -24.417  -0.088   0.436   0.581   0.565
  114  6000  1.50  0.00  2.00  1.25  0.00 -16.609 -17.369 -17.342 -24.417  -0.103   0.370   0.577   0.561
  115  6000  2.00  0.00  2.00  1.25  0.00 -16.663 -17.358 -17.328 -24.417  -0.118   0.304   0.573   0.557
  116  6000  2.50  0.00  2.00  1.25  0.00 -16.712 -17.347 -17.314 -24.417  -0.131   0.242   0.571   0.555
  117  6000  3.00  0.00  2.00  1.25  0.00 -16.756 -17.334 -17.301 -24.417  -0.144   0.185   0.571   0.555
  118  6000  3.50  0.00  2.00  1.25  0.00 -16.791 -17.321 -17.290 -24.417  -0.155   0.137   0.572   0.556
  119  6000  4.00  0.00  2.00  1.25  0.00 -16.818 -17.309 -17.281 -24.417  -0.165   0.098   0.575   0.559
  120  6000  4.50  0.00  2.00  1.25  0.00 -16.834 -17.297 -17.273 -24.417  -0.172   0.071   0.580   0.564
  121  6000  5.00  0.00  2.00  1.25  0.00 -16.838 -17.287 -17.269 -24.417  -0.177   0.057   0.585   0.569
