TEFF   3500.  GRAVITY 0.00000 LTE 
TITLE  [0.0] VTURB=4.0  L/H=1.25 NOVER                                          
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.77987619E-02   2121.7 1.774E-02 3.434E+05 7.492E-06 3.048E-03 4.000E+05 0.000E+00 0.000E+00
 2.36465727E-02   2144.1 2.358E-02 4.575E+05 7.719E-06 2.733E-03 4.000E+05 0.000E+00 0.000E+00
 3.11995936E-02   2167.9 3.111E-02 6.072E+05 7.986E-06 2.465E-03 4.000E+05 0.000E+00 0.000E+00
 4.09501753E-02   2190.4 4.084E-02 7.995E+05 8.237E-06 2.205E-03 4.000E+05 0.000E+00 0.000E+00
 5.35871894E-02   2210.5 5.345E-02 1.045E+06 8.450E-06 1.949E-03 4.000E+05 0.000E+00 0.000E+00
 6.99884193E-02   2231.9 6.982E-02 1.366E+06 8.696E-06 1.743E-03 4.000E+05 0.000E+00 0.000E+00
 9.12006965E-02   2254.5 9.100E-02 1.784E+06 8.980E-06 1.577E-03 4.000E+05 0.000E+00 0.000E+00
 1.18586601E-01   2276.8 1.183E-01 2.325E+06 9.275E-06 1.431E-03 4.000E+05 0.000E+00 0.000E+00
 1.53938478E-01   2298.4 1.536E-01 3.020E+06 9.582E-06 1.299E-03 4.000E+05 0.000E+00 0.000E+00
 1.99604999E-01   2318.8 1.993E-01 3.909E+06 9.889E-06 1.179E-03 4.000E+05 0.000E+00 0.000E+00
 2.58519981E-01   2340.1 2.581E-01 5.062E+06 1.024E-05 1.083E-03 4.000E+05 0.000E+00 0.000E+00
 3.34292291E-01   2362.0 3.338E-01 6.550E+06 1.063E-05 1.001E-03 4.000E+05 0.000E+00 0.000E+00
 4.31548570E-01   2383.6 4.310E-01 8.456E+06 1.105E-05 9.234E-04 4.000E+05 0.000E+00 0.000E+00
 5.55974041E-01   2405.9 5.553E-01 1.091E+07 1.154E-05 8.535E-04 4.000E+05 0.000E+00 0.000E+00
 7.14672122E-01   2427.4 7.138E-01 1.402E+07 1.208E-05 7.845E-04 4.000E+05 0.000E+00 0.000E+00
