
       Teff log g  [M]  Vturb  l/H   small     big    beta
    1  3500  0.00  0.00  4.00  1.25 -12.425 -12.458   2.556
    2  3500  0.50  0.00  4.00  1.25 -12.449 -12.479   2.551
    3  3500  1.00  0.00  4.00  1.25 -12.443 -12.474   2.552
    4  3500  1.50  0.00  4.00  1.25 -12.416 -12.451   2.558
    5  3500  2.00  0.00  4.00  1.25 -12.375 -12.416   2.566
    6  3500  2.50  0.00  4.00  1.25 -12.332 -12.379   2.574
    7  3500  3.00  0.00  4.00  1.25 -12.340 -12.382   2.568
    8  3500  3.50  0.00  4.00  1.25 -12.556 -12.570   2.529
    9  3500  4.00  0.00  4.00  1.25 -12.795 -12.783   2.494
   10  3500  4.50  0.00  4.00  1.25 -12.911 -12.882   2.470
   11  3500  5.00  0.00  4.00  1.25 -12.958 -12.910   2.444
   12  3750  0.00  0.00  4.00  1.25 -13.387 -13.426   2.564
   13  3750  0.50  0.00  4.00  1.25 -13.449 -13.473   2.542
   14  3750  1.00  0.00  4.00  1.25 -13.492 -13.498   2.519
   15  3750  1.50  0.00  4.00  1.25 -13.518 -13.509   2.498
   16  3750  2.00  0.00  4.00  1.25 -13.531 -13.508   2.479
   17  3750  2.50  0.00  4.00  1.25 -13.532 -13.497   2.462
   18  3750  3.00  0.00  4.00  1.25 -13.525 -13.479   2.447
   19  3750  3.50  0.00  4.00  1.25 -13.531 -13.475   2.434
   20  3750  4.00  0.00  4.00  1.25 -13.604 -13.543   2.427
   21  3750  4.50  0.00  4.00  1.25 -13.697 -13.634   2.425
   22  3750  5.00  0.00  4.00  1.25 -13.747 -13.681   2.420
   23  4000  0.00  0.00  4.00  1.25 -14.104 -14.168   2.597
   24  4000  0.50  0.00  4.00  1.25 -14.163 -14.216   2.581
   25  4000  1.00  0.00  4.00  1.25 -14.210 -14.247   2.561
   26  4000  1.50  0.00  4.00  1.25 -14.245 -14.266   2.538
   27  4000  2.00  0.00  4.00  1.25 -14.272 -14.274   2.512
   28  4000  2.50  0.00  4.00  1.25 -14.292 -14.273   2.485
   29  4000  3.00  0.00  4.00  1.25 -14.302 -14.264   2.458
   30  4000  3.50  0.00  4.00  1.25 -14.306 -14.248   2.431
   31  4000  4.00  0.00  4.00  1.25 -14.309 -14.236   2.410
   32  4000  4.50  0.00  4.00  1.25 -14.332 -14.255   2.406
   33  4000  5.00  0.00  4.00  1.25 -14.369 -14.295   2.410
   34  4250  0.00  0.00  4.00  1.25 -14.705 -14.779   2.610
   35  4250  0.50  0.00  4.00  1.25 -14.757 -14.825   2.602
   36  4250  1.00  0.00  4.00  1.25 -14.795 -14.854   2.591
   37  4250  1.50  0.00  4.00  1.25 -14.826 -14.874   2.576
   38  4250  2.00  0.00  4.00  1.25 -14.853 -14.887   2.557
   39  4250  2.50  0.00  4.00  1.25 -14.876 -14.894   2.534
   40  4250  3.00  0.00  4.00  1.25 -14.894 -14.893   2.509
   41  4250  3.50  0.00  4.00  1.25 -14.907 -14.886   2.481
   42  4250  4.00  0.00  4.00  1.25 -14.914 -14.870   2.451
   43  4250  4.50  0.00  4.00  1.25 -14.914 -14.851   2.425
   44  4250  5.00  0.00  4.00  1.25 -14.919 -14.849   2.415
   45  4500  0.00  0.00  4.00  1.25 -15.237 -15.312   2.611
   46  4500  0.50  0.00  4.00  1.25 -15.274 -15.346   2.607
   47  4500  1.00  0.00  4.00  1.25 -15.302 -15.369   2.602
   48  4500  1.50  0.00  4.00  1.25 -15.324 -15.386   2.593
   49  4500  2.00  0.00  4.00  1.25 -15.345 -15.398   2.582
   50  4500  2.50  0.00  4.00  1.25 -15.364 -15.406   2.567
   51  4500  3.00  0.00  4.00  1.25 -15.383 -15.412   2.549
   52  4500  3.50  0.00  4.00  1.25 -15.399 -15.412   2.529
   53  4500  4.00  0.00  4.00  1.25 -15.412 -15.408   2.504
   54  4500  4.50  0.00  4.00  1.25 -15.421 -15.396   2.476
   55  4500  5.00  0.00  4.00  1.25 -15.423 -15.378   2.449
   56  4750  0.00  0.00  4.00  1.25 -15.701 -15.775   2.610
   57  4750  0.50  0.00  4.00  1.25 -15.730 -15.801   2.607
   58  4750  1.00  0.00  4.00  1.25 -15.750 -15.819   2.604
   59  4750  1.50  0.00  4.00  1.25 -15.766 -15.831   2.598
   60  4750  2.00  0.00  4.00  1.25 -15.778 -15.838   2.592
   61  4750  2.50  0.00  4.00  1.25 -15.791 -15.844   2.582
   62  4750  3.00  0.00  4.00  1.25 -15.804 -15.849   2.571
   63  4750  3.50  0.00  4.00  1.25 -15.818 -15.853   2.557
   64  4750  4.00  0.00  4.00  1.25 -15.832 -15.854   2.540
   65  4750  4.50  0.00  4.00  1.25 -15.844 -15.852   2.520
   66  4750  5.00  0.00  4.00  1.25 -15.854 -15.844   2.497
   67  5000  0.00  0.00  4.00  1.25 -16.115 -16.189   2.611
   68  5000  0.50  0.00  4.00  1.25 -16.134 -16.206   2.608
   69  5000  1.00  0.00  4.00  1.25 -16.148 -16.218   2.605
   70  5000  1.50  0.00  4.00  1.25 -16.157 -16.224   2.601
   71  5000  2.00  0.00  4.00  1.25 -16.165 -16.228   2.595
   72  5000  2.50  0.00  4.00  1.25 -16.171 -16.230   2.589
   73  5000  3.00  0.00  4.00  1.25 -16.179 -16.232   2.581
   74  5000  3.50  0.00  4.00  1.25 -16.188 -16.234   2.572
   75  5000  4.00  0.00  4.00  1.25 -16.199 -16.236   2.561
   76  5000  4.50  0.00  4.00  1.25 -16.210 -16.238   2.548
