
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.00  4.00  0.00  0.00  -8.656 -11.640 -13.043 -22.077  -2.059   2.647   2.007   1.991
    2  3500  0.50  0.00  4.00  0.00  0.00  -8.974 -11.741 -13.029 -22.077  -2.073   2.424   1.892   1.876
    3  3500  1.00  0.00  4.00  0.00  0.00  -9.282 -11.826 -13.000 -22.077  -2.103   2.195   1.778   1.762
    4  3500  1.50  0.00  4.00  0.00  0.00  -9.572 -11.898 -12.960 -22.077  -2.143   1.972   1.665   1.649
    5  3500  2.00  0.00  4.00  0.00  0.00  -9.833 -11.960 -12.914 -22.077  -2.189   1.767   1.557   1.541
    6  3500  2.50  0.00  4.00  0.00  0.00 -10.050 -12.012 -12.870 -22.077  -2.232   1.595   1.462   1.446
    7  3500  3.00  0.00  4.00  0.00  0.00 -10.228 -12.072 -12.870 -22.077  -2.232   1.474   1.401   1.385
    8  3500  3.50  0.00  4.00  0.00  0.00 -10.448 -12.228 -13.046 -22.077  -2.057   1.410   1.421   1.405
    9  3500  4.00  0.00  4.00  0.00  0.00 -10.655 -12.391 -13.241 -22.077  -1.862   1.369   1.453   1.437
   10  3500  4.50  0.00  4.00  0.00  0.00 -10.740 -12.459 -13.333 -22.077  -1.770   1.352   1.477   1.461
   11  3500  5.00  0.00  4.00  0.00  0.00 -10.728 -12.466 -13.369 -22.077  -1.734   1.372   1.507   1.491
   12  3750  0.00  0.00  4.00  0.00  0.00  -9.358 -12.544 -13.886 -22.376  -1.517   2.853   1.945   1.929
   13  3750  0.50  0.00  4.00  0.00  0.00  -9.682 -12.642 -13.900 -22.376  -1.503   2.623   1.861   1.845
   14  3750  1.00  0.00  4.00  0.00  0.00  -9.985 -12.725 -13.904 -22.376  -1.499   2.397   1.782   1.766
   15  3750  1.50  0.00  4.00  0.00  0.00 -10.264 -12.796 -13.899 -22.376  -1.503   2.186   1.707   1.691
   16  3750  2.00  0.00  4.00  0.00  0.00 -10.513 -12.859 -13.889 -22.376  -1.513   1.995   1.634   1.618
   17  3750  2.50  0.00  4.00  0.00  0.00 -10.728 -12.911 -13.873 -22.376  -1.529   1.828   1.566   1.550
   18  3750  3.00  0.00  4.00  0.00  0.00 -10.904 -12.953 -13.855 -22.376  -1.548   1.690   1.505   1.489
   19  3750  3.50  0.00  4.00  0.00  0.00 -11.054 -12.993 -13.853 -22.376  -1.549   1.577   1.464   1.448
   20  3750  4.00  0.00  4.00  0.00  0.00 -11.237 -13.066 -13.918 -22.376  -1.484   1.465   1.456   1.440
   21  3750  4.50  0.00  4.00  0.00  0.00 -11.418 -13.154 -14.001 -22.376  -1.402   1.371   1.450   1.434
   22  3750  5.00  0.00  4.00  0.00  0.00 -11.523 -13.204 -14.044 -22.376  -1.359   1.315   1.444   1.428
   23  4000  0.00  0.00  4.00  0.00  0.00 -10.255 -13.323 -14.527 -22.656  -1.156   2.733   1.807   1.791
   24  4000  0.50  0.00  4.00  0.00  0.00 -10.557 -13.413 -14.542 -22.656  -1.140   2.518   1.733   1.717
   25  4000  1.00  0.00  4.00  0.00  0.00 -10.835 -13.488 -14.550 -22.656  -1.133   2.310   1.666   1.650
   26  4000  1.50  0.00  4.00  0.00  0.00 -11.085 -13.549 -14.551 -22.656  -1.132   2.118   1.605   1.589
   27  4000  2.00  0.00  4.00  0.00  0.00 -11.301 -13.599 -14.547 -22.656  -1.136   1.948   1.551   1.535
   28  4000  2.50  0.00  4.00  0.00  0.00 -11.481 -13.641 -14.540 -22.656  -1.143   1.806   1.503   1.487
   29  4000  3.00  0.00  4.00  0.00  0.00 -11.628 -13.673 -14.530 -22.656  -1.153   1.688   1.461   1.445
   30  4000  3.50  0.00  4.00  0.00  0.00 -11.742 -13.695 -14.517 -22.656  -1.165   1.593   1.426   1.410
   31  4000  4.00  0.00  4.00  0.00  0.00 -11.844 -13.713 -14.513 -22.656  -1.170   1.508   1.403   1.387
   32  4000  4.50  0.00  4.00  0.00  0.00 -11.987 -13.749 -14.537 -22.656  -1.145   1.398   1.392   1.376
   33  4000  5.00  0.00  4.00  0.00  0.00 -12.144 -13.803 -14.576 -22.656  -1.107   1.294   1.377   1.361
   34  4250  0.00  0.00  4.00  0.00  0.00 -11.279 -14.000 -15.058 -22.920  -0.888   2.380   1.662   1.646
   35  4250  0.50  0.00  4.00  0.00  0.00 -11.537 -14.086 -15.077 -22.920  -0.869   2.207   1.594   1.578
   36  4250  1.00  0.00  4.00  0.00  0.00 -11.774 -14.155 -15.085 -22.920  -0.861   2.035   1.533   1.517
   37  4250  1.50  0.00  4.00  0.00  0.00 -11.992 -14.214 -15.087 -22.920  -0.859   1.872   1.477   1.461
   38  4250  2.00  0.00  4.00  0.00  0.00 -12.180 -14.261 -15.085 -22.920  -0.861   1.729   1.427   1.411
   39  4250  2.50  0.00  4.00  0.00  0.00 -12.331 -14.299 -15.078 -22.920  -0.867   1.612   1.383   1.367
   40  4250  3.00  0.00  4.00  0.00  0.00 -12.447 -14.326 -15.070 -22.920  -0.876   1.520   1.347   1.331
   41  4250  3.50  0.00  4.00  0.00  0.00 -12.528 -14.342 -15.058 -22.920  -0.887   1.454   1.320   1.304
   42  4250  4.00  0.00  4.00  0.00  0.00 -12.580 -14.348 -15.045 -22.920  -0.901   1.406   1.301   1.285
   43  4250  4.50  0.00  4.00  0.00  0.00 -12.623 -14.347 -15.036 -22.920  -0.910   1.361   1.292   1.276
   44  4250  5.00  0.00  4.00  0.00  0.00 -12.721 -14.363 -15.043 -22.920  -0.903   1.276   1.284   1.268
   45  4500  0.00  0.00  4.00  0.00  0.00 -12.308 -14.615 -15.519 -23.168  -0.675   1.960   1.508   1.492
   46  4500  0.50  0.00  4.00  0.00  0.00 -12.498 -14.683 -15.532 -23.168  -0.662   1.837   1.452   1.436
   47  4500  1.00  0.00  4.00  0.00  0.00 -12.682 -14.742 -15.539 -23.168  -0.655   1.709   1.400   1.384
   48  4500  1.50  0.00  4.00  0.00  0.00 -12.855 -14.793 -15.542 -23.168  -0.652   1.583   1.352   1.336
   49  4500  2.00  0.00  4.00  0.00  0.00 -13.011 -14.837 -15.542 -23.168  -0.652   1.468   1.308   1.292
   50  4500  2.50  0.00  4.00  0.00  0.00 -13.143 -14.874 -15.538 -23.168  -0.656   1.371   1.267   1.251
   51  4500  3.00  0.00  4.00  0.00  0.00 -13.246 -14.903 -15.531 -23.168  -0.663   1.295   1.232   1.216
   52  4500  3.50  0.00  4.00  0.00  0.00 -13.317 -14.922 -15.522 -23.168  -0.672   1.242   1.203   1.187
   53  4500  4.00  0.00  4.00  0.00  0.00 -13.357 -14.931 -15.510 -23.168  -0.684   1.209   1.183   1.167
   54  4500  4.50  0.00  4.00  0.00  0.00 -13.370 -14.929 -15.497 -23.168  -0.697   1.194   1.171   1.155
   55  4500  5.00  0.00  4.00  0.00  0.00 -13.372 -14.920 -15.485 -23.168  -0.709   1.181   1.169   1.153
   56  4750  0.00  0.00  4.00  0.00  0.00 -13.225 -15.170 -15.918 -23.403  -0.511   1.592   1.351   1.335
   57  4750  0.50  0.00  4.00  0.00  0.00 -13.381 -15.227 -15.927 -23.403  -0.502   1.490   1.304   1.288
   58  4750  1.00  0.00  4.00  0.00  0.00 -13.525 -15.274 -15.932 -23.403  -0.497   1.391   1.261   1.245
   59  4750  1.50  0.00  4.00  0.00  0.00 -13.657 -15.314 -15.934 -23.403  -0.495   1.297   1.224   1.208
   60  4750  2.00  0.00  4.00  0.00  0.00 -13.775 -15.348 -15.934 -23.403  -0.495   1.211   1.189   1.173
   61  4750  2.50  0.00  4.00  0.00  0.00 -13.878 -15.378 -15.932 -23.403  -0.497   1.136   1.157   1.141
   62  4750  3.00  0.00  4.00  0.00  0.00 -13.961 -15.404 -15.928 -23.403  -0.501   1.076   1.127   1.111
   63  4750  3.50  0.00  4.00  0.00  0.00 -14.023 -15.424 -15.922 -23.403  -0.507   1.033   1.101   1.085
   64  4750  4.00  0.00  4.00  0.00  0.00 -14.062 -15.437 -15.913 -23.403  -0.516   1.007   1.080   1.064
   65  4750  4.50  0.00  4.00  0.00  0.00 -14.075 -15.442 -15.902 -23.403  -0.526   0.998   1.064   1.048
   66  4750  5.00  0.00  4.00  0.00  0.00 -14.067 -15.438 -15.890 -23.403  -0.539   1.001   1.056   1.040
   67  5000  0.00  0.00  4.00  0.00  0.00 -14.027 -15.682 -16.274 -23.626  -0.378   1.295   1.195   1.179
   68  5000  0.50  0.00  4.00  0.00  0.00 -14.159 -15.725 -16.277 -23.626  -0.375   1.204   1.156   1.140
   69  5000  1.00  0.00  4.00  0.00  0.00 -14.280 -15.761 -16.278 -23.626  -0.373   1.117   1.120   1.104
   70  5000  1.50  0.00  4.00  0.00  0.00 -14.387 -15.791 -16.278 -23.626  -0.374   1.038   1.090   1.074
   71  5000  2.00  0.00  4.00  0.00  0.00 -14.478 -15.815 -16.277 -23.626  -0.375   0.969   1.065   1.049
   72  5000  2.50  0.00  4.00  0.00  0.00 -14.555 -15.835 -16.274 -23.626  -0.378   0.911   1.042   1.026
   73  5000  3.00  0.00  4.00  0.00  0.00 -14.616 -15.852 -16.271 -23.626  -0.381   0.866   1.022   1.006
   74  5000  3.50  0.00  4.00  0.00  0.00 -14.662 -15.867 -16.267 -23.626  -0.384   0.833   1.004   0.988
   75  5000  4.00  0.00  4.00  0.00  0.00 -14.691 -15.878 -16.262 -23.626  -0.390   0.815   0.988   0.972
   76  5000  4.50  0.00  4.00  0.00  0.00 -14.702 -15.885 -16.255 -23.626  -0.396   0.810   0.974   0.958
   77  5000  5.00  0.00  4.00  0.00  0.00 -14.697 -15.887 -16.247 -23.626  -0.405   0.816   0.964   0.948
   78  5250  0.00  0.00  4.00  0.00  0.00 -14.741 -16.157 -16.594 -23.837  -0.269   1.049   1.041   1.025
   79  5250  0.50  0.00  4.00  0.00  0.00 -14.843 -16.184 -16.592 -23.837  -0.272   0.972   1.011   0.995
   80  5250  1.00  0.00  4.00  0.00  0.00 -14.943 -16.208 -16.589 -23.837  -0.274   0.895   0.984   0.968
   81  5250  1.50  0.00  4.00  0.00  0.00 -15.031 -16.228 -16.586 -23.837  -0.278   0.824   0.961   0.945
   82  5250  2.00  0.00  4.00  0.00  0.00 -15.107 -16.244 -16.582 -23.837  -0.282   0.762   0.941   0.925
   83  5250  2.50  0.00  4.00  0.00  0.00 -15.169 -16.255 -16.578 -23.837  -0.286   0.711   0.926   0.910
   84  5250  3.00  0.00  4.00  0.00  0.00 -15.216 -16.263 -16.574 -23.837  -0.290   0.671   0.914   0.898
   85  5250  3.50  0.00  4.00  0.00  0.00 -15.250 -16.270 -16.570 -23.837  -0.293   0.643   0.904   0.888
   86  5250  4.00  0.00  4.00  0.00  0.00 -15.268 -16.275 -16.567 -23.837  -0.297   0.629   0.895   0.879
   87  5250  4.50  0.00  4.00  0.00  0.00 -15.273 -16.278 -16.563 -23.837  -0.301   0.628   0.888   0.872
   88  5250  5.00  0.00  4.00  0.00  0.00 -15.265 -16.280 -16.558 -23.837  -0.306   0.638   0.882   0.866
   89  5500  0.00  0.00  4.00  0.00  0.00 -15.376 -16.598 -16.884 -24.039  -0.181   0.848   0.890   0.874
   90  5500  0.50  0.00  4.00  0.00  0.00 -15.447 -16.609 -16.877 -24.039  -0.189   0.786   0.871   0.855
   91  5500  1.00  0.00  4.00  0.00  0.00 -15.523 -16.620 -16.870 -24.039  -0.196   0.720   0.854   0.838
   92  5500  1.50  0.00  4.00  0.00  0.00 -15.594 -16.629 -16.863 -24.039  -0.202   0.657   0.838   0.822
   93  5500  2.00  0.00  4.00  0.00  0.00 -15.657 -16.636 -16.857 -24.039  -0.209   0.598   0.825   0.809
   94  5500  2.50  0.00  4.00  0.00  0.00 -15.710 -16.639 -16.850 -24.039  -0.215   0.548   0.815   0.799
   95  5500  3.00  0.00  4.00  0.00  0.00 -15.751 -16.640 -16.845 -24.039  -0.221   0.508   0.808   0.792
   96  5500  3.50  0.00  4.00  0.00  0.00 -15.780 -16.640 -16.840 -24.039  -0.226   0.478   0.804   0.788
