
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.00  0.00  0.00  0.00  -8.477  -8.462 -11.090 -12.538 -13.151   4.863   4.855   1.114   0.763   1.107   1.100
    2  3500  0.50  0.00  0.00  0.00  0.00  -8.806  -8.791 -11.344 -12.594 -13.149   4.590   4.582   1.056   0.623   1.230   1.222
    3  3500  1.00  0.00  0.00  0.00  0.00  -9.122  -9.108 -11.561 -12.619 -13.132   4.299   4.292   1.012   0.475   1.323   1.315
    4  3500  1.50  0.00  0.00  0.00  0.00  -9.411  -9.396 -11.741 -12.624 -13.103   4.015   4.008   0.980   0.332   1.390   1.383
    5  3500  2.00  0.00  0.00  0.00  0.00  -9.657  -9.642 -11.884 -12.614 -13.068   3.759   3.751   0.955   0.204   1.439   1.432
    6  3500  2.50  0.00  0.00  0.00  0.00  -9.846  -9.832 -11.985 -12.595 -13.033   3.551   3.544   0.938   0.102   1.469   1.462
    7  3500  3.00  0.00  0.00  0.00  0.00  -9.999  -9.983 -12.044 -12.606 -13.045   3.410   3.403   0.939   0.053   1.425   1.419
    8  3500  3.50  0.00  0.00  0.00  0.00 -10.223 -10.208 -12.121 -12.743 -13.213   3.322   3.316   0.969   0.083   1.216   1.210
    9  3500  4.00  0.00  0.00  0.00  0.00 -10.415 -10.399 -12.194 -12.874 -13.361   3.261   3.255   0.987   0.123   1.040   1.034
   10  3500  4.50  0.00  0.00  0.00  0.00 -10.482 -10.465 -12.196 -12.922 -13.420   3.243   3.238   0.998   0.158   0.929   0.924
   11  3500  5.00  0.00  0.00  0.00  0.00 -10.455 -10.437 -12.152 -12.929 -13.435   3.276   3.272   1.006   0.199   0.862   0.858
   12  3750  0.00  0.00  0.00  0.00  0.00  -9.408  -9.393 -11.927 -13.471 -13.986   4.864   4.858   1.016   0.957   0.918   0.911
   13  3750  0.50  0.00  0.00  0.00  0.00  -9.722  -9.707 -12.134 -13.538 -14.003   4.618   4.611   0.965   0.868   0.950   0.943
   14  3750  1.00  0.00  0.00  0.00  0.00 -10.009  -9.994 -12.311 -13.580 -14.007   4.372   4.366   0.927   0.771   0.974   0.968
   15  3750  1.50  0.00  0.00  0.00  0.00 -10.262 -10.246 -12.458 -13.603 -14.001   4.143   4.137   0.898   0.676   0.993   0.987
   16  3750  2.00  0.00  0.00  0.00  0.00 -10.474 -10.458 -12.576 -13.613 -13.988   3.941   3.935   0.876   0.590   1.008   1.001
   17  3750  2.50  0.00  0.00  0.00  0.00 -10.643 -10.627 -12.666 -13.612 -13.970   3.771   3.764   0.858   0.516   1.019   1.013
   18  3750  3.00  0.00  0.00  0.00  0.00 -10.768 -10.752 -12.726 -13.601 -13.948   3.635   3.630   0.847   0.458   1.024   1.018
   19  3750  3.50  0.00  0.00  0.00  0.00 -10.874 -10.858 -12.754 -13.593 -13.946   3.520   3.515   0.854   0.414   0.982   0.976
   20  3750  4.00  0.00  0.00  0.00  0.00 -11.047 -11.030 -12.795 -13.620 -14.010   3.375   3.370   0.890   0.364   0.865   0.860
   21  3750  4.50  0.00  0.00  0.00  0.00 -11.219 -11.202 -12.856 -13.667 -14.079   3.250   3.245   0.912   0.328   0.768   0.762
   22  3750  5.00  0.00  0.00  0.00  0.00 -11.312 -11.294 -12.885 -13.688 -14.110   3.178   3.174   0.922   0.309   0.713   0.709
   23  4000  0.00  0.00  0.00  0.00  0.00 -10.601 -10.583 -12.802 -14.190 -14.616   4.390   4.387   0.927   0.890   0.756   0.752
   24  4000  0.50  0.00  0.00  0.00  0.00 -10.890 -10.872 -12.971 -14.257 -14.634   4.169   4.165   0.877   0.838   0.738   0.734
   25  4000  1.00  0.00  0.00  0.00  0.00 -11.133 -11.114 -13.109 -14.302 -14.642   3.971   3.967   0.840   0.781   0.726   0.722
   26  4000  1.50  0.00  0.00  0.00  0.00 -11.325 -11.307 -13.217 -14.329 -14.643   3.806   3.802   0.814   0.727   0.722   0.718
   27  4000  2.00  0.00  0.00  0.00  0.00 -11.472 -11.454 -13.301 -14.343 -14.639   3.674   3.670   0.795   0.676   0.729   0.724
   28  4000  2.50  0.00  0.00  0.00  0.00 -11.577 -11.559 -13.361 -14.348 -14.629   3.574   3.569   0.781   0.635   0.740   0.736
   29  4000  3.00  0.00  0.00  0.00  0.00 -11.644 -11.626 -13.399 -14.345 -14.616   3.503   3.499   0.771   0.604   0.751   0.747
   30  4000  3.50  0.00  0.00  0.00  0.00 -11.680 -11.662 -13.413 -14.333 -14.598   3.455   3.451   0.766   0.583   0.756   0.752
   31  4000  4.00  0.00  0.00  0.00  0.00 -11.723 -11.705 -13.412 -14.313 -14.591   3.392   3.387   0.778   0.551   0.731   0.727
   32  4000  4.50  0.00  0.00  0.00  0.00 -11.845 -11.827 -13.434 -14.301 -14.613   3.258   3.253   0.813   0.483   0.665   0.661
   33  4000  5.00  0.00  0.00  0.00  0.00 -11.993 -11.975 -13.489 -14.311 -14.648   3.120   3.116   0.836   0.415   0.615   0.611
   34  4250  0.00  0.00  0.00  0.00  0.00 -11.787 -11.767 -13.606 -14.779 -15.136   3.795   3.793   0.857   0.744   0.589   0.587
   35  4250  0.50  0.00  0.00  0.00  0.00 -12.038 -12.018 -13.746 -14.843 -15.150   3.607   3.606   0.807   0.720   0.551   0.550
   36  4250  1.00  0.00  0.00  0.00  0.00 -12.251 -12.231 -13.859 -14.888 -15.157   3.438   3.437   0.769   0.689   0.521   0.519
   37  4250  1.50  0.00  0.00  0.00  0.00 -12.420 -12.399 -13.950 -14.918 -15.159   3.300   3.299   0.741   0.656   0.505   0.504
   38  4250  2.00  0.00  0.00  0.00  0.00 -12.539 -12.518 -14.019 -14.938 -15.157   3.201   3.199   0.719   0.628   0.503   0.502
   39  4250  2.50  0.00  0.00  0.00  0.00 -12.610 -12.589 -14.065 -14.949 -15.153   3.141   3.140   0.704   0.609   0.514   0.512
   40  4250  3.00  0.00  0.00  0.00  0.00 -12.636 -12.616 -14.089 -14.952 -15.145   3.118   3.116   0.693   0.599   0.532   0.531
