        Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H)
     1  3500  0.00  0.00  2.00  1.25  0.00  -9.115 -11.714 -12.892 -22.077  -2.213   2.254   1.782   1.766
     2  3500  0.50  0.00  2.00  1.25  0.00  -9.460 -11.795 -12.847 -22.077  -2.258   1.984   1.655   1.639
     3  3500  1.00  0.00  2.00  1.25  0.00  -9.799 -11.879 -12.811 -22.077  -2.294   1.722   1.535   1.519
     4  3500  1.50  0.00  2.00  1.25  0.00 -10.130 -11.980 -12.797 -22.077  -2.308   1.484   1.421   1.405
     5  3500  2.00  0.00  2.00  1.25  0.00 -10.449 -12.098 -12.810 -22.077  -2.295   1.277   1.315   1.299
     6  3500  2.50  0.00  2.00  1.25  0.00 -10.741 -12.235 -12.857 -22.077  -2.248   1.117   1.225   1.209
     7  3500  3.00  0.00  2.00  1.25  0.00 -10.999 -12.383 -12.936 -22.077  -2.169   1.004   1.156   1.140
     8  3500  3.50  0.00  2.00  1.25  0.00 -11.211 -12.530 -13.053 -22.077  -2.052   0.938   1.126   1.110
     9  3500  4.00  0.00  2.00  1.25  0.00 -11.381 -12.671 -13.209 -22.077  -1.895   0.909   1.142   1.126
    10  3500  4.50  0.00  2.00  1.25  0.00 -11.480 -12.773 -13.358 -22.077  -1.747   0.914   1.188   1.172
    11  3500  5.00  0.00  2.00  1.25  0.00 -11.460 -12.801 -13.452 -22.077  -1.652   0.965   1.255   1.239
    12  3750  0.00  0.00  2.00  1.25  0.00  -9.901 -12.749 -13.931 -22.376  -1.473   2.509   1.786   1.770
    13  3750  0.50  0.00  2.00  1.25  0.00 -10.218 -12.818 -13.917 -22.376  -1.487   2.256   1.703   1.687
    14  3750  1.00  0.00  2.00  1.25  0.00 -10.514 -12.876 -13.894 -22.376  -1.510   2.013   1.622   1.606
    15  3750  1.50  0.00  2.00  1.25  0.00 -10.789 -12.933 -13.870 -22.376  -1.534   1.790   1.540   1.524
    16  3750  2.00  0.00  2.00  1.25  0.00 -11.049 -12.995 -13.849 -22.376  -1.555   1.587   1.458   1.442
