        Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
     1  3500  0.00  0.00  0.00  1.25  0.00  -8.647  -8.632 -11.122 -12.319 -13.004   4.474   4.467   1.185   0.442   1.219   1.212
     2  3500  0.50  0.00  0.00  1.25  0.00  -9.006  -8.992 -11.380 -12.350 -12.976   4.146   4.138   1.125   0.275   1.344   1.337
     3  3500  1.00  0.00  0.00  1.25  0.00  -9.366  -9.352 -11.615 -12.376 -12.954   3.812   3.805   1.078   0.113   1.430   1.422
     4  3500  1.50  0.00  0.00  1.25  0.00  -9.722  -9.707 -11.837 -12.416 -12.951   3.497   3.489   1.035  -0.027   1.478   1.471
     5  3500  2.00  0.00  0.00  1.25  0.00 -10.064 -10.050 -12.045 -12.476 -12.973   3.214   3.206   0.997  -0.137   1.491   1.484
     6  3500  2.50  0.00  0.00  1.25  0.00 -10.374 -10.359 -12.236 -12.564 -13.027   2.993   2.986   0.963  -0.206   1.476   1.469
     7  3500  3.00  0.00  0.00  1.25  0.00 -10.640 -10.624 -12.405 -12.676 -13.112   2.838   2.832   0.936  -0.237   1.438   1.431
     8  3500  3.50  0.00  0.00  1.25  0.00 -10.857 -10.841 -12.539 -12.806 -13.233   2.751   2.745   0.927  -0.231   1.357   1.351
     9  3500  4.00  0.00  0.00  1.25  0.00 -11.028 -11.011 -12.626 -12.939 -13.381   2.714   2.708   0.941  -0.198   1.226   1.221
    10  3500  4.50  0.00  0.00  1.25  0.00 -11.129 -11.112 -12.652 -13.049 -13.508   2.723   2.718   0.959  -0.133   1.069   1.064
    11  3500  5.00  0.00  0.00  1.25  0.00 -11.114 -11.096 -12.599 -13.108 -13.583   2.796   2.791   0.975  -0.038   0.919   0.915
    12  3750  0.00  0.00  0.00  1.25  0.00  -9.580  -9.565 -11.950 -13.419 -13.994   4.641   4.634   1.075   0.823   0.843   0.836
    13  3750  0.50  0.00  0.00  1.25  0.00  -9.902  -9.886 -12.149 -13.464 -13.990   4.364   4.358   1.026   0.717   0.875   0.869
    14  3750  1.00  0.00  0.00  1.25  0.00 -10.204 -10.188 -12.326 -13.488 -13.977   4.086   4.080   0.989   0.602   0.902   0.895
    15  3750  1.50  0.00  0.00  1.25  0.00 -10.487 -10.472 -12.488 -13.506 -13.962   3.821   3.814   0.955   0.492   0.924   0.918
    16  3750  2.00  0.00  0.00  1.25  0.00 -10.759 -10.743 -12.640 -13.525 -13.949   3.568   3.562   0.924   0.390   0.939   0.933
    17  3750  2.50  0.00  0.00  1.25  0.00 -10.998 -10.982 -12.777 -13.547 -13.943   3.351   3.346   0.896   0.304   0.950   0.944
    18  3750  3.00  0.00  0.00  1.25  0.00 -11.211 -11.194 -12.904 -13.582 -13.952   3.173   3.168   0.870   0.237   0.957   0.952
    19  3750  3.50  0.00  0.00  1.25  0.00 -11.379 -11.362 -13.003 -13.624 -13.979   3.047   3.042   0.855   0.195   0.945   0.940
    20  3750  4.00  0.00  0.00  1.25  0.00 -11.499 -11.482 -13.065 -13.665 -14.030   2.968   2.964   0.864   0.166   0.907   0.902
    21  3750  4.50  0.00  0.00  1.25  0.00 -11.637 -11.619 -13.113 -13.719 -14.101   2.884   2.879   0.882   0.152   0.812   0.808
    22  3750  5.00  0.00  0.00  1.25  0.00 -11.716 -11.698 -13.125 -13.767 -14.161   2.852   2.848   0.895   0.175   0.710   0.706
    23  4000  0.00  0.00  0.00  1.25  0.00 -10.759 -10.742 -12.817 -14.191 -14.660   4.233   4.229   0.970   0.833   0.626   0.621
    24  4000  0.50  0.00  0.00  1.25  0.00 -11.042 -11.025 -12.976 -14.243 -14.665   4.003   3.998   0.922   0.774   0.608   0.603
    25  4000  1.00  0.00  0.00  1.25  0.00 -11.292 -11.275 -13.107 -14.277 -14.663   3.786   3.782   0.886   0.712   0.588   0.583
    26  4000  1.50  0.00  0.00  1.25  0.00 -11.510 -11.493 -13.219 -14.299 -14.656   3.591   3.587   0.857   0.653   0.570   0.566
    27  4000  2.00  0.00  0.00  1.25  0.00 -11.703 -11.685 -13.322 -14.319 -14.648   3.417   3.413   0.829   0.596   0.564   0.560
    28  4000  2.50  0.00  0.00  1.25  0.00 -11.859 -11.840 -13.407 -14.331 -14.638   3.275   3.271   0.807   0.547   0.565   0.562
    29  4000  3.00  0.00  0.00  1.25  0.00 -11.973 -11.955 -13.477 -14.342 -14.630   3.171   3.168   0.788   0.506   0.581   0.578
    30  4000  3.50  0.00  0.00  1.25  0.00 -12.054 -12.035 -13.531 -14.349 -14.624   3.097   3.094   0.775   0.472   0.601   0.598
    31  4000  4.00  0.00  0.00  1.25  0.00 -12.101 -12.082 -13.564 -14.353 -14.628   3.054   3.051   0.776   0.442   0.616   0.613
    32  4000  4.50  0.00  0.00  1.25  0.00 -12.161 -12.142 -13.581 -14.350 -14.647   2.991   2.988   0.797   0.401   0.593   0.590
    33  4000  5.00  0.00  0.00  1.25  0.00 -12.247 -12.228 -13.602 -14.357 -14.675   2.912   2.909   0.818   0.366   0.542   0.539
    34  4250  0.00  0.00  0.00  1.25  0.00 -11.923 -11.904 -13.614 -14.797 -15.183   3.676   3.673   0.886   0.726   0.450   0.447
    35  4250  0.50  0.00  0.00  1.25  0.00 -12.165 -12.146 -13.749 -14.850 -15.188   3.487   3.484   0.838   0.691   0.425   0.422
    36  4250  1.00  0.00  0.00  1.25  0.00 -12.373 -12.354 -13.856 -14.884 -15.187   3.312   3.310   0.803   0.654   0.396   0.394
    37  4250  1.50  0.00  0.00  1.25  0.00 -12.559 -12.539 -13.946 -14.908 -15.182   3.150   3.148   0.774   0.617   0.367   0.365
    38  4250  2.00  0.00  0.00  1.25  0.00 -12.714 -12.693 -14.024 -14.930 -15.177   3.018   3.017   0.746   0.589   0.346   0.345
    39  4250  2.50  0.00  0.00  1.25  0.00 -12.832 -12.811 -14.087 -14.948 -15.171   2.919   2.917   0.722   0.568   0.336   0.335
    40  4250  3.00  0.00  0.00  1.25  0.00 -12.895 -12.874 -14.128 -14.960 -15.165   2.867   2.866   0.705   0.556   0.343   0.342
    41  4250  3.50  0.00  0.00  1.25  0.00 -12.914 -12.893 -14.150 -14.965 -15.158   2.853   2.852   0.693   0.551   0.363   0.362
    42  4250  4.00  0.00  0.00  1.25  0.00 -12.890 -12.869 -14.150 -14.962 -15.150   2.874   2.872   0.688   0.553   0.390   0.388
    43  4250  4.50  0.00  0.00  1.25  0.00 -12.857 -12.837 -14.135 -14.949 -15.145   2.893   2.892   0.697   0.546   0.407   0.406
    44  4250  5.00  0.00  0.00  1.25  0.00 -12.853 -12.833 -14.117 -14.922 -15.145   2.871   2.869   0.723   0.511   0.401   0.400
    45  4500  0.00  0.00  0.00  1.25  0.00 -12.871 -12.852 -14.312 -15.310 -15.617   3.241   3.238   0.807   0.620   0.386   0.383
    46  4500  0.50  0.00  0.00  1.25  0.00 -13.070 -13.051 -14.423 -15.355 -15.622   3.087   3.085   0.766   0.595   0.363   0.361
    47  4500  1.00  0.00  0.00  1.25  0.00 -13.238 -13.218 -14.507 -15.385 -15.620   2.949   2.947   0.735   0.572   0.333   0.331
    48  4500  1.50  0.00  0.00  1.25  0.00 -13.387 -13.366 -14.576 -15.406 -15.615   2.821   2.820   0.709   0.550   0.301   0.300
    49  4500  2.00  0.00  0.00  1.25  0.00 -13.514 -13.493 -14.635 -15.424 -15.610   2.712   2.711   0.685   0.533   0.273   0.272
    50  4500  2.50  0.00  0.00  1.25  0.00 -13.616 -13.594 -14.687 -15.443 -15.604   2.629   2.628   0.661   0.523   0.258   0.258
    51  4500  3.00  0.00  0.00  1.25  0.00 -13.678 -13.657 -14.725 -15.458 -15.599   2.582   2.581   0.642   0.520   0.255   0.255
    52  4500  3.50  0.00  0.00  1.25  0.00 -13.696 -13.674 -14.745 -15.468 -15.595   2.575   2.575   0.627   0.526   0.267   0.267
    53  4500  4.00  0.00  0.00  1.25  0.00 -13.670 -13.648 -14.745 -15.471 -15.590   2.603   2.603   0.618   0.537   0.290   0.290
    54  4500  4.50  0.00  0.00  1.25  0.00 -13.611 -13.589 -14.726 -15.467 -15.583   2.658   2.658   0.616   0.554   0.315   0.315
    55  4500  5.00  0.00  0.00  1.25  0.00 -13.539 -13.517 -14.691 -15.454 -15.576   2.717   2.717   0.622   0.570   0.331   0.331
    56  4750  0.00  0.00  0.00  1.25  0.00 -13.643 -13.624 -14.955 -15.770 -15.991   2.930   2.926   0.720   0.524   0.439   0.435
    57  4750  0.50  0.00  0.00  1.25  0.00 -13.824 -13.805 -15.044 -15.804 -15.993   2.782   2.779   0.689   0.500   0.402   0.399
    58  4750  1.00  0.00  0.00  1.25  0.00 -13.974 -13.954 -15.109 -15.826 -15.991   2.654   2.652   0.665   0.481   0.360   0.358
    59  4750  1.50  0.00  0.00  1.25  0.00 -14.098 -14.078 -15.157 -15.841 -15.987   2.545   2.543   0.646   0.466   0.318   0.316
    60  4750  2.00  0.00  0.00  1.25  0.00 -14.203 -14.183 -15.196 -15.853 -15.981   2.452   2.450   0.628   0.457   0.278   0.277
    61  4750  2.50  0.00  0.00  1.25  0.00 -14.290 -14.269 -15.231 -15.867 -15.976   2.379   2.378   0.609   0.455   0.248   0.247
    62  4750  3.00  0.00  0.00  1.25  0.00 -14.350 -14.328 -15.259 -15.881 -15.972   2.333   2.333   0.591   0.460   0.229   0.229
    63  4750  3.50  0.00  0.00  1.25  0.00 -14.375 -14.353 -15.277 -15.894 -15.969   2.320   2.321   0.575   0.471   0.226   0.226
