
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
    1  3500  0.00  0.20  2.00  1.25  0.00 -12.381 -12.982 -13.891   1.152   2.781   1.629
    2  3500  0.50  0.20  2.00  1.25  0.00 -12.252 -12.876 -13.845   1.175   2.864   1.688
    3  3500  1.00  0.20  2.00  1.25  0.00 -12.152 -12.797 -13.806   1.196   2.925   1.728
    4  3500  1.50  0.20  2.00  1.25  0.00 -12.079 -12.742 -13.778   1.214   2.969   1.754
    5  3500  2.00  0.20  2.00  1.25  0.00 -12.045 -12.717 -13.767   1.223   2.993   1.769
    6  3500  2.50  0.20  2.00  1.25  0.00 -12.059 -12.729 -13.785   1.221   2.997   1.775
    7  3500  3.00  0.20  2.00  1.25  0.00 -12.137 -12.789 -13.840   1.203   2.974   1.770
    8  3500  3.50  0.20  2.00  1.25  0.00 -12.287 -12.901 -13.937   1.165   2.921   1.755
    9  3500  4.00  0.20  2.00  1.25  0.00 -12.506 -13.070 -14.066   1.115   2.831   1.715
   10  3500  4.50  0.20  2.00  1.25  0.00 -12.762 -13.273 -14.207   1.062   2.716   1.653
   11  3500  5.00  0.20  2.00  1.25  0.00 -12.988 -13.463 -14.329   1.026   2.612   1.585
   12  3750  0.00  0.20  2.00  1.25  0.00 -13.733 -14.141 -14.487   0.958   2.024   1.065
   13  3750  0.50  0.20  2.00  1.25  0.00 -13.676 -14.074 -14.476   0.949   2.071   1.121
   14  3750  1.00  0.20  2.00  1.25  0.00 -13.619 -14.009 -14.467   0.941   2.119   1.177
   15  3750  1.50  0.20  2.00  1.25  0.00 -13.564 -13.947 -14.457   0.934   2.165   1.230
   16  3750  2.00  0.20  2.00  1.25  0.00 -13.509 -13.888 -14.448   0.930   2.210   1.279
   17  3750  2.50  0.20  2.00  1.25  0.00 -13.457 -13.835 -14.440   0.929   2.254   1.324
   18  3750  3.00  0.20  2.00  1.25  0.00 -13.407 -13.790 -14.437   0.934   2.301   1.366
