
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.20  2.00  1.25  0.00  -8.484  -8.471 -10.935 -11.668 -12.458   3.986   3.977   1.290  -0.128   1.659   1.650
    2  3500  0.50  0.20  2.00  1.25  0.00  -8.781  -8.768 -11.152 -11.572 -12.323   3.593   3.584   1.251  -0.401   1.892   1.883
    3  3500  1.00  0.20  2.00  1.25  0.00  -9.091  -9.079 -11.373 -11.494 -12.212   3.205   3.196   1.217  -0.667   2.103   2.093
    4  3500  1.50  0.20  2.00  1.25  0.00  -9.415  -9.403 -11.600 -11.438 -12.128   2.824   2.815   1.190  -0.924   2.289   2.280
    5  3500  2.00  0.20  2.00  1.25  0.00  -9.755  -9.742 -11.836 -11.421 -12.086   2.468   2.458   1.165  -1.151   2.439   2.429
    6  3500  2.50  0.20  2.00  1.25  0.00 -10.109 -10.097 -12.078 -11.460 -12.098   2.153   2.144   1.138  -1.326   2.528   2.519
    7  3500  3.00  0.20  2.00  1.25  0.00 -10.456 -10.444 -12.310 -11.578 -12.183   1.924   1.915   1.105  -1.408   2.528   2.519
    8  3500  3.50  0.20  2.00  1.25  0.00 -10.776 -10.763 -12.528 -11.785 -12.350   1.811   1.802   1.066  -1.380   2.437   2.428
    9  3500  4.00  0.20  2.00  1.25  0.00 -11.054 -11.041 -12.722 -12.061 -12.591   1.808   1.799   1.030  -1.262   2.270   2.262
   10  3500  4.50  0.20  2.00  1.25  0.00 -11.303 -11.289 -12.880 -12.366 -12.868   1.864   1.856   1.002  -1.088   2.033   2.025
   11  3500  5.00  0.20  2.00  1.25  0.00 -11.477 -11.462 -12.982 -12.626 -13.110   1.951   1.944   0.984  -0.911   1.802   1.795
   12  3750  0.00  0.20  2.00  1.25  0.00  -9.232  -9.219 -11.645 -13.069 -13.784   4.639   4.631   1.214   0.639   0.931   0.923
   13  3750  0.50  0.20  2.00  1.25  0.00  -9.495  -9.482 -11.843 -13.069 -13.737   4.376   4.367   1.169   0.486   1.064   1.056
   14  3750  1.00  0.20  2.00  1.25  0.00  -9.762  -9.749 -12.045 -13.068 -13.690   4.108   4.099   1.121   0.331   1.202   1.193
   15  3750  1.50  0.20  2.00  1.25  0.00 -10.046 -10.033 -12.260 -13.071 -13.642   3.827   3.818   1.071   0.169   1.345   1.337
   16  3750  2.00  0.20  2.00  1.25  0.00 -10.344 -10.331 -12.471 -13.068 -13.593   3.526   3.517   1.025   0.000   1.473   1.464
   17  3750  2.50  0.20  2.00  1.25  0.00 -10.654 -10.641 -12.678 -13.059 -13.544   3.207   3.198   0.985  -0.175   1.585   1.575
   18  3750  3.00  0.20  2.00  1.25  0.00 -10.949 -10.937 -12.854 -13.040 -13.497   2.892   2.883   0.957  -0.343   1.661   1.652
   19  3750  3.50  0.20  2.00  1.25  0.00 -11.212 -11.199 -13.008 -13.037 -13.473   2.626   2.617   0.936  -0.478   1.708   1.699
   20  3750  4.00  0.20  2.00  1.25  0.00 -11.451 -11.437 -13.142 -13.074 -13.493   2.425   2.416   0.920  -0.559   1.702   1.693
   21  3750  4.50  0.20  2.00  1.25  0.00 -11.659 -11.645 -13.256 -13.173 -13.582   2.316   2.308   0.909  -0.563   1.621   1.613
   22  3750  5.00  0.20  2.00  1.25  0.00 -11.839 -11.824 -13.341 -13.323 -13.726   2.286   2.279   0.903  -0.492   1.463   1.456
   23  4000  0.00  0.20  2.00  1.25  0.00 -10.137 -10.124 -12.426 -13.945 -14.550   4.610   4.602   1.105   0.843   0.712   0.704
   24  4000  0.50  0.20  2.00  1.25  0.00 -10.367 -10.353 -12.579 -13.968 -14.537   4.403   4.395   1.069   0.749   0.766   0.757
   25  4000  1.00  0.20  2.00  1.25  0.00 -10.603 -10.589 -12.735 -13.993 -14.525   4.192   4.184   1.031   0.656   0.816   0.808
   26  4000  1.50  0.20  2.00  1.25  0.00 -10.857 -10.844 -12.913 -14.035 -14.517   3.980   3.971   0.982   0.569   0.875   0.866
   27  4000  2.00  0.20  2.00  1.25  0.00 -11.117 -11.104 -13.087 -14.071 -14.506   3.756   3.747   0.935   0.478   0.927   0.918
   28  4000  2.50  0.20  2.00  1.25  0.00 -11.370 -11.357 -13.256 -14.098 -14.490   3.530   3.521   0.892   0.379   0.986   0.977
   29  4000  3.00  0.20  2.00  1.25  0.00 -11.598 -11.585 -13.398 -14.101 -14.462   3.305   3.296   0.860   0.272   1.039   1.030
   30  4000  3.50  0.20  2.00  1.25  0.00 -11.793 -11.779 -13.514 -14.087 -14.426   3.097   3.089   0.839   0.164   1.090   1.081
   31  4000  4.00  0.20  2.00  1.25  0.00 -11.958 -11.944 -13.608 -14.070 -14.395   2.914   2.906   0.824   0.067   1.129   1.121
   32  4000  4.50  0.20  2.00  1.25  0.00 -12.107 -12.093 -13.685 -14.064 -14.382   2.758   2.751   0.818  -0.011   1.141   1.133
   33  4000  5.00  0.20  2.00  1.25  0.00 -12.247 -12.232 -13.739 -14.090 -14.412   2.645   2.638   0.822  -0.041   1.081   1.074
   34  4250  0.00  0.20  2.00  1.25  0.00 -11.341 -11.325 -13.255 -14.630 -15.113   4.091   4.084   0.983   0.820   0.482   0.475
   35  4250  0.50  0.20  2.00  1.25  0.00 -11.514 -11.499 -13.376 -14.650 -15.104   3.937   3.930   0.955   0.748   0.530   0.523
   36  4250  1.00  0.20  2.00  1.25  0.00 -11.702 -11.687 -13.496 -14.672 -15.098   3.772   3.765   0.925   0.680   0.560   0.553
   37  4250  1.50  0.20  2.00  1.25  0.00 -11.906 -11.891 -13.628 -14.713 -15.098   3.609   3.602   0.886   0.627   0.580   0.573
   38  4250  2.00  0.20  2.00  1.25  0.00 -12.115 -12.100 -13.765 -14.759 -15.102   3.446   3.439   0.843   0.580   0.597   0.590
   39  4250  2.50  0.20  2.00  1.25  0.00 -12.289 -12.274 -13.883 -14.799 -15.106   3.312   3.305   0.806   0.539   0.620   0.613
   40  4250  3.00  0.20  2.00  1.25  0.00 -12.435 -12.420 -13.986 -14.824 -15.101   3.191   3.184   0.777   0.490   0.655   0.648
   41  4250  3.50  0.20  2.00  1.25  0.00 -12.541 -12.526 -14.060 -14.826 -15.085   3.087   3.080   0.758   0.437   0.695   0.688
   42  4250  4.00  0.20  2.00  1.25  0.00 -12.619 -12.604 -14.117 -14.818 -15.064   3.000   2.994   0.746   0.384   0.738   0.732
   43  4250  4.50  0.20  2.00  1.25  0.00 -12.688 -12.672 -14.160 -14.801 -15.041   2.915   2.909   0.740   0.330   0.774   0.767
   44  4250  5.00  0.20  2.00  1.25  0.00 -12.759 -12.744 -14.192 -14.785 -15.026   2.828   2.822   0.741   0.282   0.780   0.774
   45  4500  0.00  0.20  2.00  1.25  0.00 -12.406 -12.389 -14.000 -15.200 -15.575   3.596   3.591   0.875   0.755   0.335   0.330
   46  4500  0.50  0.20  2.00  1.25  0.00 -12.542 -12.525 -14.103 -15.216 -15.566   3.476   3.471   0.850   0.692   0.390   0.384
   47  4500  1.00  0.20  2.00  1.25  0.00 -12.687 -12.670 -14.199 -15.231 -15.558   3.346   3.341   0.827   0.634   0.422   0.417
   48  4500  1.50  0.20  2.00  1.25  0.00 -12.850 -12.833 -14.299 -15.255 -15.554   3.206   3.201   0.799   0.586   0.435   0.430
   49  4500  2.00  0.20  2.00  1.25  0.00 -13.022 -13.005 -14.409 -15.294 -15.557   3.074   3.069   0.763   0.551   0.444   0.440
   50  4500  2.50  0.20  2.00  1.25  0.00 -13.165 -13.147 -14.504 -15.332 -15.562   2.970   2.965   0.730   0.527   0.453   0.448
   51  4500  3.00  0.20  2.00  1.25  0.00 -13.262 -13.245 -14.580 -15.365 -15.567   2.904   2.899   0.702   0.511   0.475   0.470
   52  4500  3.50  0.20  2.00  1.25  0.00 -13.322 -13.306 -14.632 -15.381 -15.565   2.860   2.855   0.684   0.494   0.502   0.497
   53  4500  4.00  0.20  2.00  1.25  0.00 -13.349 -13.332 -14.662 -15.384 -15.557   2.837   2.832   0.673   0.477   0.534   0.529
   54  4500  4.50  0.20  2.00  1.25  0.00 -13.356 -13.340 -14.679 -15.379 -15.545   2.825   2.819   0.666   0.462   0.565   0.560
   55  4500  5.00  0.20  2.00  1.25  0.00 -13.362 -13.345 -14.685 -15.366 -15.530   2.806   2.801   0.664   0.446   0.584   0.579
   56  4750  0.00  0.20  2.00  1.25  0.00 -13.264 -13.247 -14.676 -15.697 -15.970   3.235   3.231   0.773   0.677   0.333   0.328
   57  4750  0.50  0.20  2.00  1.25  0.00 -13.395 -13.377 -14.769 -15.712 -15.963   3.119   3.115   0.751   0.622   0.372   0.367
   58  4750  1.00  0.20  2.00  1.25  0.00 -13.524 -13.506 -14.848 -15.722 -15.955   3.000   2.996   0.733   0.570   0.393   0.389
   59  4750  1.50  0.20  2.00  1.25  0.00 -13.661 -13.643 -14.925 -15.734 -15.948   2.876   2.872   0.714   0.525   0.396   0.392
   60  4750  2.00  0.20  2.00  1.25  0.00 -13.805 -13.786 -15.005 -15.757 -15.946   2.755   2.751   0.688   0.493   0.390   0.386
   61  4750  2.50  0.20  2.00  1.25  0.00 -13.934 -13.916 -15.081 -15.786 -15.947   2.653   2.650   0.661   0.472   0.383   0.380
   62  4750  3.00  0.20  2.00  1.25  0.00 -14.026 -14.008 -15.141 -15.813 -15.951   2.588   2.585   0.638   0.464   0.384   0.380
   63  4750  3.50  0.20  2.00  1.25  0.00 -14.084 -14.066 -15.185 -15.834 -15.953   2.552   2.549   0.619   0.460   0.393   0.389
   64  4750  4.00  0.20  2.00  1.25  0.00 -14.105 -14.087 -15.208 -15.846 -15.953   2.543   2.539   0.606   0.461   0.407   0.403
   65  4750  4.50  0.20  2.00  1.25  0.00 -14.095 -14.077 -15.215 -15.851 -15.949   2.558   2.554   0.598   0.468   0.425   0.421
   66  4750  5.00  0.20  2.00  1.25  0.00 -14.065 -14.047 -15.208 -15.850 -15.943   2.588   2.583   0.593   0.478   0.442   0.438
   67  5000  0.00  0.20  2.00  1.25  0.00 -13.968 -13.951 -15.297 -16.143 -16.318   2.976   2.972   0.675   0.599   0.426   0.421
   68  5000  0.50  0.20  2.00  1.25  0.00 -14.111 -14.093 -15.380 -16.154 -16.310   2.845   2.841   0.657   0.546   0.438   0.434
   69  5000  1.00  0.20  2.00  1.25  0.00 -14.241 -14.223 -15.448 -16.160 -16.302   2.721   2.717   0.642   0.499   0.436   0.432
   70  5000  1.50  0.20  2.00  1.25  0.00 -14.367 -14.349 -15.506 -16.165 -16.294   2.600   2.596   0.629   0.459   0.422   0.418
   71  5000  2.00  0.20  2.00  1.25  0.00 -14.491 -14.472 -15.562 -16.175 -16.288   2.486   2.482   0.614   0.429   0.399   0.396
   72  5000  2.50  0.20  2.00  1.25  0.00 -14.605 -14.585 -15.613 -16.190 -16.285   2.387   2.384   0.596   0.410   0.375   0.372
   73  5000  3.00  0.20  2.00  1.25  0.00 -14.695 -14.675 -15.656 -16.207 -16.285   2.315   2.312   0.578   0.402   0.353   0.350
   74  5000  3.50  0.20  2.00  1.25  0.00 -14.757 -14.737 -15.689 -16.224 -16.286   2.269   2.266   0.562   0.402   0.339   0.337
   75  5000  4.00  0.20  2.00  1.25  0.00 -14.792 -14.772 -15.710 -16.237 -16.287   2.248   2.245   0.549   0.408   0.332   0.329
   76  5000  4.50  0.20  2.00  1.25  0.00 -14.800 -14.781 -15.718 -16.248 -16.287   2.250   2.247   0.539   0.419   0.331   0.328
   77  5000  5.00  0.20  2.00  1.25  0.00 -14.781 -14.761 -15.714 -16.255 -16.286   2.276   2.273   0.531   0.438   0.335   0.333
   78  5250  0.00  0.20  2.00  1.25  0.00 -14.547 -14.529 -15.863 -16.547 -16.631   2.802   2.797   0.584   0.528   0.576   0.571
   79  5250  0.50  0.20  2.00  1.25  0.00 -14.692 -14.674 -15.930 -16.551 -16.621   2.661   2.656   0.570   0.480   0.559   0.554
   80  5250  1.00  0.20  2.00  1.25  0.00 -14.827 -14.809 -15.984 -16.552 -16.611   2.526   2.523   0.559   0.437   0.532   0.528
   81  5250  1.50  0.20  2.00  1.25  0.00 -14.952 -14.934 -16.029 -16.551 -16.601   2.401   2.397   0.551   0.400   0.497   0.493
   82  5250  2.00  0.20  2.00  1.25  0.00 -15.068 -15.049 -16.067 -16.551 -16.593   2.285   2.282   0.542   0.371   0.456   0.453
   83  5250  2.50  0.20  2.00  1.25  0.00 -15.172 -15.152 -16.099 -16.555 -16.587   2.185   2.183   0.532   0.353   0.414   0.411
   84  5250  3.00  0.20  2.00  1.25  0.00 -15.257 -15.238 -16.125 -16.562 -16.583   2.107   2.104   0.521   0.344   0.373   0.371
   85  5250  3.50  0.20  2.00  1.25  0.00 -15.321 -15.301 -16.144 -16.571 -16.581   2.052   2.050   0.511   0.345   0.338   0.336
   86  5250  4.00  0.20  2.00  1.25  0.00 -15.364 -15.344 -16.156 -16.581 -16.581   2.019   2.016   0.500   0.353   0.310   0.308
   87  5250  4.50  0.20  2.00  1.25  0.00 -15.386 -15.366 -16.163 -16.591 -16.581   2.006   2.004   0.490   0.367   0.290   0.288
   88  5250  5.00  0.20  2.00  1.25  0.00 -15.385 -15.365 -16.161 -16.601 -16.582   2.017   2.015   0.481   0.387   0.279   0.277
   89  5500  0.00  0.20  2.00  1.25  0.00 -15.035 -15.017 -16.381 -16.917 -16.916   2.684   2.679   0.499   0.465   0.753   0.749
   90  5500  0.50  0.20  2.00  1.25  0.00 -15.171 -15.153 -16.424 -16.911 -16.902   2.542   2.538   0.491   0.424   0.708   0.704
   91  5500  1.00  0.20  2.00  1.25  0.00 -15.305 -15.286 -16.462 -16.905 -16.890   2.403   2.399   0.485   0.387   0.656   0.653
   92  5500  1.50  0.20  2.00  1.25  0.00 -15.431 -15.412 -16.493 -16.899 -16.879   2.270   2.266   0.480   0.354   0.599   0.596
   93  5500  2.00  0.20  2.00  1.25  0.00 -15.546 -15.527 -16.519 -16.892 -16.868   2.148   2.145   0.476   0.327   0.540   0.538
   94  5500  2.50  0.20  2.00  1.25  0.00 -15.649 -15.629 -16.538 -16.888 -16.859   2.042   2.039   0.471   0.308   0.481   0.478
   95  5500  3.00  0.20  2.00  1.25  0.00 -15.735 -15.715 -16.551 -16.886 -16.852   1.953   1.951   0.466   0.298   0.423   0.421
   96  5500  3.50  0.20  2.00  1.25  0.00 -15.803 -15.783 -16.558 -16.887 -16.848   1.886   1.884   0.461   0.297   0.369   0.367
   97  5500  4.00  0.20  2.00  1.25  0.00 -15.853 -15.833 -16.562 -16.891 -16.845   1.840   1.838   0.454   0.304   0.321   0.320
   98  5500  4.50  0.20  2.00  1.25  0.00 -15.885 -15.864 -16.561 -16.897 -16.844   1.814   1.813   0.447   0.318   0.283   0.281
   99  5500  5.00  0.20  2.00  1.25  0.00 -15.897 -15.876 -16.557 -16.906 -16.844   1.811   1.810   0.439   0.339   0.254   0.253
  100  5750  0.00  0.20  2.00  1.25  0.00 -15.456 -15.437 -16.860 -17.256 -17.174   2.602   2.599   0.418   0.407   0.950   0.946
  101  5750  0.50  0.20  2.00  1.25  0.00 -15.575 -15.556 -16.873 -17.240 -17.159   2.468   2.464   0.419   0.377   0.874   0.870
  102  5750  1.00  0.20  2.00  1.25  0.00 -15.702 -15.683 -16.892 -17.227 -17.145   2.328   2.324   0.418   0.346   0.798   0.795
  103  5750  1.50  0.20  2.00  1.25  0.00 -15.826 -15.807 -16.909 -17.215 -17.132   2.191   2.188   0.417   0.317   0.719   0.717
  104  5750  2.00  0.20  2.00  1.25  0.00 -15.942 -15.923 -16.922 -17.203 -17.119   2.063   2.060   0.417   0.293   0.641   0.638
  105  5750  2.50  0.20  2.00  1.25  0.00 -16.047 -16.027 -16.930 -17.192 -17.108   1.947   1.945   0.416   0.275   0.563   0.560
  106  5750  3.00  0.20  2.00  1.25  0.00 -16.138 -16.118 -16.934 -17.183 -17.098   1.847   1.845   0.415   0.263   0.488   0.486
  107  5750  3.50  0.20  2.00  1.25  0.00 -16.213 -16.193 -16.933 -17.178 -17.091   1.766   1.764   0.413   0.260   0.417   0.415
  108  5750  4.00  0.20  2.00  1.25  0.00 -16.273 -16.252 -16.929 -17.175 -17.086   1.705   1.703   0.411   0.264   0.353   0.351
  109  5750  4.50  0.20  2.00  1.25  0.00 -16.314 -16.294 -16.922 -17.176 -17.083   1.664   1.663   0.406   0.276   0.297   0.295
  110  5750  5.00  0.20  2.00  1.25  0.00 -16.337 -16.317 -16.914 -17.181 -17.082   1.646   1.644   0.401   0.296   0.251   0.250
  111  6000  0.00  0.20  2.00  1.25  0.00 -15.824 -15.805 -17.310 -17.568 -17.406   2.547   2.544   0.338   0.349   1.170   1.167
