
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.20  2.00  1.25  0.00  -9.070 -11.644 -12.797 -22.077  -2.307   2.228   1.757   1.741
    2  3500  0.50  0.20  2.00  1.25  0.00  -9.394 -11.694 -12.719 -22.077  -2.385   1.947   1.629   1.613
    3  3500  1.00  0.20  2.00  1.25  0.00  -9.718 -11.754 -12.652 -22.077  -2.452   1.674   1.502   1.486
    4  3500  1.50  0.20  2.00  1.25  0.00 -10.041 -11.833 -12.611 -22.077  -2.494   1.424   1.381   1.365
    5  3500  2.00  0.20  2.00  1.25  0.00 -10.358 -11.939 -12.601 -22.077  -2.503   1.206   1.266   1.250
    6  3500  2.50  0.20  2.00  1.25  0.00 -10.653 -12.067 -12.630 -22.077  -2.474   1.034   1.166   1.150
    7  3500  3.00  0.20  2.00  1.25  0.00 -10.924 -12.221 -12.705 -22.077  -2.400   0.911   1.088   1.072
    8  3500  3.50  0.20  2.00  1.25  0.00 -11.158 -12.387 -12.827 -22.077  -2.278   0.842   1.043   1.027
    9  3500  4.00  0.20  2.00  1.25  0.00 -11.346 -12.550 -12.993 -22.077  -2.112   0.817   1.046   1.030
   10  3500  4.50  0.20  2.00  1.25  0.00 -11.484 -12.691 -13.179 -22.077  -1.925   0.823   1.091   1.075
   11  3500  5.00  0.20  2.00  1.25  0.00 -11.511 -12.763 -13.324 -22.077  -1.781   0.871   1.164   1.148
   12  3750  0.00  0.20  2.00  1.25  0.00  -9.803 -12.710 -13.909 -22.376  -1.495   2.568   1.803   1.787
   13  3750  0.50  0.20  2.00  1.25  0.00 -10.109 -12.761 -13.880 -22.376  -1.524   2.309   1.722   1.706
   14  3750  1.00  0.20  2.00  1.25  0.00 -10.402 -12.812 -13.846 -22.376  -1.558   2.062   1.637   1.621
   15  3750  1.50  0.20  2.00  1.25  0.00 -10.682 -12.864 -13.810 -22.376  -1.595   1.829   1.549   1.533
   16  3750  2.00  0.20  2.00  1.25  0.00 -10.949 -12.924 -13.777 -22.376  -1.627   1.616   1.456   1.440
   17  3750  2.50  0.20  2.00  1.25  0.00 -11.192 -12.984 -13.748 -22.376  -1.656   1.428   1.368   1.352
   18  3750  3.00  0.20  2.00  1.25  0.00 -11.410 -13.050 -13.733 -22.376  -1.671   1.271   1.286   1.270
   19  3750  3.50  0.20  2.00  1.25  0.00 -11.598 -13.120 -13.738 -22.376  -1.666   1.150   1.221   1.205
   20  3750  4.00  0.20  2.00  1.25  0.00 -11.750 -13.193 -13.778 -22.376  -1.626   1.068   1.188   1.172
   21  3750  4.50  0.20  2.00  1.25  0.00 -11.900 -13.278 -13.863 -22.376  -1.542   1.003   1.188   1.172
   22  3750  5.00  0.20  2.00  1.25  0.00 -12.004 -13.348 -13.951 -22.376  -1.453   0.969   1.207   1.191
   23  4000  0.00  0.20  2.00  1.25  0.00 -10.716 -13.529 -14.618 -22.656  -1.067   2.474   1.692   1.676
   24  4000  0.50  0.20  2.00  1.25  0.00 -10.991 -13.581 -14.608 -22.656  -1.077   2.248   1.630   1.614
   25  4000  1.00  0.20  2.00  1.25  0.00 -11.246 -13.626 -14.593 -22.656  -1.092   2.034   1.571   1.555
   26  4000  1.50  0.20  2.00  1.25  0.00 -11.486 -13.669 -14.575 -22.656  -1.109   1.832   1.510   1.494
   27  4000  2.00  0.20  2.00  1.25  0.00 -11.703 -13.713 -14.558 -22.656  -1.127   1.656   1.448   1.432
   28  4000  2.50  0.20  2.00  1.25  0.00 -11.895 -13.755 -14.538 -22.656  -1.147   1.501   1.387   1.371
   29  4000  3.00  0.20  2.00  1.25  0.00 -12.048 -13.787 -14.516 -22.656  -1.168   1.377   1.333   1.317
   30  4000  3.50  0.20  2.00  1.25  0.00 -12.172 -13.816 -14.496 -22.656  -1.188   1.279   1.284   1.268
   31  4000  4.00  0.20  2.00  1.25  0.00 -12.269 -13.840 -14.485 -22.656  -1.200   1.204   1.248   1.232
   32  4000  4.50  0.20  2.00  1.25  0.00 -12.356 -13.861 -14.495 -22.656  -1.190   1.137   1.237   1.221
   33  4000  5.00  0.20  2.00  1.25  0.00 -12.455 -13.893 -14.530 -22.656  -1.155   1.068   1.240   1.224
   34  4250  0.00  0.20  2.00  1.25  0.00 -11.742 -14.203 -15.158 -22.920  -0.790   2.118   1.559   1.543
   35  4250  0.50  0.20  2.00  1.25  0.00 -11.968 -14.256 -15.155 -22.920  -0.793   1.941   1.503   1.487
   36  4250  1.00  0.20  2.00  1.25  0.00 -12.179 -14.297 -15.146 -22.920  -0.802   1.768   1.453   1.437
   37  4250  1.50  0.20  2.00  1.25  0.00 -12.383 -14.338 -15.135 -22.920  -0.813   1.602   1.400   1.384
   38  4250  2.00  0.20  2.00  1.25  0.00 -12.563 -14.377 -15.122 -22.920  -0.826   1.457   1.349   1.333
   39  4250  2.50  0.20  2.00  1.25  0.00 -12.712 -14.412 -15.110 -22.920  -0.838   1.341   1.301   1.285
   40  4250  3.00  0.20  2.00  1.25  0.00 -12.820 -14.435 -15.093 -22.920  -0.855   1.253   1.262   1.246
   41  4250  3.50  0.20  2.00  1.25  0.00 -12.889 -14.449 -15.076 -22.920  -0.871   1.196   1.231   1.215
   42  4250  4.00  0.20  2.00  1.25  0.00 -12.926 -14.450 -15.057 -22.920  -0.891   1.158   1.210   1.194
   43  4250  4.50  0.20  2.00  1.25  0.00 -12.948 -14.446 -15.041 -22.920  -0.907   1.130   1.199   1.183
   44  4250  5.00  0.20  2.00  1.25  0.00 -12.987 -14.440 -15.038 -22.920  -0.910   1.085   1.202   1.186
   45  4500  0.00  0.20  2.00  1.25  0.00 -12.685 -14.775 -15.599 -23.168  -0.597   1.742   1.428   1.412
   46  4500  0.50  0.20  2.00  1.25  0.00 -12.859 -14.824 -15.600 -23.168  -0.597   1.613   1.380   1.364
   47  4500  1.00  0.20  2.00  1.25  0.00 -13.021 -14.861 -15.594 -23.168  -0.602   1.485   1.337   1.321
   48  4500  1.50  0.20  2.00  1.25  0.00 -13.175 -14.894 -15.586 -23.168  -0.610   1.362   1.295   1.279
   49  4500  2.00  0.20  2.00  1.25  0.00 -13.322 -14.927 -15.576 -23.168  -0.620   1.246   1.252   1.236
   50  4500  2.50  0.20  2.00  1.25  0.00 -13.445 -14.959 -15.566 -23.168  -0.630   1.152   1.210   1.194
   51  4500  3.00  0.20  2.00  1.25  0.00 -13.535 -14.983 -15.553 -23.168  -0.643   1.083   1.174   1.158
   52  4500  3.50  0.20  2.00  1.25  0.00 -13.587 -14.996 -15.538 -23.168  -0.658   1.042   1.146   1.130
   53  4500  4.00  0.20  2.00  1.25  0.00 -13.608 -14.998 -15.522 -23.168  -0.674   1.023   1.127   1.111
   54  4500  4.50  0.20  2.00  1.25  0.00 -13.601 -14.989 -15.504 -23.168  -0.692   1.020   1.118   1.102
   55  4500  5.00  0.20  2.00  1.25  0.00 -13.578 -14.971 -15.486 -23.168  -0.710   1.025   1.118   1.102
   56  4750  0.00  0.20  2.00  1.25  0.00 -13.500 -15.285 -15.975 -23.403  -0.456   1.430   1.293   1.277
   57  4750  0.50  0.20  2.00  1.25  0.00 -13.646 -15.328 -15.976 -23.403  -0.455   1.325   1.252   1.236
   58  4750  1.00  0.20  2.00  1.25  0.00 -13.776 -15.361 -15.974 -23.403  -0.457   1.225   1.216   1.200
   59  4750  1.50  0.20  2.00  1.25  0.00 -13.894 -15.388 -15.968 -23.403  -0.463   1.132   1.184   1.168
   60  4750  2.00  0.20  2.00  1.25  0.00 -14.005 -15.414 -15.961 -23.403  -0.470   1.044   1.151   1.135
   61  4750  2.50  0.20  2.00  1.25  0.00 -14.104 -15.439 -15.954 -23.403  -0.477   0.969   1.119   1.103
   62  4750  3.00  0.20  2.00  1.25  0.00 -14.179 -15.461 -15.946 -23.403  -0.485   0.914   1.089   1.073
   63  4750  3.50  0.20  2.00  1.25  0.00 -14.227 -15.475 -15.935 -23.403  -0.496   0.879   1.063   1.047
   64  4750  4.00  0.20  2.00  1.25  0.00 -14.245 -15.482 -15.922 -23.403  -0.509   0.866   1.044   1.028
   65  4750  4.50  0.20  2.00  1.25  0.00 -14.237 -15.479 -15.907 -23.403  -0.524   0.871   1.031   1.015
   66  4750  5.00  0.20  2.00  1.25  0.00 -14.207 -15.467 -15.890 -23.403  -0.541   0.889   1.026   1.010
   67  5000  0.00  0.20  2.00  1.25  0.00 -14.213 -15.759 -16.309 -23.626  -0.345   1.185   1.153   1.137
   68  5000  0.50  0.20  2.00  1.25  0.00 -14.344 -15.794 -16.308 -23.626  -0.346   1.086   1.118   1.102
   69  5000  1.00  0.20  2.00  1.25  0.00 -14.461 -15.821 -16.305 -23.626  -0.348   0.995   1.087   1.071
   70  5000  1.50  0.20  2.00  1.25  0.00 -14.562 -15.843 -16.300 -23.626  -0.353   0.913   1.061   1.045
   71  5000  2.00  0.20  2.00  1.25  0.00 -14.651 -15.861 -16.295 -23.626  -0.359   0.841   1.037   1.021
   72  5000  2.50  0.20  2.00  1.25  0.00 -14.727 -15.878 -16.289 -23.626  -0.365   0.779   1.015   0.999
   73  5000  3.00  0.20  2.00  1.25  0.00 -14.786 -15.893 -16.283 -23.626  -0.370   0.734   0.994   0.978
   74  5000  3.50  0.20  2.00  1.25  0.00 -14.826 -15.905 -16.277 -23.626  -0.377   0.706   0.975   0.959
   75  5000  4.00  0.20  2.00  1.25  0.00 -14.842 -15.912 -16.268 -23.626  -0.385   0.696   0.960   0.944
   76  5000  4.50  0.20  2.00  1.25  0.00 -14.837 -15.913 -16.258 -23.626  -0.396   0.702   0.948   0.932
   77  5000  5.00  0.20  2.00  1.25  0.00 -14.812 -15.908 -16.245 -23.626  -0.408   0.722   0.940   0.924
   78  5250  0.00  0.20  2.00  1.25  0.00 -14.854 -16.207 -16.614 -23.837  -0.251   0.985   1.010   0.994
   79  5250  0.50  0.20  2.00  1.25  0.00 -14.965 -16.230 -16.609 -23.837  -0.256   0.895   0.983   0.967
   80  5250  1.00  0.20  2.00  1.25  0.00 -15.067 -16.249 -16.604 -23.837  -0.262   0.809   0.959   0.943
   81  5250  1.50  0.20  2.00  1.25  0.00 -15.157 -16.263 -16.597 -23.837  -0.268   0.732   0.938   0.922
   82  5250  2.00  0.20  2.00  1.25  0.00 -15.235 -16.275 -16.591 -23.837  -0.275   0.664   0.920   0.904
   83  5250  2.50  0.20  2.00  1.25  0.00 -15.299 -16.284 -16.585 -23.837  -0.281   0.608   0.904   0.888
   84  5250  3.00  0.20  2.00  1.25  0.00 -15.347 -16.291 -16.579 -23.837  -0.286   0.566   0.892   0.876
   85  5250  3.50  0.20  2.00  1.25  0.00 -15.378 -16.296 -16.574 -23.837  -0.292   0.540   0.882   0.866
   86  5250  4.00  0.20  2.00  1.25  0.00 -15.390 -16.299 -16.569 -23.837  -0.297   0.530   0.874   0.858
   87  5250  4.50  0.20  2.00  1.25  0.00 -15.385 -16.299 -16.563 -23.837  -0.303   0.536   0.867   0.851
   88  5250  5.00  0.20  2.00  1.25  0.00 -15.362 -16.296 -16.555 -23.837  -0.310   0.556   0.863   0.847
   89  5500  0.00  0.20  2.00  1.25  0.00 -15.444 -16.632 -16.895 -24.039  -0.172   0.813   0.867   0.851
   90  5500  0.50  0.20  2.00  1.25  0.00 -15.525 -16.640 -16.886 -24.039  -0.182   0.738   0.850   0.834
   91  5500  1.00  0.20  2.00  1.25  0.00 -15.607 -16.647 -16.877 -24.039  -0.191   0.662   0.833   0.817
   92  5500  1.50  0.20  2.00  1.25  0.00 -15.683 -16.653 -16.868 -24.039  -0.199   0.590   0.819   0.803
   93  5500  2.00  0.20  2.00  1.25  0.00 -15.752 -16.657 -16.860 -24.039  -0.208   0.525   0.806   0.790
   94  5500  2.50  0.20  2.00  1.25  0.00 -15.808 -16.659 -16.852 -24.039  -0.216   0.469   0.797   0.781
   95  5500  3.00  0.20  2.00  1.25  0.00 -15.852 -16.659 -16.845 -24.039  -0.223   0.425   0.790   0.774
   96  5500  3.50  0.20  2.00  1.25  0.00 -15.880 -16.657 -16.839 -24.039  -0.229   0.394   0.785   0.769
   97  5500  4.00  0.20  2.00  1.25  0.00 -15.892 -16.655 -16.834 -24.039  -0.233   0.380   0.783   0.767
   98  5500  4.50  0.20  2.00  1.25  0.00 -15.888 -16.651 -16.830 -24.039  -0.237   0.380   0.783   0.767
   99  5500  5.00  0.20  2.00  1.25  0.00 -15.867 -16.646 -16.827 -24.039  -0.241   0.396   0.784   0.768
  100  5750  0.00  0.20  2.00  1.25  0.00 -15.975 -17.028 -17.152 -24.233  -0.108   0.672   0.728   0.712
  101  5750  0.50  0.20  2.00  1.25  0.00 -16.025 -17.021 -17.140 -24.233  -0.121   0.614   0.722   0.706
  102  5750  1.00  0.20  2.00  1.25  0.00 -16.085 -17.017 -17.128 -24.233  -0.132   0.549   0.714   0.698
  103  5750  1.50  0.20  2.00  1.25  0.00 -16.147 -17.014 -17.117 -24.233  -0.144   0.483   0.707   0.691
  104  5750  2.00  0.20  2.00  1.25  0.00 -16.203 -17.010 -17.107 -24.233  -0.154   0.420   0.700   0.684
  105  5750  2.50  0.20  2.00  1.25  0.00 -16.253 -17.004 -17.097 -24.233  -0.164   0.365   0.696   0.680
  106  5750  3.00  0.20  2.00  1.25  0.00 -16.294 -16.998 -17.088 -24.233  -0.173   0.317   0.694   0.678
  107  5750  3.50  0.20  2.00  1.25  0.00 -16.322 -16.990 -17.080 -24.233  -0.181   0.281   0.694   0.678
  108  5750  4.00  0.20  2.00  1.25  0.00 -16.338 -16.982 -17.074 -24.233  -0.186   0.257   0.696   0.680
  109  5750  4.50  0.20  2.00  1.25  0.00 -16.340 -16.974 -17.070 -24.233  -0.191   0.247   0.700   0.684
  110  5750  5.00  0.20  2.00  1.25  0.00 -16.325 -16.966 -17.067 -24.233  -0.193   0.255   0.705   0.689
  111  6000  0.00  0.20  2.00  1.25  0.00 -16.451 -17.397 -17.384 -24.417  -0.061   0.559   0.591   0.575
  112  6000  0.50  0.20  2.00  1.25  0.00 -16.464 -17.374 -17.373 -24.417  -0.073   0.522   0.602   0.586
  113  6000  1.00  0.20  2.00  1.25  0.00 -16.503 -17.360 -17.360 -24.417  -0.086   0.468   0.603   0.587
  114  6000  1.50  0.20  2.00  1.25  0.00 -16.550 -17.348 -17.347 -24.417  -0.099   0.409   0.602   0.586
  115  6000  2.00  0.20  2.00  1.25  0.00 -16.596 -17.336 -17.334 -24.417  -0.111   0.349   0.602   0.586
  116  6000  2.50  0.20  2.00  1.25  0.00 -16.639 -17.323 -17.322 -24.417  -0.123   0.293   0.603   0.587
  117  6000  3.00  0.20  2.00  1.25  0.00 -16.677 -17.310 -17.311 -24.417  -0.134   0.241   0.605   0.589
  118  6000  3.50  0.20  2.00  1.25  0.00 -16.706 -17.296 -17.302 -24.417  -0.144   0.198   0.609   0.593
  119  6000  4.00  0.20  2.00  1.25  0.00 -16.727 -17.283 -17.294 -24.417  -0.152   0.165   0.615   0.599
  120  6000  4.50  0.20  2.00  1.25  0.00 -16.735 -17.270 -17.288 -24.417  -0.157   0.144   0.621   0.605
  121  6000  5.00  0.20  2.00  1.25  0.00 -16.730 -17.259 -17.285 -24.417  -0.161   0.139   0.629   0.613
  122  6250  0.50  0.20  2.00  1.25  0.00 -16.861 -17.705 -17.584 -24.595  -0.039   0.450   0.482   0.466
  123  6250  1.00  0.20  2.00  1.25  0.00 -16.871 -17.677 -17.573 -24.595  -0.049   0.413   0.500   0.484
  124  6250  1.50  0.20  2.00  1.25  0.00 -16.901 -17.657 -17.560 -24.595  -0.062   0.362   0.507   0.491
  125  6250  2.00  0.20  2.00  1.25  0.00 -16.937 -17.638 -17.546 -24.595  -0.076   0.306   0.512   0.496
  126  6250  2.50  0.20  2.00  1.25  0.00 -16.974 -17.619 -17.533 -24.595  -0.090   0.249   0.517   0.501
  127  6250  3.00  0.20  2.00  1.25  0.00 -17.009 -17.599 -17.519 -24.595  -0.103   0.195   0.524   0.508
  128  6250  3.50  0.20  2.00  1.25  0.00 -17.039 -17.579 -17.507 -24.595  -0.115   0.145   0.532   0.516
  129  6250  4.00  0.20  2.00  1.25  0.00 -17.063 -17.560 -17.497 -24.595  -0.126   0.103   0.540   0.524
  130  6250  4.50  0.20  2.00  1.25  0.00 -17.078 -17.543 -17.489 -24.595  -0.134   0.071   0.550   0.534
  131  6250  5.00  0.20  2.00  1.25  0.00 -17.083 -17.528 -17.484 -24.595  -0.139   0.052   0.559   0.543
  132  6500  0.50  0.20  2.00  1.25  0.00 -17.218 -18.007 -17.777 -24.765  -0.016   0.390   0.374   0.358
  133  6500  1.00  0.20  2.00  1.25  0.00 -17.207 -17.978 -17.768 -24.765  -0.025   0.373   0.394   0.378
  134  6500  1.50  0.20  2.00  1.25  0.00 -17.214 -17.945 -17.758 -24.765  -0.035   0.333   0.417   0.401
  135  6500  2.00  0.20  2.00  1.25  0.00 -17.237 -17.918 -17.745 -24.765  -0.049   0.283   0.430   0.414
  136  6500  2.50  0.20  2.00  1.25  0.00 -17.266 -17.893 -17.730 -24.765  -0.064   0.229   0.440   0.424
  137  6500  3.00  0.20  2.00  1.25  0.00 -17.297 -17.868 -17.714 -24.765  -0.079   0.173   0.450   0.434
  138  6500  3.50  0.20  2.00  1.25  0.00 -17.327 -17.842 -17.700 -24.765  -0.093   0.117   0.461   0.445
  139  6500  4.00  0.20  2.00  1.25  0.00 -17.354 -17.818 -17.687 -24.765  -0.106   0.066   0.472   0.456
  140  6500  4.50  0.20  2.00  1.25  0.00 -17.375 -17.795 -17.676 -24.765  -0.117   0.023   0.484   0.468
  141  6500  5.00  0.20  2.00  1.25  0.00 -17.389 -17.776 -17.668 -24.765  -0.125  -0.010   0.496   0.480
  142  6750  0.50  0.20  2.00  1.25  0.00 -17.541 -18.275 -17.957 -24.929   0.000   0.331   0.285   0.269
  143  6750  1.00  0.20  2.00  1.25  0.00 -17.516 -18.253 -17.947 -24.929  -0.010   0.333   0.298   0.282
  144  6750  1.50  0.20  2.00  1.25  0.00 -17.504 -18.219 -17.939 -24.929  -0.018   0.313   0.324   0.308
  145  6750  2.00  0.20  2.00  1.25  0.00 -17.507 -18.180 -17.929 -24.929  -0.028   0.272   0.352   0.336
  146  6750  2.50  0.20  2.00  1.25  0.00 -17.525 -18.148 -17.915 -24.929  -0.042   0.222   0.370   0.354
  147  6750  3.00  0.20  2.00  1.25  0.00 -17.549 -18.117 -17.898 -24.929  -0.059   0.167   0.384   0.368
  148  6750  3.50  0.20  2.00  1.25  0.00 -17.577 -18.087 -17.881 -24.929  -0.076   0.109   0.398   0.382
  149  6750  4.00  0.20  2.00  1.25  0.00 -17.605 -18.057 -17.865 -24.929  -0.092   0.051   0.412   0.396
  150  6750  4.50  0.20  2.00  1.25  0.00 -17.631 -18.029 -17.851 -24.929  -0.106  -0.002   0.426   0.410
  151  6750  5.00  0.20  2.00  1.25  0.00 -17.653 -18.005 -17.840 -24.929  -0.117  -0.047   0.439   0.423
  152  7000  0.50  0.20  2.00  1.25  0.00 -17.836 -18.513 -18.122 -25.087   0.007   0.270   0.213   0.197
  153  7000  1.00  0.20  2.00  1.25  0.00 -17.799 -18.496 -18.115 -25.087   0.000   0.290   0.222   0.206
  154  7000  1.50  0.20  2.00  1.25  0.00 -17.773 -18.470 -18.106 -25.087  -0.009   0.291   0.240   0.224
  155  7000  2.00  0.20  2.00  1.25  0.00 -17.759 -18.431 -18.098 -25.087  -0.017   0.267   0.271   0.255
  156  7000  2.50  0.20  2.00  1.25  0.00 -17.761 -18.387 -18.087 -25.087  -0.028   0.222   0.304   0.288
  157  7000  3.00  0.20  2.00  1.25  0.00 -17.777 -18.350 -18.071 -25.087  -0.044   0.170   0.325   0.309
  158  7000  3.50  0.20  2.00  1.25  0.00 -17.799 -18.314 -18.053 -25.087  -0.062   0.112   0.343   0.327
  159  7000  4.00  0.20  2.00  1.25  0.00 -17.825 -18.279 -18.035 -25.087  -0.080   0.051   0.359   0.343
  160  7000  4.50  0.20  2.00  1.25  0.00 -17.854 -18.247 -18.017 -25.087  -0.098  -0.009   0.374   0.358
  161  7000  5.00  0.20  2.00  1.25  0.00 -17.881 -18.218 -18.003 -25.087  -0.112  -0.065   0.389   0.373
  162  7250  0.50  0.20  2.00  1.25  0.00 -18.098 -18.714 -18.276 -25.239   0.009   0.206   0.166   0.150
  163  7250  1.00  0.20  2.00  1.25  0.00 -18.062 -18.714 -18.269 -25.239   0.002   0.243   0.158   0.142
  164  7250  1.50  0.20  2.00  1.25  0.00 -18.024 -18.692 -18.263 -25.239  -0.004   0.259   0.174   0.158
  165  7250  2.00  0.20  2.00  1.25  0.00 -17.997 -18.661 -18.255 -25.239  -0.013   0.256   0.197   0.181
  166  7250  2.50  0.20  2.00  1.25  0.00 -17.983 -18.616 -18.246 -25.239  -0.021   0.226   0.233   0.217
  167  7250  3.00  0.20  2.00  1.25  0.00 -17.985 -18.568 -18.233 -25.239  -0.034   0.177   0.268   0.252
  168  7250  3.50  0.20  2.00  1.25  0.00 -18.000 -18.526 -18.215 -25.239  -0.052   0.122   0.292   0.276
  169  7250  4.00  0.20  2.00  1.25  0.00 -18.022 -18.487 -18.195 -25.239  -0.072   0.061   0.312   0.296
  170  7250  4.50  0.20  2.00  1.25  0.00 -18.049 -18.449 -18.175 -25.239  -0.092  -0.004   0.329   0.313
  171  7250  5.00  0.20  2.00  1.25  0.00 -18.080 -18.415 -18.157 -25.239  -0.110  -0.068   0.346   0.330
  172  7500  0.50  0.20  2.00  1.25  0.00 -18.320 -18.854 -18.415 -25.386   0.000   0.122   0.165   0.149
  173  7500  1.00  0.20  2.00  1.25  0.00 -18.307 -18.904 -18.409 -25.386  -0.005   0.185   0.109   0.093
  174  7500  1.50  0.20  2.00  1.25  0.00 -18.262 -18.891 -18.406 -25.386  -0.009   0.217   0.118   0.102
  175  7500  2.00  0.20  2.00  1.25  0.00 -18.222 -18.864 -18.401 -25.386  -0.014   0.231   0.140   0.124
  176  7500  2.50  0.20  2.00  1.25  0.00 -18.194 -18.828 -18.393 -25.386  -0.022   0.225   0.168   0.152
  177  7500  3.00  0.20  2.00  1.25  0.00 -18.182 -18.778 -18.382 -25.386  -0.032   0.188   0.208   0.192
  178  7500  3.50  0.20  2.00  1.25  0.00 -18.186 -18.727 -18.367 -25.386  -0.047   0.134   0.244   0.228
  179  7500  4.00  0.20  2.00  1.25  0.00 -18.202 -18.682 -18.347 -25.386  -0.067   0.074   0.269   0.253
  180  7500  4.50  0.20  2.00  1.25  0.00 -18.226 -18.639 -18.326 -25.386  -0.089   0.009   0.290   0.274
  181  7500  5.00  0.20  2.00  1.25  0.00 -18.257 -18.600 -18.305 -25.386  -0.110  -0.061   0.308   0.292
  182  7750  1.00  0.20  2.00  1.25  0.00 -18.526 -19.061 -18.537 -25.529  -0.020   0.121   0.079   0.063
  183  7750  1.50  0.20  2.00  1.25  0.00 -18.484 -19.066 -18.536 -25.529  -0.021   0.168   0.073   0.057
  184  7750  2.00  0.20  2.00  1.25  0.00 -18.436 -19.045 -18.534 -25.529  -0.023   0.196   0.093   0.077
  185  7750  2.50  0.20  2.00  1.25  0.00 -18.397 -19.013 -18.528 -25.529  -0.029   0.204   0.119   0.103
  186  7750  3.00  0.20  2.00  1.25  0.00 -18.372 -18.972 -18.519 -25.529  -0.038   0.191   0.150   0.134
  187  7750  3.50  0.20  2.00  1.25  0.00 -18.363 -18.918 -18.508 -25.529  -0.049   0.147   0.193   0.177
  188  7750  4.00  0.20  2.00  1.25  0.00 -18.370 -18.866 -18.490 -25.529  -0.067   0.089   0.228   0.212
  189  7750  4.50  0.20  2.00  1.25  0.00 -18.389 -18.818 -18.468 -25.529  -0.089   0.023   0.254   0.238
  190  7750  5.00  0.20  2.00  1.25  0.00 -18.417 -18.774 -18.446 -25.529  -0.111  -0.048   0.275   0.259
  191  8000  1.00  0.20  2.00  1.25  0.00 -18.720 -19.178 -18.647 -25.667  -0.048   0.042   0.072   0.056
  192  8000  1.50  0.20  2.00  1.25  0.00 -18.691 -19.216 -18.653 -25.667  -0.042   0.109   0.040   0.024
  193  8000  2.00  0.20  2.00  1.25  0.00 -18.641 -19.206 -18.654 -25.667  -0.041   0.150   0.051   0.035
  194  8000  2.50  0.20  2.00  1.25  0.00 -18.593 -19.179 -18.651 -25.667  -0.044   0.172   0.076   0.060
  195  8000  3.00  0.20  2.00  1.25  0.00 -18.556 -19.142 -18.645 -25.667  -0.050   0.175   0.106   0.090
  196  8000  3.50  0.20  2.00  1.25  0.00 -18.533 -19.097 -18.635 -25.667  -0.060   0.154   0.142   0.126
  197  8000  4.00  0.20  2.00  1.25  0.00 -18.529 -19.040 -18.622 -25.667  -0.073   0.103   0.186   0.170
  198  8000  4.50  0.20  2.00  1.25  0.00 -18.541 -18.987 -18.602 -25.667  -0.092   0.038   0.219   0.203
  199  8000  5.00  0.20  2.00  1.25  0.00 -18.565 -18.939 -18.579 -25.667  -0.116  -0.033   0.244   0.228
  200  8250  1.00  0.20  2.00  1.25  0.00 -18.892 -19.257 -18.731 -25.800  -0.098  -0.051   0.077   0.061
  201  8250  1.50  0.20  2.00  1.25  0.00 -18.875 -19.340 -18.756 -25.800  -0.072   0.048   0.020   0.004
  202  8250  2.00  0.20  2.00  1.25  0.00 -18.830 -19.345 -18.761 -25.800  -0.068   0.098   0.019   0.003
  203  8250  2.50  0.20  2.00  1.25  0.00 -18.778 -19.326 -18.761 -25.800  -0.067   0.132   0.039   0.023
  204  8250  3.00  0.20  2.00  1.25  0.00 -18.732 -19.294 -18.759 -25.800  -0.070   0.148   0.069   0.053
  205  8250  3.50  0.20  2.00  1.25  0.00 -18.699 -19.254 -18.752 -25.800  -0.077   0.143   0.102   0.086
