
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.20  2.00  0.00  0.00  -8.331  -8.317 -10.802 -12.081 -12.874   4.553   4.545   1.293   0.415   1.134   1.126
    2  3500  0.50  0.20  2.00  0.00  0.00  -8.647  -8.634 -11.045 -12.065 -12.805   4.220   4.212   1.239   0.210   1.319   1.311
    3  3500  1.00  0.20  2.00  0.00  0.00  -8.971  -8.957 -11.282 -12.048 -12.742   3.879   3.871   1.194   0.001   1.487   1.478
    4  3500  1.50  0.20  2.00  0.00  0.00  -9.304  -9.290 -11.515 -12.049 -12.702   3.547   3.538   1.154  -0.191   1.620   1.612
    5  3500  2.00  0.20  2.00  0.00  0.00  -9.644  -9.631 -11.748 -12.080 -12.694   3.238   3.229   1.115  -0.353   1.713   1.705
    6  3500  2.50  0.20  2.00  0.00  0.00  -9.976  -9.963 -11.969 -12.149 -12.727   2.975   2.966   1.077  -0.468   1.754   1.746
    7  3500  3.00  0.20  2.00  0.00  0.00 -10.295 -10.281 -12.182 -12.267 -12.808   2.773   2.766   1.041  -0.526   1.743   1.735
    8  3500  3.50  0.20  2.00  0.00  0.00 -10.581 -10.566 -12.372 -12.429 -12.938   2.650   2.643   1.010  -0.523   1.676   1.669
    9  3500  4.00  0.20  2.00  0.00  0.00 -10.820 -10.805 -12.521 -12.617 -13.112   2.599   2.592   0.995  -0.470   1.546   1.540
   10  3500  4.50  0.20  2.00  0.00  0.00 -11.014 -10.998 -12.618 -12.810 -13.299   2.597   2.592   0.990  -0.369   1.355   1.349
   11  3500  5.00  0.20  2.00  0.00  0.00 -11.086 -11.069 -12.626 -12.949 -13.440   2.665   2.660   0.991  -0.240   1.160   1.155
   12  3750  0.00  0.20  2.00  0.00  0.00  -9.142  -9.128 -11.574 -13.261 -13.949   4.921   4.913   1.188   0.928   0.687   0.679
   13  3750  0.50  0.20  2.00  0.00  0.00  -9.445  -9.431 -11.777 -13.291 -13.930   4.648   4.640   1.139   0.804   0.759   0.751
   14  3750  1.00  0.20  2.00  0.00  0.00  -9.738  -9.724 -11.973 -13.312 -13.905   4.375   4.367   1.093   0.674   0.839   0.831
   15  3750  1.50  0.20  2.00  0.00  0.00 -10.025 -10.011 -12.162 -13.326 -13.877   4.103   4.095   1.051   0.542   0.915   0.907
   16  3750  2.00  0.20  2.00  0.00  0.00 -10.309 -10.295 -12.348 -13.343 -13.853   3.836   3.828   1.009   0.414   0.987   0.979
   17  3750  2.50  0.20  2.00  0.00  0.00 -10.580 -10.565 -12.520 -13.358 -13.831   3.580   3.572   0.973   0.294   1.044   1.037
   18  3750  3.00  0.20  2.00  0.00  0.00 -10.836 -10.821 -12.681 -13.383 -13.823   3.349   3.342   0.940   0.191   1.086   1.079
   19  3750  3.50  0.20  2.00  0.00  0.00 -11.065 -11.050 -12.824 -13.420 -13.834   3.157   3.150   0.914   0.111   1.104   1.097
   20  3750  4.00  0.20  2.00  0.00  0.00 -11.257 -11.241 -12.937 -13.475 -13.879   3.020   3.013   0.904   0.062   1.084   1.078
   21  3750  4.50  0.20  2.00  0.00  0.00 -11.456 -11.439 -13.033 -13.557 -13.963   2.903   2.898   0.907   0.046   0.996   0.990
   22  3750  5.00  0.20  2.00  0.00  0.00 -11.603 -11.586 -13.094 -13.640 -14.050   2.839   2.834   0.909   0.066   0.886   0.881
   23  4000  0.00  0.20  2.00  0.00  0.00 -10.217 -10.201 -12.425 -14.065 -14.642   4.650   4.644   1.077   0.993   0.509   0.503
   24  4000  0.50  0.20  2.00  0.00  0.00 -10.488 -10.472 -12.588 -14.108 -14.639   4.422   4.416   1.031   0.919   0.521   0.515
   25  4000  1.00  0.20  2.00  0.00  0.00 -10.740 -10.724 -12.738 -14.141 -14.632   4.203   4.197   0.990   0.842   0.536   0.529
   26  4000  1.50  0.20  2.00  0.00  0.00 -10.984 -10.969 -12.881 -14.169 -14.622   3.986   3.980   0.953   0.764   0.551   0.545
   27  4000  2.00  0.20  2.00  0.00  0.00 -11.209 -11.193 -13.019 -14.197 -14.612   3.790   3.784   0.915   0.692   0.573   0.567
   28  4000  2.50  0.20  2.00  0.00  0.00 -11.416 -11.400 -13.146 -14.219 -14.600   3.605   3.600   0.881   0.621   0.599   0.593
   29  4000  3.00  0.20  2.00  0.00  0.00 -11.585 -11.568 -13.254 -14.233 -14.586   3.450   3.445   0.853   0.555   0.632   0.627
   30  4000  3.50  0.20  2.00  0.00  0.00 -11.726 -11.709 -13.348 -14.243 -14.574   3.319   3.314   0.831   0.493   0.668   0.663
   31  4000  4.00  0.20  2.00  0.00  0.00 -11.844 -11.827 -13.424 -14.251 -14.569   3.209   3.204   0.818   0.438   0.695   0.690
   32  4000  4.50  0.20  2.00  0.00  0.00 -11.954 -11.937 -13.478 -14.258 -14.582   3.106   3.102   0.824   0.385   0.687   0.682
   33  4000  5.00  0.20  2.00  0.00  0.00 -12.085 -12.067 -13.530 -14.278 -14.614   2.995   2.991   0.836   0.340   0.640   0.636
   34  4250  0.00  0.20  2.00  0.00  0.00 -11.423 -11.405 -13.251 -14.699 -15.177   4.078   4.075   0.977   0.900   0.322   0.318
   35  4250  0.50  0.20  2.00  0.00  0.00 -11.644 -11.625 -13.388 -14.744 -15.177   3.902   3.899   0.933   0.852   0.329   0.326
   36  4250  1.00  0.20  2.00  0.00  0.00 -11.851 -11.832 -13.509 -14.775 -15.172   3.727   3.723   0.897   0.799   0.333   0.330
   37  4250  1.50  0.20  2.00  0.00  0.00 -12.056 -12.038 -13.626 -14.806 -15.166   3.551   3.548   0.860   0.748   0.332   0.329
   38  4250  2.00  0.20  2.00  0.00  0.00 -12.241 -12.222 -13.733 -14.835 -15.161   3.396   3.393   0.826   0.705   0.331   0.328
   39  4250  2.50  0.20  2.00  0.00  0.00 -12.394 -12.375 -13.829 -14.863 -15.157   3.271   3.268   0.794   0.669   0.343   0.340
   40  4250  3.00  0.20  2.00  0.00  0.00 -12.505 -12.486 -13.903 -14.881 -15.149   3.178   3.175   0.768   0.639   0.361   0.359
