TEFF   9750.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
3.62297337E-05   5545.4 3.621E+00 4.465E+10 3.800E-02 4.963E+01 2.000E+05
4.73582612E-05   6332.9 4.734E+00 2.866E+11 4.131E-02 3.489E+01 2.000E+05
6.10037440E-05   6399.5 6.098E+00 3.709E+11 4.646E-02 3.237E+01 2.000E+05
7.71235486E-05   6456.3 7.709E+00 4.658E+11 5.150E-02 3.108E+01 2.000E+05
9.65579337E-05   6508.8 9.652E+00 5.765E+11 5.691E-02 3.021E+01 2.000E+05
1.20009402E-04   6558.2 1.200E+01 7.058E+11 6.279E-02 2.955E+01 2.000E+05
1.48367073E-04   6605.7 1.483E+01 8.578E+11 6.934E-02 2.910E+01 2.000E+05
1.82556172E-04   6652.5 1.825E+01 1.037E+12 7.682E-02 2.883E+01 2.000E+05
2.23644882E-04   6699.0 2.236E+01 1.250E+12 8.543E-02 2.868E+01 2.000E+05
2.72811041E-04   6745.7 2.727E+01 1.501E+12 9.539E-02 2.865E+01 2.000E+05
3.31393663E-04   6793.2 3.313E+01 1.799E+12 1.070E-01 2.871E+01 2.000E+05
4.00865939E-04   6841.5 4.007E+01 2.153E+12 1.206E-01 2.886E+01 2.000E+05
4.82915641E-04   6890.8 4.828E+01 2.570E+12 1.364E-01 2.905E+01 2.000E+05
5.79474023E-04   6940.7 5.793E+01 3.063E+12 1.548E-01 2.925E+01 2.000E+05
6.92829955E-04   6991.1 6.926E+01 3.641E+12 1.760E-01 2.948E+01 2.000E+05
8.25694986E-04   7041.7 8.254E+01 4.318E+12 2.003E-01 2.974E+01 2.000E+05
9.81381995E-04   7091.9 9.811E+01 5.105E+12 2.280E-01 3.004E+01 2.000E+05
1.16380635E-03   7141.7 1.163E+02 6.017E+12 2.594E-01 3.047E+01 2.000E+05
1.37771532E-03   7190.8 1.377E+02 7.071E+12 2.948E-01 3.100E+01 2.000E+05
1.62890043E-03   7239.1 1.628E+02 8.289E+12 3.346E-01 3.167E+01 2.000E+05
1.92413562E-03   7287.2 1.924E+02 9.698E+12 3.795E-01 3.247E+01 2.000E+05
2.27131174E-03   7335.1 2.271E+02 1.133E+13 4.304E-01 3.342E+01 2.000E+05
2.67958057E-03   7383.2 2.679E+02 1.323E+13 4.881E-01 3.452E+01 2.000E+05
3.15960989E-03   7431.5 3.159E+02 1.543E+13 5.536E-01 3.579E+01 2.000E+05
3.72351965E-03   7480.9 3.722E+02 1.799E+13 6.289E-01 3.728E+01 2.000E+05
4.38537500E-03   7530.7 4.384E+02 2.098E+13 7.145E-01 3.892E+01 2.000E+05
5.16233337E-03   7580.8 5.161E+02 2.444E+13 8.117E-01 4.076E+01 2.000E+05
6.07423756E-03   7631.3 6.072E+02 2.846E+13 9.226E-01 4.284E+01 2.000E+05
7.14403224E-03   7682.1 7.141E+02 3.311E+13 1.048E+00 4.519E+01 2.000E+05
8.39944145E-03   7733.5 8.396E+02 3.851E+13 1.192E+00 4.790E+01 2.000E+05
9.87203817E-03   7785.9 9.868E+02 4.481E+13 1.355E+00 5.108E+01 2.000E+05
1.15955090E-02   7840.9 1.159E+03 5.223E+13 1.547E+00 5.490E+01 2.000E+05
1.36056152E-02   7898.6 1.360E+03 6.101E+13 1.772E+00 5.942E+01 2.000E+05
1.59407990E-02   7960.5 1.593E+03 7.147E+13 2.039E+00 6.482E+01 2.000E+05
1.86374455E-02   8027.6 1.863E+03 8.406E+13 2.363E+00 7.135E+01 2.000E+05
2.17290064E-02   8101.4 2.172E+03 9.935E+13 2.759E+00 7.936E+01 2.000E+05
2.52395011E-02   8184.0 2.522E+03 1.182E+14 3.259E+00 8.934E+01 2.000E+05
2.91789224E-02   8277.0 2.916E+03 1.416E+14 3.897E+00 1.020E+02 2.000E+05
3.35403415E-02   8382.9 3.352E+03 1.710E+14 4.729E+00 1.184E+02 2.000E+05
3.82907233E-02   8504.9 3.826E+03 2.085E+14 5.842E+00 1.401E+02 2.000E+05
4.33697092E-02   8645.6 4.333E+03 2.569E+14 7.358E+00 1.694E+02 2.000E+05
4.86854662E-02   8810.1 4.864E+03 3.205E+14 9.486E+00 2.094E+02 2.000E+05
5.41197152E-02   9001.8 5.406E+03 4.042E+14 1.252E+01 2.651E+02 2.000E+05
5.95460253E-02   9225.2 5.947E+03 5.152E+14 1.691E+01 3.444E+02 2.000E+05
6.48464556E-02   9486.7 6.475E+03 6.625E+14 2.331E+01 4.568E+02 2.000E+05
6.99363173E-02   9791.2 6.981E+03 8.553E+14 3.253E+01 6.160E+02 2.000E+05
7.48001952E-02  10145.3 7.464E+03 1.101E+15 4.525E+01 8.320E+02 2.000E+05
7.95111654E-02  10555.2 7.931E+03 1.397E+15 6.127E+01 1.100E+03 2.000E+05
