
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.50  2.00  1.25  0.00  -9.196 -11.215 -12.127 -22.077  -2.978   1.656   1.516   1.500
    2  3500  0.50  0.50  2.00  1.25  0.00  -9.494 -11.216 -11.987 -22.077  -3.118   1.350   1.375   1.359
    3  3500  1.00  0.50  2.00  1.25  0.00  -9.799 -11.244 -11.878 -22.077  -3.227   1.062   1.237   1.221
    4  3500  1.50  0.50  2.00  1.25  0.00 -10.114 -11.305 -11.798 -22.077  -3.307   0.797   1.096   1.080
    5  3500  2.00  0.50  2.00  1.25  0.00 -10.434 -11.386 -11.733 -22.077  -3.372   0.547   0.951   0.935
    6  3500  2.50  0.50  2.00  1.25  0.00 -10.757 -11.511 -11.718 -22.077  -3.387   0.339   0.810   0.794
    7  3500  3.00  0.50  2.00  1.25  0.00 -11.066 -11.686 -11.777 -22.077  -3.328   0.198   0.694   0.678
    8  3500  3.50  0.50  2.00  1.25  0.00 -11.344 -11.909 -11.939 -22.077  -3.165   0.142   0.634   0.618
    9  3500  4.00  0.50  2.00  1.25  0.00 -11.592 -12.160 -12.170 -22.077  -2.935   0.147   0.613   0.597
   10  3500  4.50  0.50  2.00  1.25  0.00 -11.797 -12.408 -12.441 -22.077  -2.663   0.194   0.637   0.621
   11  3500  5.00  0.50  2.00  1.25  0.00 -11.948 -12.625 -12.714 -22.077  -2.390   0.266   0.693   0.677
   12  3750  0.00  0.50  2.00  1.25  0.00  -9.831 -12.420 -13.591 -22.376  -1.813   2.244   1.775   1.759
   13  3750  0.50  0.50  2.00  1.25  0.00 -10.102 -12.458 -13.520 -22.376  -1.884   2.006   1.666   1.650
   14  3750  1.00  0.50  2.00  1.25  0.00 -10.379 -12.513 -13.456 -22.376  -1.949   1.777   1.546   1.530
   15  3750  1.50  0.50  2.00  1.25  0.00 -10.669 -12.588 -13.401 -22.376  -2.003   1.556   1.417   1.401
   16  3750  2.00  0.50  2.00  1.25  0.00 -10.969 -12.662 -13.336 -22.376  -2.068   1.321   1.278   1.262
   17  3750  2.50  0.50  2.00  1.25  0.00 -11.261 -12.725 -13.261 -22.376  -2.143   1.084   1.140   1.124
   18  3750  3.00  0.50  2.00  1.25  0.00 -11.531 -12.782 -13.190 -22.376  -2.214   0.863   1.012   0.996
   19  3750  3.50  0.50  2.00  1.25  0.00 -11.764 -12.830 -13.130 -22.376  -2.274   0.671   0.904   0.888
   20  3750  4.00  0.50  2.00  1.25  0.00 -11.959 -12.895 -13.114 -22.376  -2.290   0.536   0.822   0.806
   21  3750  4.50  0.50  2.00  1.25  0.00 -12.128 -12.996 -13.169 -22.376  -2.235   0.465   0.777   0.761
   22  3750  5.00  0.50  2.00  1.25  0.00 -12.277 -13.132 -13.311 -22.376  -2.093   0.453   0.783   0.767
   23  4000  0.00  0.50  2.00  1.25  0.00 -10.511 -13.270 -14.441 -22.656  -1.244   2.419   1.774   1.758
   24  4000  0.50  0.50  2.00  1.25  0.00 -10.761 -13.303 -14.410 -22.656  -1.275   2.197   1.711   1.695
   25  4000  1.00  0.50  2.00  1.25  0.00 -11.021 -13.366 -14.389 -22.656  -1.296   1.996   1.626   1.610
   26  4000  1.50  0.50  2.00  1.25  0.00 -11.290 -13.449 -14.376 -22.656  -1.309   1.806   1.530   1.514
   27  4000  2.00  0.50  2.00  1.25  0.00 -11.567 -13.542 -14.358 -22.656  -1.326   1.616   1.419   1.403
   28  4000  2.50  0.50  2.00  1.25  0.00 -11.822 -13.611 -14.320 -22.656  -1.364   1.424   1.312   1.296
   29  4000  3.00  0.50  2.00  1.25  0.00 -12.055 -13.668 -14.274 -22.656  -1.411   1.243   1.209   1.193
   30  4000  3.50  0.50  2.00  1.25  0.00 -12.248 -13.699 -14.213 -22.656  -1.471   1.075   1.118   1.102
   31  4000  4.00  0.50  2.00  1.25  0.00 -12.405 -13.716 -14.151 -22.656  -1.533   0.930   1.039   1.023
   32  4000  4.50  0.50  2.00  1.25  0.00 -12.535 -13.733 -14.107 -22.656  -1.577   0.813   0.978   0.962
   33  4000  5.00  0.50  2.00  1.25  0.00 -12.648 -13.764 -14.101 -22.656  -1.583   0.729   0.940   0.924
   34  4250  0.00  0.50  2.00  1.25  0.00 -11.408 -13.997 -15.043 -22.920  -0.905   2.248   1.649   1.633
   35  4250  0.50  0.50  2.00  1.25  0.00 -11.608 -14.017 -15.021 -22.920  -0.927   2.064   1.608   1.592
   36  4250  1.00  0.50  2.00  1.25  0.00 -11.827 -14.066 -15.010 -22.920  -0.938   1.890   1.548   1.532
   37  4250  1.50  0.50  2.00  1.25  0.00 -12.064 -14.137 -15.009 -22.920  -0.939   1.721   1.475   1.459
   38  4250  2.00  0.50  2.00  1.25  0.00 -12.296 -14.223 -15.013 -22.920  -0.935   1.570   1.394   1.378
   39  4250  2.50  0.50  2.00  1.25  0.00 -12.503 -14.291 -15.004 -22.920  -0.944   1.427   1.316   1.300
   40  4250  3.00  0.50  2.00  1.25  0.00 -12.671 -14.341 -14.984 -22.920  -0.964   1.305   1.246   1.230
   41  4250  3.50  0.50  2.00  1.25  0.00 -12.806 -14.371 -14.953 -22.920  -0.995   1.196   1.185   1.169
   42  4250  4.00  0.50  2.00  1.25  0.00 -12.917 -14.383 -14.911 -22.920  -1.037   1.095   1.131   1.115
   43  4250  4.50  0.50  2.00  1.25  0.00 -13.005 -14.386 -14.866 -22.920  -1.082   1.006   1.084   1.068
   44  4250  5.00  0.50  2.00  1.25  0.00 -13.079 -14.384 -14.829 -22.920  -1.118   0.927   1.048   1.032
   45  4500  0.00  0.50  2.00  1.25  0.00 -12.355 -14.629 -15.529 -23.168  -0.667   1.928   1.503   1.487
   46  4500  0.50  0.50  2.00  1.25  0.00 -12.502 -14.644 -15.510 -23.168  -0.686   1.793   1.470   1.454
   47  4500  1.00  0.50  2.00  1.25  0.00 -12.670 -14.674 -15.496 -23.168  -0.700   1.651   1.426   1.410
   48  4500  1.50  0.50  2.00  1.25  0.00 -12.863 -14.728 -15.492 -23.168  -0.704   1.510   1.367   1.351
   49  4500  2.00  0.50  2.00  1.25  0.00 -13.050 -14.796 -15.496 -23.168  -0.700   1.388   1.304   1.288
   50  4500  2.50  0.50  2.00  1.25  0.00 -13.216 -14.862 -15.499 -23.168  -0.697   1.284   1.241   1.225
   51  4500  3.00  0.50  2.00  1.25  0.00 -13.334 -14.903 -15.490 -23.168  -0.706   1.204   1.191   1.175
   52  4500  3.50  0.50  2.00  1.25  0.00 -13.422 -14.932 -15.477 -23.168  -0.719   1.142   1.149   1.133
