
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.50  2.00  1.25  0.00  -8.423  -8.410 -10.864 -11.377 -12.188   3.755   3.746   1.312  -0.371   1.871   1.862
    2  3500  0.50  0.50  2.00  1.25  0.00  -8.717  -8.704 -11.065 -11.256 -12.034   3.340   3.331   1.278  -0.658   2.099   2.090
    3  3500  1.00  0.50  2.00  1.25  0.00  -9.022  -9.009 -11.269 -11.154 -11.909   2.934   2.925   1.255  -0.940   2.303   2.294
    4  3500  1.50  0.50  2.00  1.25  0.00  -9.337  -9.324 -11.486 -11.079 -11.815   2.544   2.535   1.237  -1.215   2.498   2.489
    5  3500  2.00  0.50  2.00  1.25  0.00  -9.659  -9.646 -11.706 -11.014 -11.740   2.157   2.148   1.226  -1.489   2.681   2.671
    6  3500  2.50  0.50  2.00  1.25  0.00  -9.994  -9.982 -11.937 -11.007 -11.721   1.815   1.806   1.213  -1.714   2.813   2.804
    7  3500  3.00  0.50  2.00  1.25  0.00 -10.332 -10.320 -12.172 -11.095 -11.785   1.565   1.555   1.190  -1.837   2.858   2.848
    8  3500  3.50  0.50  2.00  1.25  0.00 -10.657 -10.644 -12.403 -11.312 -11.963   1.457   1.448   1.151  -1.813   2.779   2.770
    9  3500  4.00  0.50  2.00  1.25  0.00 -10.959 -10.946 -12.628 -11.614 -12.217   1.457   1.448   1.102  -1.687   2.625   2.616
   10  3500  4.50  0.50  2.00  1.25  0.00 -11.224 -11.210 -12.825 -11.956 -12.514   1.534   1.526   1.058  -1.498   2.412   2.404
   11  3500  5.00  0.50  2.00  1.25  0.00 -11.430 -11.416 -12.969 -12.291 -12.814   1.663   1.655   1.022  -1.271   2.158   2.151
   12  3750  0.00  0.50  2.00  1.25  0.00  -9.137  -9.123 -11.539 -12.874 -13.643   4.539   4.530   1.269   0.495   1.009   1.001
   13  3750  0.50  0.50  2.00  1.25  0.00  -9.396  -9.383 -11.735 -12.863 -13.583   4.269   4.260   1.219   0.338   1.153   1.144
   14  3750  1.00  0.50  2.00  1.25  0.00  -9.662  -9.648 -11.943 -12.861 -13.526   4.001   3.993   1.166   0.181   1.306   1.297
   15  3750  1.50  0.50  2.00  1.25  0.00  -9.941  -9.927 -12.166 -12.869 -13.478   3.730   3.722   1.109   0.024   1.463   1.455
   16  3750  2.00  0.50  2.00  1.25  0.00 -10.237 -10.224 -12.394 -12.859 -13.415   3.424   3.415   1.056  -0.162   1.634   1.625
   17  3750  2.50  0.50  2.00  1.25  0.00 -10.540 -10.527 -12.607 -12.824 -13.340   3.086   3.077   1.016  -0.370   1.792   1.783
   18  3750  3.00  0.50  2.00  1.25  0.00 -10.838 -10.825 -12.796 -12.778 -13.267   2.742   2.733   0.989  -0.578   1.918   1.909
   19  3750  3.50  0.50  2.00  1.25  0.00 -11.112 -11.099 -12.951 -12.731 -13.204   2.420   2.411   0.974  -0.765   2.001   1.992
   20  3750  4.00  0.50  2.00  1.25  0.00 -11.355 -11.342 -13.088 -12.729 -13.190   2.176   2.167   0.961  -0.891   2.033   2.024
   21  3750  4.50  0.50  2.00  1.25  0.00 -11.573 -11.559 -13.218 -12.809 -13.256   2.038   2.030   0.947  -0.927   1.995   1.987
   22  3750  5.00  0.50  2.00  1.25  0.00 -11.777 -11.762 -13.335 -12.983 -13.414   2.008   2.001   0.931  -0.853   1.852   1.844
   23  4000  0.00  0.50  2.00  1.25  0.00  -9.904  -9.890 -12.237 -13.781 -14.465   4.679   4.671   1.184   0.789   0.731   0.723
   24  4000  0.50  0.50  2.00  1.25  0.00 -10.143 -10.130 -12.391 -13.793 -14.443   4.451   4.443   1.150   0.680   0.789   0.780
   25  4000  1.00  0.50  2.00  1.25  0.00 -10.392 -10.378 -12.571 -13.833 -14.431   4.243   4.234   1.098   0.592   0.860   0.851
   26  4000  1.50  0.50  2.00  1.25  0.00 -10.652 -10.638 -12.767 -13.889 -14.429   4.039   4.031   1.040   0.512   0.934   0.926
   27  4000  2.00  0.50  2.00  1.25  0.00 -10.923 -10.910 -12.979 -13.947 -14.423   3.825   3.817   0.976   0.420   1.030   1.022
   28  4000  2.50  0.50  2.00  1.25  0.00 -11.183 -11.170 -13.167 -13.969 -14.396   3.588   3.580   0.926   0.305   1.123   1.115
   29  4000  3.00  0.50  2.00  1.25  0.00 -11.433 -11.419 -13.338 -13.972 -14.359   3.341   3.332   0.887   0.176   1.213   1.205
   30  4000  3.50  0.50  2.00  1.25  0.00 -11.655 -11.642 -13.471 -13.942 -14.305   3.089   3.080   0.863   0.037   1.288   1.279
   31  4000  4.00  0.50  2.00  1.25  0.00 -11.847 -11.833 -13.577 -13.900 -14.248   2.855   2.847   0.848  -0.096   1.349   1.341
   32  4000  4.50  0.50  2.00  1.25  0.00 -12.017 -12.003 -13.665 -13.868 -14.208   2.653   2.645   0.840  -0.208   1.387   1.379
   33  4000  5.00  0.50  2.00  1.25  0.00 -12.172 -12.157 -13.742 -13.871 -14.207   2.501   2.493   0.836  -0.279   1.384   1.377
   34  4250  0.00  0.50  2.00  1.25  0.00 -10.970 -10.955 -13.023 -14.495 -15.059   4.327   4.319   1.064   0.837   0.524   0.517
   35  4250  0.50  0.50  2.00  1.25  0.00 -11.148 -11.133 -13.140 -14.499 -15.041   4.153   4.146   1.041   0.748   0.574   0.566
   36  4250  1.00  0.50  2.00  1.25  0.00 -11.351 -11.336 -13.279 -14.534 -15.036   3.986   3.978   1.002   0.683   0.615   0.607
   37  4250  1.50  0.50  2.00  1.25  0.00 -11.578 -11.564 -13.437 -14.592 -15.043   3.816   3.808   0.951   0.633   0.646   0.638
   38  4250  2.00  0.50  2.00  1.25  0.00 -11.803 -11.788 -13.605 -14.664 -15.058   3.663   3.656   0.894   0.595   0.685   0.677
   39  4250  2.50  0.50  2.00  1.25  0.00 -12.005 -11.990 -13.756 -14.714 -15.060   3.511   3.504   0.846   0.541   0.734   0.727
   40  4250  3.00  0.50  2.00  1.25  0.00 -12.169 -12.154 -13.882 -14.742 -15.052   3.375   3.368   0.810   0.479   0.795   0.788
